	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	 File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
1013-4	1013	2009_ca_1013_fruit_c.jpg	4	.	.	140.1386	69.4536	51.2084	89.8326	39.9672	32.242	23.5455	36.1397	39.9242	data normalized to color checker
1013-5	1013	2009_ca_1013_fruit_c.jpg	5	.	.	131.8928	53.0349	46.034	82.5835	35.3568	37.9356	20.2048	28.0401	42.9807	data normalized to color checker
1014-1	1014	2009_ca_1014_fruit_c.jpg	1	.	.	137.1726	63.608	46.8448	86.5448	38.1603	34.196	23.5775	34.5855	41.5363	data normalized to color checker
1014-2	1014	2009_ca_1014_fruit_c.jpg	2	.	.	138.4431	64.2075	52.3223	89.4768	38.6254	34.8331	21.1003	31.2056	40.7256	data normalized to color checker
1014-3	1014	2009_ca_1014_fruit_c.jpg	3	.	.	138.0729	54.0581	43.1233	85.0435	36.4549	39.6808	23.6699	30.8164	46.2042	data normalized to color checker
1014-4	1014	2009_ca_1014_fruit_c.jpg	4	.	.	130.0546	47.8858	41.6364	80.5687	33.9085	39.722	20.9811	27.8429	44.9226	data normalized to color checker
1014-5	1014	2009_ca_1014_fruit_c.jpg	5	.	.	140.4748	72.4165	51.1119	90.0958	40.5799	30.7478	24.3641	38.3928	39.2306	data normalized to color checker
1015-1	1015	2009_ca_1015_fruit_c.jpg	1	.	.	141.1459	56.8886	45.7631	87.7093	37.5498	39.4827	23.6995	30.9743	46.0494	data normalized to color checker
1015-2	1015	2009_ca_1015_fruit_c.jpg	2	.	.	144.2934	74.0285	51.6283	92.041	41.5528	31.5044	25.3689	38.8428	40.4489	data normalized to color checker
1015-3	1015	2009_ca_1015_fruit_c.jpg	3	.	.	142.4955	62.5056	50.8213	90.7719	38.882	37.349	22.5296	31.0992	43.618	data normalized to color checker
1015-4	1015	2009_ca_1015_fruit_c.jpg	4	.	.	151.7041	78.2435	49.9183	94.833	43.4899	32.091	28.9764	42.0803	43.2373	data normalized to color checker
1015-5	1015	2009_ca_1015_fruit_c.jpg	5	.	.	145.8457	75.6056	50.5229	92.3249	42.0855	31.1274	26.6589	40.5783	40.9831	data normalized to color checker
1016-1	1016	2009_ca_1016_fruit_c.jpg	1	.	.	139.8723	59.216	48.64	88.3991	37.7835	37.9808	22.2351	30.346	44.0107	data normalized to color checker
1016-2	1016	2009_ca_1016_fruit_c.jpg	2	.	.	128.7742	47.9814	40.3338	79.3159	33.7135	39.0394	21.474	28.8134	44.5557	data normalized to color checker
1016-3	1016	2009_ca_1016_fruit_c.jpg	3	.	.	145.5198	67.485	57.3258	94.9492	40.4777	36.219	20.8097	29.8796	41.7716	data normalized to color checker
1016-4	1016	2009_ca_1016_fruit_c.jpg	4	.	.	146.7381	70.9101	58.7685	96.4421	41.3269	34.9473	21.2849	31.3438	40.9189	data normalized to color checker
1016-5	1016	2009_ca_1016_fruit_c.jpg	5	.	.	141.1076	64.901	49.925	89.6788	39.1222	35.3204	23.1971	33.2954	42.2568	data normalized to color checker
1017-1	1017	2009_ca_1017_fruit_c.jpg	1	.	.	138.1844	60.2336	43.3253	85.3618	37.6664	36.1735	25.0911	34.7464	44.0237	data normalized to color checker
1017-2	1017	2009_ca_1017_fruit_c.jpg	2	.	.	146.2866	80.5003	54.9541	94.671	43.2155	28.7385	25.6781	41.7811	38.5391	data normalized to color checker
1017-3	1017	2009_ca_1017_fruit_c.jpg	3	.	.	146.9143	73.0825	55.5542	95.1643	41.8374	33.3847	23.8094	35.4958	41.0052	data normalized to color checker
1017-4	1017	2009_ca_1017_fruit_c.jpg	4	.	.	149.3265	83.592	64.3105	100.3889	44.5417	29.0021	22.3755	37.6507	36.6304	data normalized to color checker
1017-5	1017	2009_ca_1017_fruit_c.jpg	5	.	.	142.5985	69.7323	55.0706	92.8962	40.3741	33.5701	22.0184	33.2606	40.1467	data normalized to color checker
1019-1	1019	2009_ca_1019_fruit_c.jpg	1	.	.	135.242	73.6581	57.7811	90.8273	40.2376	28.129	19.8206	35.1698	34.4107	data normalized to color checker
1019-2	1019	2009_ca_1019_fruit_c.jpg	2	.	.	134.5033	61.377	49.884	86.6814	37.3781	34.5742	20.7175	30.9308	40.3062	data normalized to color checker
1019-3	1019	2009_ca_1019_fruit_c.jpg	3	.	.	132.229	56.1051	46.6292	83.9247	35.9243	36.4411	20.6601	29.5509	41.8903	data normalized to color checker
1019-4	1019	2009_ca_1019_fruit_c.jpg	4	.	.	135.4136	70.1029	55.1643	89.6277	39.539	30.161	20.5208	34.2303	36.48	data normalized to color checker
1019-5	1019	2009_ca_1019_fruit_c.jpg	5	.	.	131.1134	57.9966	45.7976	83.1531	36.167	34.6891	21.4493	31.7297	40.7849	data normalized to color checker
1021-1	1021	2009_ca_1021_fruit_c.jpg	1	.	.	145.9443	62.4052	49.583	91.3552	39.6082	38.4914	24.2241	32.1837	45.4796	data normalized to color checker
1021-2	1021	2009_ca_1021_fruit_c.jpg	2	.	.	132.4716	66.46	49.0532	85.1126	38.1614	30.5774	22.131	35.8959	37.746	data normalized to color checker
1021-3	1021	2009_ca_1021_fruit_c.jpg	3	.	.	139.1674	58.091	44.1688	86.002	37.5032	37.824	24.4385	32.867	45.0322	data normalized to color checker
1021-4	1021	2009_ca_1021_fruit_c.jpg	4	.	.	139.212	61.3686	46.0659	86.6806	38.2024	36.1007	24.1649	33.7973	43.4419	data normalized to color checker
1021-5	1021	2009_ca_1021_fruit_c.jpg	5	.	.	155.2347	82.5026	63.6313	102.6244	45.1366	32.1195	23.6197	36.3297	39.8692	data normalized to color checker
1023-1	1023	2009_ca_1023_fruit_c.jpg	1	.	.	131.0435	50.3592	44.9543	82.4442	34.6416	38.9602	19.975	27.1443	43.7824	data normalized to color checker
1023-2	1023	2009_ca_1023_fruit_c.jpg	2	.	.	133.8453	55.1536	49.4993	85.6507	36.0793	37.8242	19.226	26.9442	42.43	data normalized to color checker
1023-3	1023	2009_ca_1023_fruit_c.jpg	3	.	.	134.8278	61.2517	51.5676	87.3145	37.4497	34.9177	19.8272	29.5891	40.1543	data normalized to color checker
1023-4	1023	2009_ca_1023_fruit_c.jpg	4	.	.	144.205	74.7918	58.3272	95.0088	41.835	31.4624	21.9019	34.8429	38.3351	data normalized to color checker
1023-5	1023	2009_ca_1023_fruit_c.jpg	5	.	.	132.8573	52.2052	48.4963	84.656	35.3269	39.011	18.7983	25.7282	43.304	data normalized to color checker
1024-1	1024	2009_ca_1024_fruit_c.jpg	1	.	.	135.7977	52.4878	41.0219	82.9571	35.7843	39.4437	23.9516	31.2676	46.1463	data normalized to color checker
1024-2	1024	2009_ca_1024_fruit_c.jpg	2	.	.	136.1829	64.4072	49.8433	87.1895	38.2676	33.5401	21.9394	33.1897	40.0783	data normalized to color checker
1024-3	1024	2009_ca_1024_fruit_c.jpg	3	.	.	134.012	50.3237	41.9833	82.2545	35.0877	39.9976	22.4192	29.2712	45.8523	data normalized to color checker
1024-4	1024	2009_ca_1024_fruit_c.jpg	4	.	.	132.0815	47.8588	40.8622	80.9729	34.3104	40.447	22.0627	28.6113	46.073	data normalized to color checker
1024-5	1024	2009_ca_1024_fruit_c.jpg	5	.	.	121.4409	47.2067	40.8935	75.9429	32.3563	36.5286	19.0819	27.5818	41.2124	data normalized to color checker
1025-1	1025	2009_ca_1025_fruit_c.jpg	1	.	.	134.9621	50.3005	44.6306	83.7994	35.3307	40.5486	21.2076	27.6103	45.7597	data normalized to color checker
1025-2	1025	2009_ca_1025_fruit_c.jpg	2	.	.	130.6578	49.5762	43.6895	81.4312	34.4672	39.1098	20.5056	27.6684	44.1595	data normalized to color checker
1025-3	1025	2009_ca_1025_fruit_c.jpg	3	.	.	135.0514	48.9608	40.2281	82.0011	35.069	40.8715	23.502	29.8999	47.1468	data normalized to color checker
1025-4	1025	2009_ca_1025_fruit_c.jpg	4	.	.	134.9039	58.1534	48.6346	85.7543	36.8029	36.4671	20.7223	29.6073	41.9436	data normalized to color checker
