	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000134	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
1038-1	1038	2009_ca_1038_fruit_t.jpg	1	31.8142	39.3038	8.4836	8.509	5.7912	6.5278	0.7672	0.6826	0.7216	0.6856	1.0524	0.8556	0.8768	0.53	0	0.1101	216.1915	211.5518	0.2626	209.5863	176.5655	0.0025	0	0.0969	0	7.6094	6.6826	0	0.4825	0.7109	0.8922	0.8878	0.6842	0.3759	
1038-2	1038	2009_ca_1038_fruit_t.jpg	2	39.9213	49.9896	9.0932	9.1186	6.2738	7.0612	0.7744	0.6899	0.7626	0.7123	1.0706	0.7904	0.8893	0.5687	0	0.1108	237.162	195.1749	0.2196	187.8853	172.0956	0.0177	0	0	0.1294	4.0794	0	4.8156	0.4676	0.7076	0.8909	0.8829	0.6853	0.4318	
1038-3	1038	2009_ca_1038_fruit_t.jpg	3	22.6011	32.3703	6.6802	6.7056	5.6642	6.35	0.947	0.8479	0.73	0.6806	1.0726	0.8894	0.9768	0.5644	0	0.0853	262.0932	211.5962	0.1967	172.5854	162.4033	0.0002	0	0.0946	0	6.7671	4.1901	0	0.48	0.7068	0.8889	0.88	0.8462	0.427	
1038-4	1038	2009_ca_1038_fruit_t.jpg	4	22.1922	29.1483	6.5532	6.604	5.4356	5.8674	0.8885	0.8295	0.7791	0.6008	1.2968	0.8802	0.9593	0.5332	1.1081	0.048	138.8333	187.3548	0.1315	161.7895	155.3198	0	0	0	0.1955	3.8739	0	7.4054	0.4113	0.7391	0.8901	0.8854	0.8252	0.3912	
1038-5	1038	2009_ca_1038_fruit_t.jpg	5	26.6653	41.2328	8.4074	8.4328	6.477	7.1882	0.8524	0.7704	0.3686	0.4864	0.7578	0.7975	0.9159	0.4848	0	0.1277	223.5244	229.8318	0.2349	180.2724	165.7596	0.0067	0	0	0.1245	9.4929	0	9.8671	0.477	0.7163	0.886	0.8821	0.7652	0.3447	
1039-1	1039	2009_ca_1039_fruit_t.jpg	1	18.7854	21.1483	3.937	4.2164	6.5786	6.8072	1.6145	1.671	0.5742	0.7226	0.7946	0.7703	0.8609	0.4223	0	0	143.332	110.097	0	143.0816	122.6632	0	0	0.2765	0	7.9363	14.9879	0	0.6567	0.7715	0.8918	0.8879	1.6885	0.3978	
1039-2	1039	2009_ca_1039_fruit_t.jpg	2	15.0415	14.1613	3.7338	3.8354	5.0292	5.1054	1.3311	1.3469	0.6054	0.6054	1	0.957	0.9225	0.4782	0	0	157.8474	124.8852	0	150.5952	128.5871	0	0	0.1502	0	2.03	3.7733	0	0.5323	0.79	0.8927	0.8876	1.3621	0.3442	
1039-3	1039	2009_ca_1039_fruit_t.jpg	3	16.7868	17.7916	4.572	4.572	5.5118	5.5372	1.2111	1.2056	0.55	0.6111	0.9	0.9702	0.9548	0.4718	0	0	157.3161	133.6995	0	161.5788	140.195	0	0	0.1578	0	1.7189	3.3352	0	0.5229	0.7926	0.8912	0.8821	1.1944	0.2946	
1039-4	1039	2009_ca_1039_fruit_t.jpg	4	15.7091	16.6516	3.8608	3.937	5.4356	5.461	1.3871	1.4079	0.6184	0.5921	1.0444	0.9922	0.9134	0.505	0	0	146.6191	132.0258	0	160.011	125.9961	0	0	0.1256	0	0.0374	1.2922	0	0.5256	0.7944	0.8901	0.8854	1.4167	0.3792	
1039-5	1039	2009_ca_1039_fruit_t.jpg	5	15.0749	14.9445	4.0386	4.0894	4.9784	4.9784	1.2174	1.2327	0.5975	0.6415	0.9314	0.9921	0.9511	0.4999	0	0.0004	154.9214	132.8963	0.0029	150.4089	134.7055	0	0	0.1432	0	0.2974	1.4937	0	0.5204	0.8	0.8914	0.8864	1.2381	0.3335	
1039-6	1039	2009_ca_1039_fruit_t.jpg	6	16.4327	17.2006	4.2418	4.2418	5.6388	5.6642	1.3353	1.3293	0.5329	0.6108	0.8725	0.9614	0.9284	0.4745	0	0	145.3873	119.0143	0	157.3726	136.0019	0.0004	0	0.1703	0	2.1216	3.0241	0	0.5381	0.7928	0.8889	0.8889	1.3333	0.3156	
1039-7	1039	2009_ca_1039_fruit_t.jpg	7	17.0161	17.6632	4.318	4.3688	5.842	5.8674	1.343	1.3529	0.5882	0.5882	1	0.9301	0.9179	0.4309	0	0	152.894	127.5082	0	145.2885	120.4506	0	0	0.12	0	4.8	6.731	0	0.5325	0.8	0.8932	0.8889	1.3529	0.2821	
1039-8	1039	2009_ca_1039_fruit_t.jpg	8	16.9853	15.2413	3.3528	3.6322	5.4356	5.4864	1.5105	1.6212	0.6742	0.697	0.9674	0.7994	0.8759	0.4168	0	0	148.0356	116.8981	0	140.2775	171.3851	0.0017	0	0.1988	0	7.4651	12.1408	0	0.662	0.7907	0.8901	0.8854	1.6346	0.4122	
1039-9	1039	2009_ca_1039_fruit_t.jpg	9	20.7744	19.6316	4.5212	4.8006	5.6134	5.9436	1.2381	1.2416	0.5674	0.6517	0.8707	0.8991	0.9337	0.4368	0	0	112.8695	143.485	0	166.3279	11.7501	0.0007	0.0358	0.1854	0	4.6481	6.6064	0	0.5983	0.7554	0.8889	0.88	1.2394	0.3549	
1039-10	1039	2009_ca_1039_fruit_t.jpg	10	16.2407	18.26	4.572	4.572	5.1562	5.1816	1.1333	1.1278	0.6111	0.6278	0.9735	0.9868	0.9686	0.5037	0	0.0014	182.3669	146.0934	0.0025	159.9317	144.0336	0	0	0.1222	0	1.0246	2.3073	0	0.5	0.7882	0.8889	0.8791	1.1111	0.3606	
1040-1	1040	2009_ca_1040_fruit_t.jpg	1	16.5481	18.02	3.7084	3.7338	5.9944	6.096	1.6327	1.6164	0.6712	0.5753	1.1667	0.9543	0.8686	0.5051	0.1284	0	163.0395	124.1546	0.0034	123.4245	106.9368	0	0	0	0.1137	3.3766	0	4.1781	0.5	0.7866	0.891	0.8868	1.6207	0.3868	
1040-2	1040	2009_ca_1040_fruit_t.jpg	2	17.9128	19.7135	3.9116	3.9878	5.969	6.2484	1.5669	1.526	0.6948	0.6558	1.0594	0.9595	0.8773	0.5347	0	0.0304	194.1452	146.0076	0.0182	144.5436	120.1821	0	0	0.1515	0	1.6816	3.3974	0	0.5813	0.7592	0.8732	0.8815	1.5246	0.4167	
1040-3	1040	2009_ca_1040_fruit_t.jpg	3	14.9461	14.6651	3.3782	3.3782	5.5118	5.6134	1.6617	1.6316	0.6692	0.4436	1.5085	0.9719	0.8706	0.4977	0.2214	0.005	175.4164	121.3147	0.0027	103.6705	91.793	0	0	0	0.0883	2.1545	0	3.9545	0.5294	0.7818	0.8958	0.8776	1.6538	0.3819	
1040-4	1040	2009_ca_1040_fruit_t.jpg	4	15.3293	14.6161	3.2512	3.3782	5.2324	5.334	1.5789	1.6094	0.7813	0.7344	1.0638	0.8945	0.8625	0.5697	0	0.0107	191.1632	142.5458	0.025	158.0299	129.4623	0	0	0.1211	0	2.0335	4	0	0.5095	0.7847	0.9011	0.8865	1.6078	0.4201	
1040-5	1040	2009_ca_1040_fruit_t.jpg	5	18.8249	23.9825	4.6482	4.6736	6.3754	6.4516	1.3804	1.3716	0.6503	0.5847	1.1121	0.975	0.9114	0.4803	0.3084	0.0093	174.2626	144.6835	0.0103	162.3071	121.694	0	0	0	0.0934	2.8498	0	4.0929	0.5197	0.7905	0.8889	0.8889	1.3889	0.3915	
1041-1	1041	2009_ca_1041_fruit_t.jpg	1	23.3108	36.6115	6.6548	6.6802	6.35	6.8072	1.019	0.9542	0.7519	0.5878	1.2792	0.935	0.9877	0.5273	1.5982	0.0728	239.0289	196.1273	0.1	165.483	148.2502	0	0	0	0.1652	2.764	0	6.2061	0.4515	0.7491	0.8929	0.8889	0.9615	0.4243	
1041-2	1041	2009_ca_1041_fruit_t.jpg	2	25.1469	41.9322	7.7216	7.8232	6.0452	6.731	0.8604	0.7829	0.7566	0.6414	1.1795	0.8843	0.9507	0.5385	1.4179	0.0638	259.3784	215.0927	0.1722	152.5809	165.2374	0	0	0	0.1686	4.7992	0	7.6254	0.4	0.7197	0.892	0.8879	0.7851	0.4444	
1041-3	1041	2009_ca_1041_fruit_t.jpg	3	22.4338	34.3367	7.2644	7.3152	5.3594	5.7912	0.7917	0.7378	0.7378	0.6434	1.1467	0.9319	0.9187	0.5443	0.7518	0.0305	197.991	205.5411	0.1051	189.6399	173.7345	0.0008	0	0	0.1691	3.5551	0	4.0592	0.4167	0.7401	0.8889	0.8889	0.7368	0.4347	
