	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
1019-4	1019	2009_ca_1019_fruit_c.jpg	4	1.5409	0.4479	0.2514	
1019-5	1019	2009_ca_1019_fruit_c.jpg	5	1.1083	0.4477	0.2525	
1021-1	1021	2009_ca_1021_fruit_c.jpg	1	1.2419	0.4464	0.2538	
1021-2	1021	2009_ca_1021_fruit_c.jpg	2	0.8296	0.4433	0.2553	
1021-3	1021	2009_ca_1021_fruit_c.jpg	3	1.0941	0.4464	0.2539	
1021-4	1021	2009_ca_1021_fruit_c.jpg	4	0.7743	0.4451	0.2482	
1021-5	1021	2009_ca_1021_fruit_c.jpg	5	1.1092	0.4462	0.25	
1023-1	1023	2009_ca_1023_fruit_c.jpg	1	1.9967	0.4386	0.25	
1023-2	1023	2009_ca_1023_fruit_c.jpg	2	1.9744	0.4385	0.25	
1023-3	1023	2009_ca_1023_fruit_c.jpg	3	1.964	0.4394	0.2533	
1023-4	1023	2009_ca_1023_fruit_c.jpg	4	1.2614	0.4443	0.2545	
1023-5	1023	2009_ca_1023_fruit_c.jpg	5	2.1412	0.4342	0.2564	
1024-1	1024	2009_ca_1024_fruit_c.jpg	1	2.9719	0.4454	0.2534	
1024-2	1024	2009_ca_1024_fruit_c.jpg	2	1.028	0.446	0.2535	
1024-3	1024	2009_ca_1024_fruit_c.jpg	3	0.7756	0.4461	0.2545	
1024-4	1024	2009_ca_1024_fruit_c.jpg	4	1.3303	0.4419	0.2523	
1024-5	1024	2009_ca_1024_fruit_c.jpg	5	1.8716	0.4401	0.2482	
1025-1	1025	2009_ca_1025_fruit_c.jpg	1	1.9229	0.4478	0.2488	
1025-2	1025	2009_ca_1025_fruit_c.jpg	2	2.6556	0.4443	0.2528	
1025-3	1025	2009_ca_1025_fruit_c.jpg	3	2.2699	0.444	0.25	
1025-4	1025	2009_ca_1025_fruit_c.jpg	4	0.4297	0.4487	0.2535	
1026-1	1026	2009_ca_1026_fruit_c.jpg	1	0.6327	0.4367	0.2543	
1026-2	1026	2009_ca_1026_fruit_c.jpg	2	1.8972	0.4408	0.2539	
1026-3	1026	2009_ca_1026_fruit_c.jpg	3	1.5338	0.4454	0.2509	
1026-4	1026	2009_ca_1026_fruit_c.jpg	4	2.7121	0.4434	0.2518	
1026-5	1026	2009_ca_1026_fruit_c.jpg	5	1.8717	0.4391	0.2534	
1028-1	1028	2009_ca_1028_fruit_c.jpg	1	0.8176	0.4414	0.2531	
1028-2	1028	2009_ca_1028_fruit_c.jpg	2	1.5479	0.4347	0.2528	
1028-3	1028	2009_ca_1028_fruit_c.jpg	3	0.5754	0.436	0.2518	
1028-4	1028	2009_ca_1028_fruit_c.jpg	4	0.5545	0.4373	0.2519	
1028-5	1028	2009_ca_1028_fruit_c.jpg	5	1.0005	0.4367	0.2512	
1029-1	1029	2009_ca_1029_fruit_c.jpg	1	1.3022	0.4448	0.2492	
1029-2	1029	2009_ca_1029_fruit_c.jpg	2	1.3606	0.4446	0.2545	
1029-3	1029	2009_ca_1029_fruit_c.jpg	3	1.5574	0.4438	0.25	
1029-4	1029	2009_ca_1029_fruit_c.jpg	4	1.0008	0.4443	0.2516	
1029-5	1029	2009_ca_1029_fruit_c.jpg	5	1.0655	0.4437	0.2493	
1030-1	1030	2009_ca_1030_fruit_c.jpg	1	3.2189	0.4443	0.2524	
1030-2	1030	2009_ca_1030_fruit_c.jpg	2	2.1903	0.4371	0.2492	
1030-3	1030	2009_ca_1030_fruit_c.jpg	3	2.4591	0.4463	0.2529	
1030-4	1030	2009_ca_1030_fruit_c.jpg	4	2.0006	0.4429	0.2515	
1030-5	1030	2009_ca_1030_fruit_c.jpg	5	1.8374	0.4389	0.2508	
1031-1	1031	2009_ca_1031_fruit_c.jpg	1	0.6903	0.4485	0.2545	
1031-2	1031	2009_ca_1031_fruit_c.jpg	2	0.9857	0.4456	0.2519	
1031-3	1031	2009_ca_1031_fruit_c.jpg	3	1.854	0.4465	0.2559	
1031-4	1031	2009_ca_1031_fruit_c.jpg	4	1.6887	0.4469	0.2532	
1031-5	1031	2009_ca_1031_fruit_c.jpg	5	1.3091	0.4473	0.2531	
1032-1	1032	2009_ca_1032_fruit_c.jpg	1	2.3504	0.4469	0.2561	
1032-2	1032	2009_ca_1032_fruit_c.jpg	2	1.9715	0.4468	0.255	
1032-3	1032	2009_ca_1032_fruit_c.jpg	3	0.9106	0.4467	0.253	
1032-4	1032	2009_ca_1032_fruit_c.jpg	4	0.7669	0.4457	0.2569	
1032-5	1032	2009_ca_1032_fruit_c.jpg	5	0.5558	0.4409	0.2533	
1033-1	1033	2009_ca_1033_fruit_c.jpg	1	0.9977	0.4399	0.255	
1033-2	1033	2009_ca_1033_fruit_c.jpg	2	1.1887	0.4464	0.251	
1033-3	1033	2009_ca_1033_fruit_c.jpg	3	3.4292	0.4355	0.2509	
1033-4	1033	2009_ca_1033_fruit_c.jpg	4	1.5906	0.4398	0.2508	
1033-5	1033	2009_ca_1033_fruit_c.jpg	5	2.5922	0.4409	0.2532	
1034-1	1034	2009_ca_1034_fruit_c.jpg	1	2.1943	0.4472	0.251	
1034-2	1034	2009_ca_1034_fruit_c.jpg	2	2.122	0.4416	0.2547	
1034-3	1034	2009_ca_1034_fruit_c.jpg	3	2.3405	0.4463	0.2565	
1034-4	1034	2009_ca_1034_fruit_c.jpg	4	1.963	0.4448	0.2543	
1034-5	1034	2009_ca_1034_fruit_c.jpg	5	1.3398	0.4427	0.2535	
1035-1	1035	2009_ca_1035_fruit_c.jpg	1	0.8185	0.438	0.2538	
1035-2	1035	2009_ca_1035_fruit_c.jpg	2	0.5434	0.4435	0.2547	
1035-3	1035	2009_ca_1035_fruit_c.jpg	3	0.7284	0.421	0.2537	
1035-4	1035	2009_ca_1035_fruit_c.jpg	4	0.5328	0.4445	0.2523	
1035-5	1035	2009_ca_1035_fruit_c.jpg	5	1.1025	0.4454	0.2551	
1035-6	1035	2009_ca_1035_fruit_c.jpg	6	1.4155	0.4437	0.2533	
1035-7	1035	2009_ca_1035_fruit_c.jpg	7	1.4556	0.4462	0.2509	
1035-8	1035	2009_ca_1035_fruit_c.jpg	8	1.4612	0.4453	0.2567	
1035-9	1035	2009_ca_1035_fruit_c.jpg	9	1.0796	0.4425	0.2538	
1035-10	1035	2009_ca_1035_fruit_c.jpg	10	0.7252	0.434	0.253	
1037-1	1037	2009_ca_1037_fruit_c.jpg	1	0.6541	0.4456	0.256	
1037-2	1037	2009_ca_1037_fruit_c.jpg	2	1.2901	0.4474	0.2532	
1037-3	1037	2009_ca_1037_fruit_c.jpg	3	1.7411	0.4503	0.2568	
1037-4	1037	2009_ca_1037_fruit_c.jpg	4	1.499	0.4462	0.25	
1037-5	1037	2009_ca_1037_fruit_c.jpg	5	2.2885	0.448	0.2557	
1038-1	1038	2009_ca_1038_fruit_c.jpg	1	0.5897	0.4432	0.254	
1038-2	1038	2009_ca_1038_fruit_c.jpg	2	1.5932	0.4413	0.252	
1038-3	1038	2009_ca_1038_fruit_c.jpg	3	1.086	0.4419	0.2515	
1038-4	1038	2009_ca_1038_fruit_c.jpg	4	1.5757	0.4424	0.2531	
1039-1	1039	2009_ca_1039_fruit_c.jpg	1	0.8712	0.4543	0.2593	
1039-2	1039	2009_ca_1039_fruit_c.jpg	2	0.8541	0.4505	0.2609	
1039-3	1039	2009_ca_1039_fruit_c.jpg	3	1.0501	0.4449	0.2543	
1039-4	1039	2009_ca_1039_fruit_c.jpg	4	0.7075	0.4545	0.2555	
1039-5	1039	2009_ca_1039_fruit_c.jpg	5	0.9307	0.4508	0.2566	
1039-6	1039	2009_ca_1039_fruit_c.jpg	6	1.505	0.4336	0.2589	
1039-7	1039	2009_ca_1039_fruit_c.jpg	7	1.6056	0.4522	0.259	
1039-8	1039	2009_ca_1039_fruit_c.jpg	8	1.7563	0.4463	0.2517	
1039-9	1039	2009_ca_1039_fruit_c.jpg	9	0.4928	0.4544	0.2604	
1039-10	1039	2009_ca_1039_fruit_c.jpg	10	1.1235	0.4509	0.2601	
1040-1	1040	2009_ca_1040_fruit_c.jpg	1	1.3364	0.4508	0.2542	
1040-2	1040	2009_ca_1040_fruit_c.jpg	2	0.6146	0.4532	0.2617	
1040-3	1040	2009_ca_1040_fruit_c.jpg	3	1.0146	0.4507	0.2569	
1040-4	1040	2009_ca_1040_fruit_c.jpg	4	1.4271	0.4524	0.2532	
1040-5	1040	2009_ca_1040_fruit_c.jpg	5	1.1474	0.4498	0.26	
1041-1	1041	2009_ca_1041_fruit_c.jpg	1	0.8453	0.4416	0.2527	
1041-2	1041	2009_ca_1041_fruit_c.jpg	2	3.2946	0.4319	0.2544	
1041-3	1041	2009_ca_1041_fruit_c.jpg	3	2.5314	0.4438	0.2507	
1041-4	1041	2009_ca_1041_fruit_c.jpg	4	1.3672	0.4334	0.2559	
1041-5	1041	2009_ca_1041_fruit_c.jpg	5	1.313	0.4465	0.2532	
1042-1	1042	2009_ca_1042_fruit_c.jpg	1	1.5012	0.4367	0.2511	
1042-2	1042	2009_ca_1042_fruit_c.jpg	2	0.5762	0.4458	0.254	
1042-3	1042	2009_ca_1042_fruit_c.jpg	3	1.3447	0.439	0.2546	
1042-4	1042	2009_ca_1042_fruit_c.jpg	4	0.9462	0.4434	0.2523	
1042-5	1042	2009_ca_1042_fruit_c.jpg	5	0.7729	0.4396	0.2523	
1043-1	1043	2009_ca_1043_fruit_c.jpg	1	2.1221	0.4382	0.2544	
1043-2	1043	2009_ca_1043_fruit_c.jpg	2	2.7002	0.4351	0.2537	
1043-3	1043	2009_ca_1043_fruit_c.jpg	3	1.2908	0.4481	0.2534	
1043-4	1043	2009_ca_1043_fruit_c.jpg	4	1.4505	0.4424	0.2534	
1043-5	1043	2009_ca_1043_fruit_c.jpg	5	1.4682	0.4391	0.2437	
1046-1	1046	2009_ca_1046_fruit_c.jpg	1	1.3901	0.4402	0.2583	
