	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
106-5	106	2009_ca_106_fruit_c.jpg	5	0.623954	85.0514	150.793	66.2636	50.7132	94.522	39.2727	31.3385	28.6676	42.7637	42.928	
106-6	106	2009_ca_106_fruit_c.jpg	6	0.796156	90.6087	146.427	60.2787	47.1248	90.8541	37.319	32.4535	28.2469	41.7216	43.4065	
106-7	106	2009_ca_106_fruit_c.jpg	7	18.5014	25.7776	162.884	102.162	70.9139	109.967	49.2247	18.3862	30.1686	58.504	36.1377	
106-8	106	2009_ca_106_fruit_c.jpg	8	0.722298	92.5964	144.347	61.0037	50.0795	91.0821	37.1679	31.5518	26.2533	40.7104	41.4355	
107-1	107	2009_ca_107_fruit_c.jpg	1	1.03417	92.3567	145.799	60.1464	46.1974	90.1793	37.1762	32.2714	28.5517	41.7328	43.4397	
107-2	107	2009_ca_107_fruit_c.jpg	2	0.452258	97.2535	140.628	52.5242	44.9999	86.8864	34.8468	34.0052	26.2605	38.5791	43.2407	
107-3	107	2009_ca_107_fruit_c.jpg	3	0.749586	94.6364	148.458	58.316	48.0662	92.2298	37.3259	34.2152	27.7617	39.5821	44.3757	
107-4	107	2009_ca_107_fruit_c.jpg	4	0.188578	93.232	145.37	59.7456	44.8802	89.3688	36.9372	32.335	28.9964	42.0983	43.6906	
107-5	107	2009_ca_107_fruit_c.jpg	5	0.610241	88.359	153.576	72.8747	61.2761	100.819	41.2428	29.7595	25.4263	41.2002	39.5469	
107-6	107	2009_ca_107_fruit_c.jpg	6	1.74755	73.9888	147.901	68.1275	48.1746	92.1535	39.0956	29.1672	29.7469	45.7856	42.2129	
107-7	107	2009_ca_107_fruit_c.jpg	7	0.501965	92.7908	144.316	61.2555	48.447	90.4592	37.1503	31.3681	27.1787	41.398	41.8341	
107-8	107	2009_ca_107_fruit_c.jpg	8	0.206839	97.0055	142.28	55.9295	46.3303	88.4192	35.7895	33.0968	26.7156	39.8004	42.7939	
108-1	108	2009_ca_108_fruit_c.jpg	1	0.304662	83.4101	147.256	64.9502	49.4853	92.4801	38.4195	30.5407	28.3017	43.4537	41.979	
108-2	108	2009_ca_108_fruit_c.jpg	2	16.6708	36.9588	156.718	89.1253	54.7498	99.4684	45.1211	21.7626	33.4577	56.2159	40.907	
108-3	108	2009_ca_108_fruit_c.jpg	3	8.59778	47.5771	159.897	91.404	65.5755	106.023	46.306	22.5982	29.3812	52.6617	37.9253	
108-4	108	2009_ca_108_fruit_c.jpg	4	0.262376	88.745	142.283	57.1495	44.9878	87.8905	35.9676	32.3656	27.7251	40.9988	42.9616	
108-5	108	2009_ca_108_fruit_c.jpg	5	1.7826	87.6322	150.779	75.6762	62.8417	100.381	41.3933	27.2847	24.5198	42.7728	37.0771	
108-6	108	2009_ca_108_fruit_c.jpg	6	0.625182	85.702	128.06	54.8003	41.9841	79.9639	32.9539	28.0841	25.22	42.3067	38.1016	
108-7	108	2009_ca_108_fruit_c.jpg	7	21.2759	30.8374	153.748	90.5761	56.3951	98.8434	45.0693	19.8365	32.5047	58.236	39.0762	
108-8	108	2009_ca_108_fruit_c.jpg	8	1.02409	63.144	155.059	82.3518	61.6758	101.881	43.4679	25.3517	27.9309	48.1636	38.1689	
109-1	109	2009_ca_109_fruit_c.jpg	1	0.0607276	90.7531	147.2773	66.6585	53.5642	94.3137	40.5391	37.2428	23.187	31.906	43.871	
109-2	109	2009_ca_109_fruit_c.jpg	2	0.520442	78.9602	146.542	64.8591	48.4916	91.529	39.975	37.5277	25.3636	34.0533	45.295	
109-3	109	2009_ca_109_fruit_c.jpg	3	0.627685	85.2091	140.7822	62.6221	47.512	88.3827	38.6139	36.3923	23.9858	33.3884	43.5858	
109-4	109	2009_ca_109_fruit_c.jpg	4	1.09036	66.4651	144.8642	68.7821	47.6684	90.4266	40.4831	34.5223	26.397	37.4028	43.4579	
109-5	109	2009_ca_109_fruit_c.jpg	5	0.560423	62.1612	149.1375	71.9878	49.4508	93.3663	41.7799	34.5899	27.1969	38.1769	44.0015	
109-6	109	2009_ca_109_fruit_c.jpg	6	0.788419	94.9171	134.7884	51.5878	43.8295	83.5914	35.5236	39.7314	21.9686	28.9395	45.4005	
109-7	109	2009_ca_109_fruit_c.jpg	7	4.12596	44.1361	155.8785	90.042	65.4766	104.1128	46.7866	28.0702	24.8352	41.5008	37.4796	
109-8	109	2009_ca_109_fruit_c.jpg	8	2.34704	66.1455	149.8905	73.6853	50.98	94.4592	42.2576	34.0338	26.9193	38.3425	43.3929	
110-1	110	2009_ca_110_fruit_c.jpg	1	2.56603	46.6945	172.048	97.9021	72.0552	114.8163	50.8278	30.9126	27.0267	41.163	41.0613	
110-2	110	2009_ca_110_fruit_c.jpg	2	0.299428	88.0499	153.8186	70.1062	57.023	98.9754	42.3135	38.097	23.8152	32.0103	44.9282	
110-3	110	2009_ca_110_fruit_c.jpg	3	8.13232	36.8709	164.9391	102.8046	77.9742	114.2868	51.0491	25.4323	23.8337	43.1414	34.8547	
110-4	110	2009_ca_110_fruit_c.jpg	4	0.268317	95.2393	150.5434	65.0993	56.2674	96.9436	40.7818	39.5794	22.071	29.1457	45.3173	
110-5	110	2009_ca_110_fruit_c.jpg	5	0.481463	95.1611	164.3573	84.4095	75.3909	112.5579	46.9979	35.9718	19.7664	28.7887	41.0449	
110-6	110	2009_ca_110_fruit_c.jpg	6	0.209637	96.0303	157.4544	75.6873	67.8532	105.4548	44.0662	37.4688	19.8865	27.957	42.4191	
110-7	110	2009_ca_110_fruit_c.jpg	7	0.506162	87.514	160.9162	78.2657	65.2286	106.1397	45.0512	37.1225	22.893	31.6616	43.6138	
110-8	110	2009_ca_110_fruit_c.jpg	8	0.0628761	96.05	146.4305	66.2617	58.122	95.7363	40.3809	37.4845	20.313	28.4534	42.6345	
111-1	111	2009_ca_111_fruit_c.jpg	1	0.906807	82.3296	170.833	95.0018	81.299	118.516	48.8656	26.211	24.0981	42.8039	36.0016	
111-2	111	2009_ca_111_fruit_c.jpg	2	0.700592	86.1532	154.365	67.1963	53.4543	97.5628	40.1257	32.2835	28.3987	41.9398	43.4481	
111-3	111	2009_ca_111_fruit_c.jpg	3	0.0903496	95.2008	144.217	59.9843	48.1893	90.3143	36.8176	32.018	26.8844	40.7196	42.0658	
111-4	111	2009_ca_111_fruit_c.jpg	4	1.23654	88.0278	154.834	70.8198	58.8876	100.245	40.9754	31.0452	26.3438	41.2087	41.1989	
111-5	111	2009_ca_111_fruit_c.jpg	5	0.13669	94.1726	150.792	66.386	55.9446	96.9	39.3877	31.635	25.847	39.9117	41.1717	
111-6	111	2009_ca_111_fruit_c.jpg	6	2.14105	75.7262	157.08	77.2658	59.7129	101.708	42.6863	28.6242	28.0043	45.2723	40.6814	
111-7	111	2009_ca_111_fruit_c.jpg	7	0.0869656	93.3906	145.208	65.8642	55.5992	94.1397	38.315	29.8383	24.5338	40.2383	38.9468	
111-8	111	2009_ca_111_fruit_c.jpg	8	0.827982	93.669	149.906	72.2285	64.079	100.34	40.5597	28.9019	22.6792	39.1797	37.0864	
112-1	112	2009_ca_112_fruit_c.jpg	1	1.25569	96.8314	146.457	53.1067	43.0443	88.8957	35.9601	35.7198	28.9517	39.4254	46.2843	
112-2	112	2009_ca_112_fruit_c.jpg	2	0.366471	93.6903	140.292	56.4328	43.3216	86.1775	35.436	32.0228	27.8492	41.2077	42.747	
112-3	112	2009_ca_112_fruit_c.jpg	3	0.667474	81.3751	149.866	67.5581	50.3	94.0491	39.3389	30.3146	29.0074	43.9821	42.3552	
112-4	112	2009_ca_112_fruit_c.jpg	4	0.0625266	95.7322	144.841	59.0299	46.6704	89.9172	36.7521	32.5715	27.7518	40.5888	43.04	
112-5	112	2009_ca_112_fruit_c.jpg	5	1.06375	92.6237	137.4	53.8092	42.9768	84.6678	34.436	32.1759	26.7739	40.0097	42.2331	
112-6	112	2009_ca_112_fruit_c.jpg	6	0.222225	87.8981	141.099	63.0784	49.3732	89.4017	36.9993	29.3023	26.3621	42.5168	39.759	
112-7	112	2009_ca_112_fruit_c.jpg	7	2.70502	60.6256	150.126	82.6099	61.8334	99.6405	42.7268	23.2349	26.627	48.877	35.9509	
112-8	112	2009_ca_112_fruit_c.jpg	8	0.33609	89.9182	146.976	63.0997	49.7716	92.2334	37.9819	31.5073	27.5497	41.932	42.2491	
113-1	113	2009_ca_113_fruit_c.jpg	1	0.422846	98.1652	137.97	47.3572	40.1782	83.5615	33.3271	35.3032	27.1059	37.8394	44.6953	
113-2	113	2009_ca_113_fruit_c.jpg	2	0.266789	97.1829	122.774	47.8092	41.1845	76.8869	30.6486	29.6886	22.6422	38.1664	37.545	
113-3	113	2009_ca_113_fruit_c.jpg	3	0.447017	94.8606	142.324	56.8284	44.1143	87.6081	35.836	32.5719	28.0101	40.969	43.1952	
113-4	113	2009_ca_113_fruit_c.jpg	4	1.13077	87.7314	137.19	57.1098	43.7027	84.9553	35.0723	30.465	27.1111	42.2394	41.1758	
113-5	113	2009_ca_113_fruit_c.jpg	5	0.233842	97.4118	137.346	52.0977	44.0161	85.0026	34.1119	33.0846	25.7697	38.4475	42.1681	
113-6	113	2009_ca_113_fruit_c.jpg	6	0.654251	93.0505	142.095	59.6066	46.7246	88.5655	36.4384	31.2442	27.2265	41.7236	41.7898	
113-7	113	2009_ca_113_fruit_c.jpg	7	0.397496	96.1628	132.931	50.8444	41.7899	81.9931	33.0507	31.9789	25.6085	39.1209	41.2111	
113-8	113	2009_ca_113_fruit_c.jpg	8	1.1559	87.2206	141.406	59.1669	44.2578	87.221	36.1715	31.0425	28.2799	42.8133	42.3938	
114-1	114	2009_ca_114_fruit_c.jpg	1	0.460098	88.6469	152.6386	74.3789	61.4723	100.585	42.9829	35.6799	22.1407	31.8212	41.9913	
114-2	114	2009_ca_114_fruit_c.jpg	2	4.28078	71.1868	155.6345	80.0031	60.2873	101.4899	44.5886	33.5267	25.0429	36.758	41.8472	
114-3	114	2009_ca_114_fruit_c.jpg	3	0.367169	93.1424	150.022	59.7617	46.5267	92.1805	39.6053	41.4278	26.2507	32.3604	49.0445	
114-4	114	2009_ca_114_fruit_c.jpg	4	0.251313	81.9279	154.7509	74.414	58.5766	100.1832	43.303	36.2662	24.2746	33.7962	43.6404	
114-5	114	2009_ca_114_fruit_c.jpg	5	0.548514	83.5833	157.8389	75.5836	60.0562	102.3226	44.0143	36.9692	24.4602	33.4901	44.3286	
114-6	114	2009_ca_114_fruit_c.jpg	6	0.298185	95.4553	143.1636	55.2681	45.8555	88.4364	37.6217	41.2303	23.8014	29.997	47.6072	
114-7	114	2009_ca_114_fruit_c.jpg	7	0.115374	94.68	140.8902	61.0686	52.1067	90.4818	38.4101	37.6025	21.1403	29.3449	43.1377	
114-8	114	2009_ca_114_fruit_c.jpg	8	0.432468	88.3658	143.9985	69.4124	58.3614	94.9398	40.6422	34.6117	20.5529	30.7025	40.2541	
115-1	115	2009_ca_115_fruit_c.jpg	1	53.9722	6.224	160.1629	107.9835	58.0258	102.6461	51.3968	18.5179	34.5413	61.8038	39.192	
115-2	115	2009_ca_115_fruit_c.jpg	2	3.65584	89.2791	131.8184	52.5468	39.5668	80.5136	35.142	37.6571	23.8133	32.3081	44.5548	
115-3	115	2009_ca_115_fruit_c.jpg	3	3.28547	82.5094	137.491	62.0323	44.3449	85.4859	37.8995	35.0481	24.7284	35.2051	42.8936	
115-4	115	2009_ca_115_fruit_c.jpg	4	9.40125	61.355	143.2107	72.7236	46.3153	89.1302	41.0214	31.405	27.5918	41.3019	41.8041	
115-5	115	2009_ca_115_fruit_c.jpg	5	3.49199	78.4489	134.9079	60.8995	42.7034	83.5007	37.2512	34.5062	24.6732	35.5662	42.4199	
115-6	115	2009_ca_115_fruit_c.jpg	6	4.00308	65.6845	141.458	67.7216	43.992	87.1809	39.6881	33.4641	27.2267	39.1321	43.1409	
115-7	115	2009_ca_115_fruit_c.jpg	7	3.77486	84.3028	120.4418	51.2296	36.2924	73.692	32.8766	33.5214	22.3154	33.652	40.2699	
115-8	115	2009_ca_115_fruit_c.jpg	8	3.39712	78.6956	139.6219	64.1573	45.1811	86.7931	38.6887	34.8722	25.3043	35.9657	43.0857	
116-1	116	2009_ca_116_fruit_c.jpg	1	0.432647	80.4178	147.4681	65.1563	48.8127	92.092	40.221	37.6615	25.579	34.1837	45.5266	
