	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
108-4	108	2010_ca_108_fruit_C.jpg	4	.	.	134.8806	77.1849	55.0963	89.4007	40.8523	25.6484	22.3808	41.1079	34.0403	data normalized to color checker
108-5	108	2010_ca_108_fruit_C.jpg	5	.	.	129.5752	63.3046	46.8353	83.0164	36.8993	31.0583	21.7816	35.0425	37.9349	data normalized to color checker
109-1	109	2010_ca_109_fruit_C.jpg	1	.	.	134.1047	49.5197	40.3527	82.0926	34.9326	40.322	23.2605	29.9793	46.5501	data normalized to color checker
109-2	109	2010_ca_109_fruit_C.jpg	2	.	.	132.6795	50.4147	37.7228	80.1866	34.7633	39.1673	24.5322	32.0608	46.2159	data normalized to color checker
109-3	109	2010_ca_109_fruit_C.jpg	3	.	.	128.9409	55.6083	41.6572	80.2801	35.2031	34.9052	22.5898	32.9099	41.5772	data normalized to color checker
109-4	109	2010_ca_109_fruit_C.jpg	4	.	.	128.858	46.0819	35.276	77.2386	33.313	39.7541	24.0081	31.1284	46.4412	data normalized to color checker
109-5	109	2010_ca_109_fruit_C.jpg	5	.	.	131.6287	50.2849	39.1307	80.3556	34.5778	38.8769	23.4308	31.077	45.3918	data normalized to color checker
110-1	110	2010_ca_110_fruit_C.jpg	1	.	.	138.6646	66.5465	54.5176	90.9081	39.1408	33.6736	20.5231	31.3611	39.4349	data normalized to color checker
110-2	110	2010_ca_110_fruit_C.jpg	2	.	.	123.6874	54.2069	37.7607	75.9752	34.0547	33.1705	23.181	34.9475	40.4677	data normalized to color checker
110-3	110	2010_ca_110_fruit_C.jpg	3	.	.	133.5318	45.571	36.2758	79.9044	34.1018	41.8496	24.6126	30.4607	48.5506	data normalized to color checker
111-1	111	2010_ca_111_fruit_C.jpg	1	.	.	128.6588	49.8517	40.3538	79.5311	34.0411	37.961	21.8956	29.976	43.823	data normalized to color checker
111-2	111	2010_ca_111_fruit_C.jpg	2	.	.	134.4341	70.7268	49.2621	86.4453	39.2831	28.8591	23.5781	39.2491	37.2663	data normalized to color checker
111-3	111	2010_ca_111_fruit_C.jpg	3	.	.	136.0987	80.1272	49.7998	87.4816	41.6639	23.8202	26.3905	47.9305	35.5508	data normalized to color checker
111-4	111	2010_ca_111_fruit_C.jpg	4	.	.	127.7016	57.0158	42.2931	79.9954	35.3209	33.5802	22.3529	33.6499	40.3396	data normalized to color checker
111-5	111	2010_ca_111_fruit_C.jpg	5	.	.	136.0333	95.7902	61.4524	92.9345	45.627	14.9443	24.9036	59.0327	29.0434	data normalized to color checker
112-1	112	2010_ca_112_fruit_C.jpg	1	.	.	140.8698	70.3879	47.8528	88.8087	40.1522	31.8068	25.76	39.0037	40.9299	data normalized to color checker
112-2	112	2010_ca_112_fruit_C.jpg	2	.	.	134.1631	71.384	53.0465	88.0972	39.481	28.6394	21.6658	37.1076	35.9113	data normalized to color checker
112-3	112	2010_ca_112_fruit_C.jpg	3	.	.	137.9634	62.3174	46.0551	86.5896	38.0351	35.1778	24.0477	34.3567	42.6118	data normalized to color checker
112-4	112	2010_ca_112_fruit_C.jpg	4	.	.	140.1379	92.7256	66.5829	97.28	45.4055	19.3745	21.9936	48.6227	29.3102	data normalized to color checker
112-5	112	2010_ca_112_fruit_C.jpg	5	.	.	146.3784	75.2864	58.0695	96.2081	42.1217	32.1664	22.7167	35.2306	39.3793	data normalized to color checker
113-1	113	2010_ca_113_fruit_C.jpg	1	.	.	140.0068	66.2814	46.816	87.9144	39.1755	33.7577	25.1327	36.6678	42.086	data normalized to color checker
113-2	113	2010_ca_113_fruit_C.jpg	2	.	.	131.6541	54.1436	39.8893	80.718	35.3618	36.6676	23.968	33.1709	43.8062	data normalized to color checker
113-3	113	2010_ca_113_fruit_C.jpg	3	.	.	134.5914	50.8725	38.7589	81.572	35.2162	39.6654	24.5641	31.7692	46.6555	data normalized to color checker
113-4	113	2010_ca_113_fruit_C.jpg	4	.	.	133.5597	54.0954	40.153	81.7406	35.6058	37.6486	24.1583	32.6874	44.733	data normalized to color checker
113-5	113	2010_ca_113_fruit_C.jpg	5	.	.	125.3447	51.726	39.1032	77.3774	33.7649	35.4809	22.1016	31.9194	41.8017	data normalized to color checker
114-1	114	2010_ca_114_fruit_C.jpg	1	.	.	133.6351	66.1613	49.3551	86.1122	38.2656	31.1849	22.2643	35.5248	38.3171	data normalized to color checker
114-2	114	2010_ca_114_fruit_C.jpg	2	.	.	126.1726	49.9756	43.1669	79.6821	33.666	37.0522	19.6385	27.9246	41.9349	data normalized to color checker
114-3	114	2010_ca_114_fruit_C.jpg	3	.	.	134.9658	72.6072	58.4941	91.039	39.9332	28.8103	19.1736	33.6442	34.6073	data normalized to color checker
114-4	114	2010_ca_114_fruit_C.jpg	4	.	.	151.2252	78.2607	47.8876	93.6989	43.3246	31.7536	30.0099	43.3828	43.6908	data normalized to color checker
114-5	114	2010_ca_114_fruit_C.jpg	5	.	.	121.2945	50.0727	41.2481	76.4877	32.7756	34.9169	19.3984	29.0548	39.9436	data normalized to color checker
115-1	115	2010_ca_115_fruit_C.jpg	1	.	.	133.0111	55.8627	44.0796	83.3293	35.9531	36.6499	22.3331	31.3566	42.9183	data normalized to color checker
115-2	115	2010_ca_115_fruit_C.jpg	2	.	.	128.1628	59.3403	44.5724	81.2865	35.8188	32.6283	21.6094	33.5162	39.1353	data normalized to color checker
115-3	115	2010_ca_115_fruit_C.jpg	3	.	.	130.1572	59.1679	48.1658	83.9144	36.148	33.9038	20.0354	30.5809	39.3813	data normalized to color checker
115-4	115	2010_ca_115_fruit_C.jpg	4	.	.	123.5556	58.5204	39.7615	76.8532	34.8445	30.7537	23.0294	36.8272	38.4206	data normalized to color checker
