Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPG2657	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000022,SP:0000005	0	0	40191	40191		leaf production : Leaf color-Dull green/gray leaf, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1060
TOMJPG2680	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000042,SP:0000071	0	0	40191	40191		inflorescence : Inflorescence structure-Inflorescence structure not formed, leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1061
TOMJPG2686	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40191	40191		germination : Seed-Slow germination, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1062
TOMJPG2702	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40191	40191			http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1063
TOMJPG2704	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40191	40191		germination : Seed-Slow germination, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1064
TOMJPG2708	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000053,SP:0000120	0	0	40196	40196		germination : Seed-Seedling lethality, leaf production : Leaf color-Yellow leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1071
TOMJPG2717	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000120,SP:0000053	0	0	40196	40196		germination : Seed-Slow germination, leaf production : Leaf color-Yellow leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1072
TOMJPG2732	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000021	0	0	40197	40197		- : Plant size-Extremely small, - : Plant habit-Aborted growth	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1073
TOMJPG2741	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000057	0	0	40197	40197		leaf production : Leaf color-Variegation	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1074
TOMJPG2759	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000004,SP:0000071	0	0	40197	40197		inflorescence : Inflorescence structure-Inflorescence structure not formed, leaf production : Leaf morphology-Leaf texture	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1075
TOMJPG2765	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40198	40198		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1076
TOMJPG2766	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40200	40200		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1089
