Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPG1156	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	ll		90	11.1	39739	39798		leaf production : Leaf morphology-Leaf size	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=830
TOMJPG1158	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	m	SP:0000022	30	0	39742	39804		- : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=735
TOMJPG1169	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	10		10	100	39780			- : Plant size-Extremely small, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=831
TOMJPG1173	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			60	0	39737	39791		leaf production : Leaf color-Yellow-green leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=832
TOMJPG1174	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			40	0	39739	39790		leaf production : Leaf morphology-Leaf size	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=833
TOMJPG1198	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	L		50	0	39742	39806		leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=834
TOMJPG1269	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	S	SP:0000011,SP:0000102,SP:0000041	50	40				leaf production : Leaf morphology-Leaf width, fruit : Fruit size-Large fruit, fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=683
TOMJPG1311	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	ll		83.3	20	39740	39791		side shoot : -, germination : Seed-Slow germination, fruit : Fruit size-Small fruit, fruit : Sterility-Partial sterility, leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=836
TOMJPG1326	University of Tsukuba	gamma irradiation-induced mutant lines		3	0	0	LL	SP:0000082,SP:0000004	100	30	39736	39791		leaf production : Leaf morphology-Leaf width, flowering : Flower morphology-Flower organ width	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=681
TOMJPG1350	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	39959	39959		side shoot : -	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=826
TOMJPG1366	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	lm	SP:0000052,SP:0000042,SP:0000021	80	25	39742	39791		leaf production : Leaf morphology-Other leaf morphology, leaf production : Leaf color-White, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=837
TOMJPG1389	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0		SP:0000023,SP:0000031	100	10	39739	39791		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=838
TOMJPG1407	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	lm	SP:0000042,SP:0000056,SP:0000101,SP:0000106	90	22.2	39740	39791		fruit : Fruit size-Small fruit, fruit : Fruit color-Dark red fruit, fruit : Sterility-Partial sterility, leaf production : Leaf morphology-Leaf size, leaf production : Leaf color-Other leaf color	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=828
TOMJPG1430	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0		SP:0000023,SP:0000056,SP:0000101,SP:0000123	100	10	39737	39791		fruit : Fruit size-Small fruit, fruit : Fruit color-Dark red fruit, fruit : Sterility-Partial sterility, leaf production : Leaf color-Other leaf color, - : Plant size-Large plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=839
TOMJPG1436	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	lm	SP:0000101,SP:0000038,SP:0000056	70	28.6	39743	39800		fruit : Fruit size-Small fruit, fruit : Fruit morphology-Other fruit morphology, leaf production : Leaf color-Other leaf color	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=829
TOMJPG1472	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	L	SP:0000057	30	66.7	39762	39821		leaf production : Leaf color-Variegation	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=721
TOMJPG1479	University of Tsukuba	gamma irradiation-induced mutant lines		3	0	0	LM	PO:0005003	80	37.5	39762	39821			http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=722
TOMJPG1542	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	LS	SP:0000044	70	14.3	39762	39821		leaf production : Leaf morphology-Leaf texture	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=723
TOMJPG1558	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	LL	SP:0000004	50	20	39759	39821		leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=724
TOMJPG1559	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000102,SP:0000011	80	0	39615	39615		fruit : Fruit size-Large fruit, fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=650
TOMJPG1572	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	LL	SP:0000084,SP:0000011,SP:0000141	70	0	39762	39821		fruit : Fruit morphology-Other fruit morphology, fruit : Sterility-Partial sterility, flowering : Flower morphology-Flower organ width	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=725
TOMJPG1607	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	ll	SP:0000038	60	0	39797	39856		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=737
TOMJPG1634	University of Tsukuba	gamma irradiation-induced mutant lines		3	0	0		SP:0000042,SP:0000044,SP:0000021	70	42.9	39797	39856		leaf production : Leaf morphology-Leaf texture, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=726
TOMJPG1656	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0		SP:0000031,SP:0000004,SP:0000022	90	11.1	39797	39856		leaf production : Leaf morphology-Other leaf morphology, - : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=727
TOMJPG1676	University of Tsukuba	gamma irradiation-induced mutant lines		3	0	0		PO:0005003	90	33.3	39797	39857			http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=728
TOMJPG1679	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	ll		90	0	39807	39856		fruit : Fruit size-Small fruit, inflorescence : Inflorescence structure-Lots of flowers	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=738
TOMJPG1709	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0		SP:0000021,SP:0000044	70	28.6	39808	39856		leaf production : Leaf morphology-Leaf texture, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=730
TOMJPG1712	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	ll	SP:0000038	70	28.6	39808	39913		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=739
TOMJPG1718	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	ll		70	0	39808	39913			http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=740
TOMJPG1735	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0		SP:0000021,SP:0000054,SP:0000057	40	50	39808	39857		leaf production : Leaf color-Variegation	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=731
TOMJPG1740	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	ll		90	0	39808	39857		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=741
TOMJPG1754	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	s		50	0	39818			inflorescence : Inflorescence structure-Lots of flowers, - : Plant habit-Branching, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=742
TOMJPG1766	University of Tsukuba	gamma irradiation-induced mutant lines		3	0	0	4ml	SP:0000021,SP:0000130	100	30	40184	40184		germination : Seed-Slow germination, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1000
TOMJPG1781	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	4ml	SP:0000054,SP:0000061	60	0	40184	40184		leaf production : Leaf color-Yellow-green leaf, flowering : Flowering timing-Late	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1001
TOMJPG1802	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	2ml (0.4ml)	SP:0000021,SP:0000130	50	33.3	40184	40184		germination : Seed-Slow germination, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1002
TOMJPG1811	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	2ml	SP:0000044,SP:0000022,SP:0000130	50	20	40184	40184		germination : Seed-Slow germination, leaf production : Leaf morphology-Leaf texture, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1003
TOMJPG1838	University of Tsukuba	gamma irradiation-induced mutant lines		4	0	0	3.5ml	SP:0000130,SP:0000120,SP:0000022,SP:0000054	80	50	40184	40184		germination : Seed-Seedling lethality, leaf production : Leaf color-Yellow-green leaf, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1004
TOMJPG1839	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	4ml (1粒)	SP:0000038,SP:0000141	50	66.7	40184	40184		fruit : Fruit morphology-Other fruit morphology, fruit : Sterility-Partial sterility	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1005
TOMJPG1890	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml (0)	SP:0000081,SP:0000004,SP:0000023	70	14.3	40184	40184		leaf production : Leaf morphology-Other leaf morphology, flowering : Flower morphology-Flower homeotic mutation, - : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1007
TOMJPG1895	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml		60	16.7	40184	40184		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1008
TOMJPG1936	University of Tsukuba	gamma irradiation-induced mutant lines		4	0	0	4ml	SP:0000120,SP:0000130,SP:0000021	100	40	40185	40185		germination : Seed-Seedling lethality, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1009
TOMJPG1949	University of Tsukuba	gamma irradiation-induced mutant lines		4	0	0	4ml（0）	SP:0000011,SP:0000141,SP:0000041,SP:0000082	100	40	39615	39615		fruit : Fruit morphology-Other fruit morphology, fruit : Sterility-Partial sterility, leaf production : Leaf morphology-Leaf width, flowering : Flower morphology-Flower organ width	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=651
TOMJPG1967	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	4ml (2ml)	SP:0000071,SP:0000031	90	22.2	40185	40185		- : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1010
TOMJPG1983	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	4ml (0.4ml)	SP:0000038,SP:0000044,SP:0000022	80	25	40185	40185		fruit : Fruit morphology-Other fruit morphology, leaf production : Leaf morphology-Leaf texture, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1012
TOMJPG1990	University of Tsukuba	gamma irradiation-induced mutant lines		4	0	0	4ml	SP:0000054	60	66.7	40185	40185		leaf production : Leaf color-Yellow-green leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1013
TOMJPG2008	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	4ml	SP:0000044	87.5	0	40185	40185		leaf production : Leaf morphology-Leaf texture	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1014
TOMJPG2117	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	0	SP:0000142	20	0	40185	40185		fruit : Fruit size-Small fruit, fruit : Sterility-Full sterility, inflorescence : Inflorescence structure-Lots of flowers	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1020
TOMJPG2152	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml		83.3	20	40185	40185		germination : Seed-Slow germination, flowering : Flowering timing-Late, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1021
TOMJPG2194	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000054	90	0	39615	39615		leaf production : Leaf color-Yellow-green leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=652
TOMJPG2259	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml (0.25ml)	SP:0000031	40	25	40185	40185		leaf production : Leaf morphology-Leaf width, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1023
TOMJPG2265	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	2.75ml	SP:0000031	40	0	40185	40185		leaf production : Leaf morphology-Leaf texture, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1024
TOMJPG2268	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml (0.2ml)	SP:0000031	60	16.7	40185	40185		- : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1025
TOMJPG2294	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml	SP:0000130	70	14.3	40185	40185		germination : Seed-Slow germination	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1026
TOMJPG2306	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml	SP:0000130,SP:0000021	70	14.3	40185	40185		germination : Seed-Slow germination, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1027
TOMJPG2310	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	3.5ml		30	0	40185	40185		leaf production : Leaf color-Yellow-green leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1028
TOMJPG2331	University of Tsukuba	gamma irradiation-induced mutant lines		6	0	0	4ml (1.8ml)	SP:0000054,SP:0000021,SP:0000130	70	85.7	40185	40185		germination : Seed-Slow germination, leaf production : Leaf color-Yellow-green leaf, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1029
TOMJPG2348	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	3.25ml		80	25	40156	40156		flowering : Flower morphology-Flower homeotic mutation, - : Plant habit-Branching, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=999
TOMJPG2348	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	3.25ml	SP:0000004,SP:0000081	80	25	40185	40185		leaf production : Leaf morphology-Other leaf morphology, flowering : Flower morphology-Flower homeotic mutation	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1030
TOMJPG2358	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml (0.75ml)	SP:0000130	100	10	40185	40185		germination : Seed-Slow germination	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1031
TOMJPG2361	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	3.6ml	SP:0000130	50	20	40185	40185		germination : Seed-Slow germination	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1032
