	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
8646-5	8646	2010_oh_8646_fruit-t.jpg	5	17.8489	21.68	4.7498	4.8514	5.1308	5.4356	1.1204	1.0802	0.9572	0.7968	1.2013	0.9525	0.9357	0.5442	.	0.0445	224.7882	121.1363	0.0616	187.2642	87.3641	0.0018	0.011	0	0.2558	0.0291	0	0.0752	0.3738	0.7512	0.8889	0.884	1.0811	0.4465	 
8646-6	8646	2010_oh_8646_fruit-t.jpg	6	16.7647	18.9322	4.7244	4.8006	4.6736	4.953	1.0317	0.9892	0.9032	0.7742	1.1667	0.9688	0.965	0.525	.	0.024	201.0486	117.8656	0.0426	166.5382	94.0933	0	0	0	0.1943	0.0111	0	0.054	0.4327	0.7835	0.9268	0.8889	1.0411	0.406	 
8646-7	8646	2010_oh_8646_fruit-t.jpg	7	17.2429	19.5754	4.6228	4.6736	4.8768	5.1816	1.1087	1.0549	0.9011	0.8242	1.0933	0.9645	0.9457	0.5251	.	0.0186	205.2477	110.4969	0.0297	162.5392	90.7042	0	0	0	0.155	0.0488	0	0.0553	0.4326	0.7488	0.8889	0.8889	1.0556	0.4334	 
8646-8	8646	2010_oh_8646_fruit-t.jpg	8	16.9607	20.1213	4.6736	4.7244	5.1054	5.2832	1.1183	1.0924	0.9293	0.7663	1.2128	0.9595	0.9413	0.5132	.	0.029	218.5949	119.9544	0.0702	177.9386	80.9021	0	0	0	0.1906	0.0338	0	0.07	0.4279	0.7729	0.8889	0.8889	1.0959	0.4117	 
8646-9	8646	2010_oh_8646_fruit-t.jpg	9	15.3068	16.4703	4.1656	4.191	4.8006	4.9022	1.1697	1.1524	0.8476	0.8354	1.0146	0.9726	0.9406	0.5173	.	0.0133	199.4741	98.0738	0.0349	176.4908	97.4529	0	0	0.1304	0	0.036	0.0428	0	0.5337	0.7813	0.8982	0.8824	1.1538	0.4001	 
8647-1	8647	2010_oh_8647_fruit-t.jpg	1	15.8815	17.8354	4.7498	4.7498	4.4958	4.6736	0.984	0.9465	0.8449	0.8021	1.0533	0.979	0.9785	0.5334	.	0	170.1679	86.4402	0	177.4181	109.5797	0	0	0	0.1218	0.0277	0	0.0133	0.4837	0.765	0.8917	0.8861	0.9459	0.4113	 
8647-2	8647	2010_oh_8647_fruit-t.jpg	2	16.5343	18.4122	4.3942	4.3942	5.0546	5.1816	1.1792	1.1503	0.8728	0.7803	1.1185	0.9746	0.9438	0.5417	.	0.0189	208.9026	99.6121	0.0256	175.501	82.0554	0	0	0	0.1302	0.0199	0	0.0298	0.4906	0.7882	0.8989	0.8889	1.1765	0.4012	 
8647-3	8647	2010_oh_8647_fruit-t.jpg	3	16.0437	17.5748	4.6482	4.7498	4.5466	4.699	0.9893	0.9781	0.8361	0.8142	1.0268	0.9833	0.9747	0.4998	.	0.0207	204.1065	114.2856	0.0418	163.1367	107.8334	0	0	0.1125	0	0.034	0.0353	0	0.5153	0.7717	0.8931	0.882	0.9861	0.4105	 
8647-4	8647	2010_oh_8647_fruit-t.jpg	4	15.6337	16.4613	4.1656	4.2164	4.699	4.826	1.1446	1.128	0.8659	0.8171	1.0597	0.976	0.95	0.5327	.	0.0147	204.7941	100.4071	0.0129	168.4604	93.0423	0	0	0	0.0981	0.0108	0	0.0193	0.5049	0.7937	0.9202	0.8772	1.1538	0.3998	 
8647-5	8647	2010_oh_8647_fruit-t.jpg	5	14.9512	16.0832	4.4958	4.4958	4.2926	4.3688	0.9718	0.9548	0.8701	0.8192	1.0621	0.9816	0.9798	0.5298	.	0.0174	209.516	117.6924	0.0144	180.5614	109.1315	0	0	0	0.1085	0.0142	0	0.0149	0.5	0.7836	0.8874	0.8816	0.9571	0.409	 
