	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
5209-7	5209	2010_fl_5209_fruit-c.jpg	7	0.7692	0.3821	0.2136	
5209-8	5209	2010_fl_5209_fruit-c.jpg	8	1.8965	0.3546	0.2217	
5210-1	5210	2010_fl_5210_fruit-c.jpg	1	1.5623	0.3239	0.1672	
5210-2	5210	2010_fl_5210_fruit-c.jpg	2	1.3833	0.4451	0.2525	
5210-3	5210	2010_fl_5210_fruit-c.jpg	3	1.6412	0.4175	0.2355	
5210-4	5210	2010_fl_5210_fruit-c.jpg	4	1.421	0.4459	0.2517	
5210-5	5210	2010_fl_5210_fruit-c.jpg	5	1.0241	0.3688	0.2019	
5210-6	5210	2010_fl_5210_fruit-c.jpg	6	1.8628	0.4452	0.2531	
5210-7	5210	2010_fl_5210_fruit-c.jpg	7	2.1777	0.407	0.2294	
5210-8	5210	2010_fl_5210_fruit-c.jpg	8	1.5932	0.4157	0.2325	
5211-1	5211	2010_fl_5211_fruit-c.jpg	1	1.1037	0.4618	0.263	
5211-2	5211	2010_fl_5211_fruit-c.jpg	2	2.967	0.4452	0.25	
5211-3	5211	2010_fl_5211_fruit-c.jpg	3	2.0838	0.4462	0.25	
5211-4	5211	2010_fl_5211_fruit-c.jpg	4	2.4331	0.4465	0.2529	
5211-5	5211	2010_fl_5211_fruit-c.jpg	5	1.3421	0.4459	0.255	
5211-6	5211	2010_fl_5211_fruit-c.jpg	6	1.2004	0.4456	0.2517	
5212-1	5212	2010_fl_5212_fruit-c.jpg	1	0.5301	0.4421	0.2505	
5212-2	5212	2010_fl_5212_fruit-c.jpg	2	0.5709	0.4414	0.2517	
5212-3	5212	2010_fl_5212_fruit-c.jpg	3	0.9423	0.4416	0.2513	
5212-4	5212	2010_fl_5212_fruit-c.jpg	4	0.7593	0.4418	0.2528	
5212-5	5212	2010_fl_5212_fruit-c.jpg	5	1.0662	0.9946	0.6034	
5212-6	5212	2010_fl_5212_fruit-c.jpg	6	1.531	0.4419	0.2491	
5212-7	5212	2010_fl_5212_fruit-c.jpg	7	0.6466	0.4421	0.2519	
5212-8	5212	2010_fl_5212_fruit-c.jpg	8	1.1481	0.458	0.2615	
5213-1	5213	2010_fl_5213_fruit-c.jpg	1	2.4762	0.4012	0.2248	
5213-2	5213	2010_fl_5213_fruit-c.jpg	2	1.6311	0.4028	0.2246	
5213-3	5213	2010_fl_5213_fruit-c.jpg	3	1.2169	0.369	0.2027	
5213-4	5213	2010_fl_5213_fruit-c.jpg	4	2.2385	0.4324	0.2389	
5213-5	5213	2010_fl_5213_fruit-c.jpg	5	0.7216	0.3632	0.1997	
5213-6	5213	2010_fl_5213_fruit-c.jpg	6	1.073	0.4326	0.2474	
5214-1	5214	2010_fl_5214_fruit-c.jpg	1	3.0853	0.4168	0.2312	
5214-2	5214	2010_fl_5214_fruit-c.jpg	2	2.504	0.4761	0.2739	
5214-3	5214	2010_fl_5214_fruit-c.jpg	3	2.2072	0.4459	0.2545	
5214-4	5214	2010_fl_5214_fruit-c.jpg	4	2.0301	0.534	0.3136	
5214-5	5214	2010_fl_5214_fruit-c.jpg	5	1.3248	0.4162	0.2351	
5214-6	5214	2010_fl_5214_fruit-c.jpg	6	1.1265	0.4339	0.248	
5214-7	5214	2010_fl_5214_fruit-c.jpg	7	1.7892	0.4915	0.281	
5214-8	5214	2010_fl_5214_fruit-c.jpg	8	0.8091	0.492	0.2845	
5215-1	5215	2010_fl_5215_fruit-c.jpg	1	0.9584	0.3855	0.2134	
5215-2	5215	2010_fl_5215_fruit-c.jpg	2	2.4714	0.4159	0.2348	
5215-3	5215	2010_fl_5215_fruit-c.jpg	3	1.1485	0.3688	0.2043	
5215-4	5215	2010_fl_5215_fruit-c.jpg	4	1.9982	0.4308	0.2448	
5215-5	5215	2010_fl_5215_fruit-c.jpg	5	1.3155	0.3692	0.2055	
5215-6	5215	2010_fl_5215_fruit-c.jpg	6	1.1795	0.4018	0.2268	
5216-1	5216	2010_fl_5216_fruit-c.jpg	1	1.1713	0.3224	0.1763	
5216-2	5216	2010_fl_5216_fruit-c.jpg	2	1.2118	0.3231	0.1748	
5216-3	5216	2010_fl_5216_fruit-c.jpg	3	1.0758	0.388	0.2146	
5216-4	5216	2010_fl_5216_fruit-c.jpg	4	1.3309	0.3253	0.178	
5216-5	5216	2010_fl_5216_fruit-c.jpg	5	1.824	0.2894	0.1555	
5216-6	5216	2010_fl_5216_fruit-c.jpg	6	1.2137	0.3559	0.1971	
5216-7	5216	2010_fl_5216_fruit-c.jpg	7	0.9912	0.3711	0.2045	
5216-8	5216	2010_fl_5216_fruit-c.jpg	8	0.8202	0.4475	0.2531	
5217-1	5217	2010_fl_5217_fruit-c.jpg	1	1.2577	0.4447	0.2531	
5217-2	5217	2010_fl_5217_fruit-c.jpg	2	1.668	0.2804	0.195	
5217-3	5217	2010_fl_5217_fruit-c.jpg	3	1.2382	0.4764	0.2724	
5218-1	5218	2010_fl_5218_fruit-c.jpg	1	0.9094	0.3203	0.1741	
5218-2	5218	2010_fl_5218_fruit-c.jpg	2	0.973	0.3209	0.1718	
5218-3	5218	2010_fl_5218_fruit-c.jpg	3	0.6688	0.3865	0.2168	
