	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
5205-6	5205	2010_fl_5205_fruit-c.jpg	6	0.264173	89.2995	121.499	46.5461	31.4809	71.9873	30.0112	29.1035	27.5329	43.6889	40.2306	
5206-1	5206	2010_fl_5206_fruit-c.jpg	1	16.9006	12.7713	139.304	82.1942	44.7455	86.6116	40.8078	17.678	33.4138	61.5443	38.6121	
5206-2	5206	2010_fl_5206_fruit-c.jpg	2	16.7459	13.3584	140.855	84.5688	49.2831	89.4768	41.6307	17.3798	32.159	61.1316	37.5314	
5206-3	5206	2010_fl_5206_fruit-c.jpg	3	29.1991	3.34831	153.009	93.6522	49.0753	95.0987	45.5205	17.2043	37.0389	64.7957	41.4256	
5206-4	5206	2010_fl_5206_fruit-c.jpg	4	52.2335	0.946295	150.644	97.4831	44.0073	91.6005	46.0725	13.7216	40.1334	70.5809	43.1865	
5206-5	5206	2010_fl_5206_fruit-c.jpg	5	11.892	12.754	139.055	77.0836	40.7563	84.6172	39.5201	20.2552	34.0141	58.8882	40.1942	
5206-6	5206	2010_fl_5206_fruit-c.jpg	6	25.671	2.85467	143.657	89.3955	47.929	90.1579	43.1708	15.7042	34.7599	65.2164	39.0598	
5206-7	5206	2010_fl_5206_fruit-c.jpg	7	19.6491	18.2756	139.991	82.1278	45.6773	87.3731	40.8669	18.1409	33.117	60.5915	38.7478	
5206-8	5206	2010_fl_5206_fruit-c.jpg	8	11.161	40.5206	130.392	69.358	40.5454	80.4412	36.4157	20.973	30.2787	54.7441	37.6596	
5206-9	5206	2010_fl_5206_fruit-c.jpg	9	17.981	8.00824	137.384	80.4357	42.2803	84.548	40.0804	17.7117	33.8406	62.1456	38.8266	
5206-10	5206	2010_fl_5206_fruit-c.jpg	10	14.5707	4.65672	146.46	87.2561	48.2211	91.6147	43.0247	18.0656	34.3634	61.5068	39.4222	
5207-1	5207	2010_fl_5207_fruit-c.jpg	1	0.515392	90.3529	112.683	44.0553	29.6412	66.9716	27.871	26.9659	25.7121	43.6952	37.4316	
5207-2	5207	2010_fl_5207_fruit-c.jpg	2	0.84062	85.3621	122.292	51.9331	34.7836	73.9144	31.229	26.9134	27.0966	45.2887	38.3832	
5207-3	5207	2010_fl_5207_fruit-c.jpg	3	1.3401	89.1818	111.17	45.1449	31.7216	67.2375	27.8848	25.8649	24.4949	43.7139	35.8536	
5207-4	5207	2010_fl_5207_fruit-c.jpg	4	3.94235	73.2533	116.482	52.5378	33.9164	70.774	30.4088	24.1349	26.4972	48.1055	36.2728	
5207-5	5207	2010_fl_5207_fruit-c.jpg	5	0.227464	88.5969	116.662	47.4946	31.8691	69.8935	29.2992	26.8501	26.28	44.4786	37.7174	
5207-6	5207	2010_fl_5207_fruit-c.jpg	6	1.90089	80.5845	119.633	49.8304	32.9217	71.7869	30.3626	26.7798	27.0571	45.5163	38.4017	
5207-7	5207	2010_fl_5207_fruit-c.jpg	7	1.51116	74.9587	116.9	51.9309	33.1162	70.5946	30.2935	24.6217	26.7321	47.5489	36.5965	
5207-8	5207	2010_fl_5207_fruit-c.jpg	8	1.54246	84.4652	113.344	48.8502	34.1783	69.4196	29.0743	24.9298	24.5926	44.8265	35.2752	
5208-1	5208	2010_fl_5208_fruit-c.jpg	1	1.32257	77.7838	108.383	44.5124	26.7196	63.5766	27.1516	24.8562	26.2537	46.5259	36.4375	
5208-2	5208	2010_fl_5208_fruit-c.jpg	2	0.714475	89.2442	117.388	48.8457	34.6024	71.5223	29.7713	26.5527	25.3122	43.9235	36.8549	
5208-3	5208	2010_fl_5208_fruit-c.jpg	3	0.403906	93.3901	111.164	42.4555	29.3587	66.1255	27.2998	27.1645	25.1659	42.9854	37.163	
5208-4	5208	2010_fl_5208_fruit-c.jpg	4	0.456592	90.6069	115.913	45.9494	31.8142	69.5127	28.8812	27.3553	25.7916	43.4752	37.7535	
5208-5	5208	2010_fl_5208_fruit-c.jpg	5	0.987327	77.2756	113.058	48.7636	30.9038	67.7453	28.913	24.7038	26.202	46.7773	36.2438	
5208-6	5208	2010_fl_5208_fruit-c.jpg	6	0.299391	87.8002	112.392	47.217	32.3331	68.1033	28.5272	25.3421	24.9325	44.6185	35.7031	
5208-7	5208	2010_fl_5208_fruit-c.jpg	7	0.24433	86.117	113.296	46.6803	31.5865	68.1743	28.5206	25.9504	25.374	44.4492	36.4652	
5208-8	5208	2010_fl_5208_fruit-c.jpg	8	1.1781	76.9293	117.367	53.0371	34.4864	71.4589	30.5948	24.3343	26.3388	47.3916	36.0548	
5209-1	5209	2010_fl_5209_fruit-c.jpg	1	2.15841	67.9902	120.07	55.0503	34.7302	72.8463	31.5423	24.269	27.4032	48.7473	36.9468	
5209-2	5209	2010_fl_5209_fruit-c.jpg	2	14.6835	38.6798	132.386	70.4147	40.2473	81.2357	37.0087	21.086	31.1908	56.0779	38.4131	
5209-3	5209	2010_fl_5209_fruit-c.jpg	3	1.27486	61.7031	122.912	58.5948	36.7253	75.123	32.725	23.6401	27.7848	49.7035	36.7394	
5209-4	5209	2010_fl_5209_fruit-c.jpg	4	0.949186	79.4436	121.881	53.4331	35.5352	74.0753	31.492	25.9293	27.0057	46.3448	37.6921	
5209-5	5209	2010_fl_5209_fruit-c.jpg	5	2.54368	56.0783	124.948	58.6113	34.6421	75.0997	33.1047	24.2999	29.4519	50.6043	38.5594	
5209-6	5209	2010_fl_5209_fruit-c.jpg	6	10.1427	49.2884	125.169	63.9843	39.7434	77.6053	34.4427	21.6357	28.2902	53.2217	36.2579	
5209-7	5209	2010_fl_5209_fruit-c.jpg	7	6.36155	51.6528	121.301	59.1152	35.7228	73.8928	32.6877	22.5529	28.2977	51.9255	36.6614	
5209-8	5209	2010_fl_5209_fruit-c.jpg	8	32.8683	8.6085	136.777	84.8487	47.0609	86.5122	41.1996	15.1661	32.5331	65.313	36.5546	
5210-1	5210	2010_fl_5210_fruit-c.jpg	1	0.905994	79.7275	122.124	47.9827	29.8949	71.5359	30.3632	28.476	28.809	45.8175	40.7666	
5210-2	5210	2010_fl_5210_fruit-c.jpg	2	0.339243	87.1855	122.514	47.9926	32.1966	72.8016	30.4714	28.8032	27.6624	44.0084	40.1421	
5210-3	5210	2010_fl_5210_fruit-c.jpg	3	0.527383	71.2299	118.178	49.3669	29.1983	69.3532	29.9273	26.245	28.4784	47.5975	38.979	
5210-4	5210	2010_fl_5210_fruit-c.jpg	4	0.366921	73.6648	124.712	54.4373	34.0443	74.7075	32.1404	26.4696	28.6041	47.2393	39.1896	
5210-5	5210	2010_fl_5210_fruit-c.jpg	5	0.507481	80.3568	122.037	45.365	27.2334	70.2443	29.8407	29.6542	29.6955	45.4093	42.2338	
5210-6	5210	2010_fl_5210_fruit-c.jpg	6	1.07835	81.1276	123.991	50.555	32.7377	73.7544	31.2715	28.0627	28.3827	45.7258	40.1851	
5210-7	5210	2010_fl_5210_fruit-c.jpg	7	5.60307	52.1405	131.815	65.574	42.9855	82.2573	35.9194	23.6666	28.4084	51.0606	37.4925	
5210-8	5210	2010_fl_5210_fruit-c.jpg	8	0.800323	85.6554	117.187	45.1116	29.1606	68.8658	28.9238	28.0073	27.306	44.5843	39.3395	
5211-1	5211	2010_fl_5211_fruit-c.jpg	1	1.27796	73.1042	120.269	54.4384	34.1196	72.6527	31.3989	24.7295	27.5671	48.2245	37.2528	
5211-2	5211	2010_fl_5211_fruit-c.jpg	2	2.13217	71.1222	112.329	51.7251	33.1509	68.4611	29.4597	22.8791	25.5189	48.3276	34.5666	
5211-3	5211	2010_fl_5211_fruit-c.jpg	3	6.64447	39.049	120.435	60.0152	33.0831	72.244	32.6798	21.5632	29.6075	54.1888	37.0956	
5211-4	5211	2010_fl_5211_fruit-c.jpg	4	3.78821	40.414	127.266	61.5437	34.5375	76.143	34.1497	23.6124	30.8059	52.9654	39.1894	
5211-5	5211	2010_fl_5211_fruit-c.jpg	5	3.04843	56.7838	124.781	57.4312	33.996	74.7184	32.8476	24.7887	29.5103	50.3086	38.9384	
5211-6	5211	2010_fl_5211_fruit-c.jpg	6	3.4038	53.3548	121.813	57.5423	33.82	73.239	32.3522	23.5419	28.9073	51.0962	37.6958	
