Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
1001	SCT_0196	2010	Mills River	NC	1	Fla. 8233		
1002	SCT_0196	2010	Mills River	NC	2	Fla. 8233		
1181	SCT_0197	2010	Mills River	NC	1	Fla. 8249		
1182	SCT_0197	2010	Mills River	NC	2	Fla. 8249		
1191	SCT_0198	2010	Mills River	NC	1	Fla. 8293		
1192	SCT_0198	2010	Mills River	NC	2	Fla. 8293		
1201	SCT_0199	2010	Mills River	NC	1	Fla. 8344		
1202	SCT_0199	2010	Mills River	NC	2	Fla. 8344		
1211	SCT_0200	2010	Mills River	NC	1	Fla. 8352		
1212	SCT_0200	2010	Mills River	NC	2	Fla. 8352		
1221	SCT_0201	2010	Mills River	NC	1	Fla. 8476		
1222	SCT_0201	2010	Mills River	NC	2	Fla. 8476		
1231	SCT_0202	2010	Mills River	NC	1	Fla. 8516		
1232	SCT_0202	2010	Mills River	NC	2	Fla. 8516		
1241	SCT_0203	2010	Mills River	NC	1	Fla. 8539		
1242	SCT_0203	2010	Mills River	NC	2	Fla. 8539		
1251	SCT_0204	2010	Mills River	NC	1	Fla. 8543		
1252	SCT_0204	2010	Mills River	NC	2	Fla. 8543		
1261	SCT_0205	2010	Mills River	NC	1	Fla. 8561B-6		
1262	SCT_0205	2010	Mills River	NC	2	Fla. 8561B-6		
1271	SCT_0206	2010	Mills River	NC	1	Fla. 8599		
1272	SCT_0206	2010	Mills River	NC	2	Fla. 8599		
1281	SCT_0207	2010	Mills River	NC	1	Fla. 8608		
1282	SCT_0207	2010	Mills River	NC	2	Fla. 8608		
1291	SCT_0208	2010	Mills River	NC	1	Fla. 8624		
1292	SCT_0208	2010	Mills River	NC	2	Fla. 8624		
1301	SCT_0209	2010	Mills River	NC	1	Fla. 8626		
1302	SCT_0209	2010	Mills River	NC	2	Fla. 8626		
1311	SCT_0210	2010	Mills River	NC	1	Fla. 8629		
1312	SCT_0210	2010	Mills River	NC	2	Fla. 8629		
1321	SCT_0211	2010	Mills River	NC	1	Fla. 8646		
1322	SCT_0211	2010	Mills River	NC	2	Fla. 8646		
1331	SCT_0212	2010	Mills River	NC	1	Fla. 8653		
1332	SCT_0212	2010	Mills River	NC	2	Fla. 8653		
1341	SCT_0213	2010	Mills River	NC	1	Fla. 8735		
1342	SCT_0213	2010	Mills River	NC	2	Fla. 8735		
1351	SCT_0214	2010	Mills River	NC	1	Fla. 8737		
1352	SCT_0214	2010	Mills River	NC	2	Fla. 8737		
821	SCT_0215	2010	Mills River	NC	1	Flora-Dade		
822	SCT_0215	2010	Mills River	NC	2	Flora-Dade		
671	SCT_0216	2010	Mills River	NC	1	Gold Nugget		
672	SCT_0216	2010	Mills River	NC	2	Gold Nugget		
611	SCT_0217	2010	Mills River	NC	1	LA0797		
612	SCT_0217	2010	Mills River	NC	2	LA0797		
621	SCT_0218	2010	Mills River	NC	1	LA1996		
622	SCT_0218	2010	Mills River	NC	2	LA1996		
631	SCT_0219	2010	Mills River	NC	1	LA2378		
632	SCT_0219	2010	Mills River	NC	2	LA2378		
641	SCT_0220	2010	Mills River	NC	1	LA3163		
642	SCT_0220	2010	Mills River	NC	2	LA3163		
651	SCT_0221	2010	Mills River	NC	1	LA3736		
652	SCT_0221	2010	Mills River	NC	2	LA3736		
661	SCT_0222	2010	Mills River	NC	1	LA4425 		
662	SCT_0222	2010	Mills River	NC	2	LA4425 		
681	SCT_0223	2010	Mills River	NC	1	LargeGermanCherry		
682	SCT_0223	2010	Mills River	NC	2	LargeGermanCherry		
691	SCT_0224	2010	Mills River	NC	1	Legend		
692	SCT_0224	2010	Mills River	NC	2	Legend		
701	SCT_0225	2010	Mills River	NC	1	Medford 		
702	SCT_0225	2010	Mills River	NC	2	Medford 		
311	SCT_0226	2010	Mills River	NC	1	NC 7 P rep-8 (2006) - 96		
