		Tomato Analyzer - Shape Individual Data																																					
	SCT # 	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	sct#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
41-4	SCT_0146	41	2010_nc_41_fruit-t.jpg	4	43.4943	128.1526	12.4206	12.5476	11.938	12.7254	1.0142	0.9611	0.8896	0.7955	1.1183	0.944	0.9866	0.5383	0.9411	0.0397	229.5	119.9	0.0862	176.8	106.7	0.003	0	0	0.1847	6.314	0	12.284	0.4235	0.752	0.8995	0.8826	0.9641	0.4202	version 2
61-1	SCT_0148	61	2010_nc_61_fruit-t.jpg	1	50.6639	144.6758	13.589	13.7922	11.938	13.1826	0.9558	0.8785	0.9103	0.7869	1.1568	0.9028	0.9765	0.5302	1.5168	0.0689	232.6	131.8	0.1261	172.8	103.6	0	0	0	0.1553	10.027	0	15.7841	0.4385	0.7838	1.0074	0.8602	1.0305	0.4397	version 2
61-2	SCT_0148	61	2010_nc_61_fruit-t.jpg	2	52.8649	158.3752	13.3858	13.9954	14.5288	15.113	1.0799	1.0854	0.852	0.7362	1.1572	0.7526	0.925	0.3726	0.455	0.016	219.7	99.1	0.0842	167	88	0	0	0	0.1386	33.3754	0	35.4109	0.5063	0.7475	0.9117	0.8506	1.1327	0.4431	version 2
61-3	SCT_0148	61	2010_nc_61_fruit-t.jpg	3	46.2504	143.6113	13.5636	13.716	11.9126	13.0302	0.95	0.8783	0.9213	0.7884	1.1686	0.913	0.9798	0.539	1.5374	0.0694	225.7	132.2	0.1321	171.4	108	0	0	0	0.1969	5.0801	0	17.1039	0.4172	0.7305	0.8926	0.8863	0.8779	0.4379	version 2
61-4	SCT_0148	61	2010_nc_61_fruit-t.jpg	4	52.7006	157.4332	13.1318	13.7922	14.5542	15.24	1.105	1.1083	0.8491	0.7447	1.1403	0.759	0.921	0.3796	1.3811	0.0624	202.9	97.1	0.0942	167.2	90	0	0	0	0.1351	31.8731	0	35.2952	0.4968	0.6912	0.8247	0.8347	1.0895	0.4937	version 2
71-1	SCT_0149	71	2010_nc_71_fruit-t.jpg	1	38.93	100.1243	11.5062	11.7348	9.906	10.668	0.9091	0.8609	0.9558	0.7506	1.2735	0.8536	0.9659	0.52	1.3984	0.0619	227.8	143.1	0.1805	236.2	104.6	0	0	0	0.2415	8.0859	0	18.3883	0.4262	0.7446	0.8864	0.8864	0.8667	0.4316	version 2
71-2	SCT_0149	71	2010_nc_71_fruit-t.jpg	2	37.914	94.103	11.4554	11.5316	9.4996	10.3886	0.9009	0.8293	0.9202	0.7494	1.2278	0.8755	0.958	0.5378	1.9993	0.0921	185.7	138.3	0.2146	209	106.3	0.0722	0	0	0.2295	4.1176	0	18.4901	0.4156	0.7304	0.8896	0.8869	0.8278	0.4223	version 2
71-3	SCT_0149	71	2010_nc_71_fruit-t.jpg	3	38.7612	94.1237	11.4554	11.557	9.525	10.5664	0.9143	0.8315	0.8936	0.7517	1.1888	0.8823	0.9613	0.519	1.2872	0.0569	169.7	134.1	0.198	235.6	107.8	0.0665	0	0	0.1939	8.4916	0	14.5507	0.4276	0.7277	0.8935	0.8909	0.8483	0.4212	version 2
71-4	SCT_0149	71	2010_nc_71_fruit-t.jpg	4	39.2148	99.5875	11.4808	11.7856	9.7282	10.5664	0.8966	0.8473	0.958	0.7611	1.2587	0.8663	0.9669	0.5206	0	0.0977	226.5	142.8	0.1587	223.9	107	0.0001	0	0	0.2422	7.2337	0	17.3823	0.4194	0.7566	0.9181	0.8845	0.8722	0.4248	version 2
71-5	SCT_0149	71	2010_nc_71_fruit-t.jpg	5	47.8355	153.69	12.9286	12.9794	13.1064	14.4272	1.1115	1.0138	0.8959	0.8251	1.0857	0.9149	0.9642	0.5522	1.0581	0.0461	211.3	114.8	0.1262	213.6	93.6	0.0227	0	0	0.1465	7.351	0	11.8176	0.4437	0.7266	0.8898	0.8898	1.0148	0.4485	version 2
71-6	SCT_0149	71	2010_nc_71_fruit-t.jpg	6	47.9232	151.6907	12.9032	12.954	13.0302	13.9954	1.0804	1.0098	0.8996	0.8406	1.0703	0.9203	0.9665	0.5645	1.3517	0.0609	248.3	113.7	0.112	207	97.3	0.0145	0	0	0.1382	4.8727	0	11.2574	0.4803	0.7309	0.8739	0.8816	0.9901	0.4548	version 2
