	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	 Lobedness Degree	 Pericarp Area	Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
115-4	115	2010_ca_115_fruit_C.jpg	4	2.2575	0.4432	0.2493	
115-5	115	2010_ca_115_fruit_C.jpg	5	1.806	0.443	0.25	
116-1	116	2010_ca_116_fruit_C.jpg	1	1.1334	0.4423	0.2527	
116-2	116	2010_ca_116_fruit_C.jpg	2	1.289	0.4426	0.2506	
116-3	116	2010_ca_116_fruit_C.jpg	3	1.0075	0.4423	0.25	
116-4	116	2010_ca_116_fruit_C.jpg	4	0.9429	0.4431	0.2525	
116-5	116	2010_ca_116_fruit_C.jpg	5	1.4315	0.4419	0.2517	
117-1	117	2010_ca_117_fruit_C.jpg	1	1.614	0.441	0.2492	
117-2	117	2010_ca_117_fruit_C.jpg	2	1.4067	0.4417	0.2491	
117-3	117	2010_ca_117_fruit_C.jpg	3	1.1793	0.4318	0.2496	
117-4	117	2010_ca_117_fruit_C.jpg	4	1.5725	0.4407	0.2496	
118-1	118	2010_ca_118_fruit_C.jpg	1	0.4953	0.4414	0.25	
118-2	118	2010_ca_118_fruit_C.jpg	2	1.0391	0.4416	0.2517	
118-3	118	2010_ca_118_fruit_C.jpg	3	2.7935	0.4383	0.2526	
118-4	118	2010_ca_118_fruit_C.jpg	4	1.6183	0.4389	0.2514	
119-1	119	2010_ca_119_fruit_C.jpg	1	1.4095	0.4415	0.25	
119-2	119	2010_ca_119_fruit_C.jpg	2	1.1338	0.443	0.2517	
119-3	119	2010_ca_119_fruit_C.jpg	3	1.1516	0.4421	0.2514	
119-4	119	2010_ca_119_fruit_C.jpg	4	1.4925	0.4416	0.2523	
120-1	120	2010_ca_120_fruit_C.jpg	1	0.8166	0.444	0.2534	
120-2	120	2010_ca_120_fruit_C.jpg	2	2.3969	0.4447	0.2515	
120-3	120	2010_ca_120_fruit_C.jpg	3	1.8723	0.4495	0.255	
120-4	120	2010_ca_120_fruit_C.jpg	4	1.0702	0.4443	0.2527	
120-5	120	2010_ca_120_fruit_C.jpg	5	1.5084	0.4446	0.2523	
121-1	121	2010_ca_121_fruit_C.jpg	1	1.6705	0.4451	0.256	
121-2	121	2010_ca_121_fruit_C.jpg	2	2.6678	0.4461	0.2518	
121-3	121	2010_ca_121_fruit_C.jpg	3	0.9582	0.4442	0.2519	
