#data file for the solcap vintage 2009 metadata, #including project name, geolocation, and planting dates												
project_name	project_description	geo_description	latitude	longitude	datum	altitude	Sowing_date	Transplanting_date	First_Harvest_date	Last_Harvest_date	year	address
solcap vintage tomatoes 2009, NC State University	solcap vintage tomatoes 2009, NC State University	Mills River, North Carolina	35.4	-82.6	WGS84	774					2009	455 Research Dr., Mills River NC 28759
												
												
												
												
												
		35.4 N										
		82.6 W										
		774										
		NC State University										
		455 Research Dr., Mills River NC 28759										
		2009										
												
												
	Degrees and minutes followed by N(North) or S(South) Longitude	35.4 N										
	Degrees and minutes followed by E(East) or W(West)	82.6 W										
	Elevation (m asl)	774										
	Name of farm or institute	NC State University										
	Street address	455 Research Dr., Mills River NC 28759										
	Year (YYYY)	2009										
