	Tomato Analyzer - Shape Individual Data																																								
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro	  Proximal Angle Macro	  Proximal Indentation Area	  Distal Angle Micro	  Distal Angle Macro	  Distal Indentation Area	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	Comments			
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164				
301-1	301	2009_nc_301_fruit-t.jpg 	1	20.4665	26.418	6.0452	6.1722	4.699	5.2578	0.8519	0.7773	0.9454	0.7857	1.2032	0.8422	0.9476	0.5644	0	0.0934	230.7876	152.0797	0.1805	163.2715	115.5623	0	0	0	0.202	2.8447	0	7.6694	0.4286	0.7184	0.897	0.8862	0.7872	0.4663				 
301-2	301	2009_nc_301_fruit-t.jpg 	2	21.5518	29.3677	6.604	6.6294	4.5974	5.4102	0.8161	0.6962	0.9192	0.8385	1.0963	0.7998	0.9095	0.5629	0	0.1338	283.9116	158.4221	0.2934	177.3195	127.7628	0.0018	0	0	0.1202	4.3915	0	6.7038	0.5117	0.6792	0.8889	0.8889	0.6923	0.4832				 
301-3	301	2009_nc_301_fruit-t.jpg 	3	18.6504	24.3541	5.588	5.6134	5.1562	5.334	0.9502	0.9227	0.8773	0.8091	1.0843	0.9581	0.9902	0.5345	0.1327	0	201.7455	118.4004	0.0252	179.6883	114.0131	0.0019	0	0	0.131	2.3062	0	2.8455	0.4714	0.7656	0.8889	0.8791	0.9091	0.4141				 
301-4	301	2009_nc_301_fruit-t.jpg 	4	24.605	34.0432	7.3914	7.4422	5.334	5.6896	0.7645	0.7216	0.8729	0.8282	1.0539	0.9363	0.8997	0.5572	0.4515	0.0164	190.0645	139.5184	0.1072	169.5694	131.6743	0.0025	0	0	0.0966	2.991	0	3.2432	0.4947	0.7534	0.8889	0.8984	0.75	0.4399				 
301-5	301	2009_nc_301_fruit-t.jpg 	5	22.5688	32.7877	6.731	6.8326	5.6896	5.9436	0.8699	0.8453	0.8868	0.8453	1.0491	0.922	0.9588	0.5316	0.8398	0.0353	180.4034	133.2091	0.0291	179.6322	127.6096	0.0004	0	0	0.1384	6.6953	0	5.4627	0.4449	0.7554	0.8934	0.8713	0.8381	0.4288				 
301-6	301	2009_nc_301_fruit-t.jpg 	6	21.9546	31.4928	6.6294	6.7056	5.1816	5.7658	0.8598	0.7816	0.9502	0.7816	1.2157	0.8056	0.9415	0.5759	0	0.0977	185.5632	159.7278	0.2696	163.8972	111.5143	0	0	0	0.2102	2.2611	0	9.5285	0.4185	0.7168	0.8852	0.8852	0.7788	0.4578				 
302-1	302	2009_nc_302_fruit-t.jpg 	1	12.5415	10.7109	3.8354	3.8862	3.2004	3.4036	0.8758	0.8344	0.9139	0.7881	1.1597	0.9149	0.9647	0.5553	1.1911	0.0522	212.9113	143.0461	0.1153	168.5874	111.3858	0	0	0	0.1922	0.7068	0	4.0526	0.4478	0.7519	0.8929	0.885	0.8333	0.4323				 
302-2	302	2009_nc_302_fruit-t.jpg 	2	11.7995	9.589	3.6322	3.6576	3.1242	3.2512	0.8889	0.8601	0.9091	0.7762	1.1712	0.9289	0.9658	0.537	0.6501	0.0251	189.0375	141.6534	0.0828	169.9515	111.0985	0	0	0	0.1915	1.3622	0	3.3706	0.4609	0.7559	0.8889	0.8727	0.8571	0.4318				 
302-3	302	2009_nc_302_fruit-t.jpg 	3	10.8394	8.058	3.3782	3.3782	2.8956	2.9718	0.8797	0.8571	0.8947	0.7519	1.19	0.9489	0.9649	0.5322	0.1417	0	159.5646	140.1172	0	174.1735	115.2051	0	0	0	0.1668	1.7845	0	2.6515	0.4615	0.7759	0.8911	0.8824	0.8654	0.4114				 
302-4	302	2009_nc_302_fruit-t.jpg 	4	11.2186	8.6903	3.5814	3.6068	2.8956	2.9972	0.831	0.8085	0.8865	0.8085	1.0965	0.9531	0.9513	0.5567	0.4422	0.0152	182.9369	138.1858	0.0513	172.4392	124.6866	0	0	0	0.1547	1.188	0	1.3546	0.4492	0.7692	0.8911	0.8824	0.8036	0.4123				 
302-5	302	2009_nc_302_fruit-t.jpg 	5	11.4798	9.0374	3.5306	3.5306	2.9972	3.1496	0.8921	0.8489	0.8993	0.7626	1.1792	0.9161	0.965	0.5174	0.7008	0.0279	185.492	139.5747	0.0043	176.9635	114.1568	0.0007	0	0	0.1726	2.9756	0	2.9348	0.4355	0.7642	0.9038	0.8868	0.8545	0.4203				 
302-6	302	2009_nc_302_fruit-t.jpg 	6	12.2033	10.1529	3.7084	3.7338	3.2004	3.3782	0.9048	0.863	0.9041	0.7877	1.1478	0.9369	0.9672	0.5478	0.9795	0.0419	196.4408	138.0662	0.0854	163.7012	117.2543	0	0	0	0.1638	1.197	0	3.0753	0.4511	0.7576	0.8929	0.885	0.8621	0.4211				 
302-7	302	2009_nc_302_fruit-t.jpg 	7	12.425	10.4774	3.9878	4.0386	3.0988	3.302	0.8176	0.7771	0.8981	0.7516	1.1949	0.9352	0.9306	0.5264	0.8949	0.0372	198.5371	139.7297	0.0958	160.4326	118.5822	0	0	0	0.2067	0.7054	0	3.7658	0.4154	0.7442	0.8889	0.8807	0.7742	0.4243				 
302-8	302	2009_nc_302_fruit-t.jpg 	8	12.3285	10.3322	3.7846	3.8862	3.1496	3.4036	0.8758	0.8322	0.906	0.7718	1.1739	0.8923	0.9617	0.5268	0.7474	0.0304	179.445	144.3025	0.113	180	109.5568	0	0	0	0.1561	3.6241	0	3.9145	0.3955	0.7368	0.8829	0.8829	0.8305	0.4329				 
304-1	304	2009_nc_304_fruit-t.jpg	1	27.943	49.2089	8.89	8.89	5.842	6.6802	0.7514	0.6571	0.9343	0.8114	1.1514	0.7897	0.8783	0.5892	1.7898	0.0824	215.7799	168.2055	0.3502	172.8942	128.7784	0.0001	0	0	0.1703	0.874	0	9.4327	0.4516	0.6947	0.8835	0.8835	0.6594	0.4828				 
304-2	304	2009_nc_304_fruit-t.jpg	2	24.5224	36.5593	7.62	7.7216	5.1308	6.0452	0.7829	0.6733	0.92	0.7967	1.1548	0.7386	0.8837	0.5216	0	0.111	184.5026	163.6972	0.3593	178.5818	125.6688	0.0004	0	0	0.1834	9.038	0	9.5446	0.4048	0.6751	0.8939	0.8791	0.678	0.4767				 
305-1	305	2009_nc_305_fruit-t.jpg	1	34.2834	68.4283	11.3538	11.3792	5.8166	7.493	0.6585	0.5123	0.9172	0.8255	1.1111	0.6585	0.7139	0.5792	0	0.1251	244.2359	269.6419	0.4825	174.5464	140.1289	0	0	0	0.1455	6.9966	0	11.0224	0.4508	0.6259	0.8889	0.8889	0.5169	0.5149				 
305-2	305	2009_nc_305_fruit-t.jpg	2	34.324	69.8373	10.8712	11.0236	6.4008	7.8486	0.712	0.5888	0.9393	0.8294	1.1324	0.7017	0.8227	0.5931	0	0.2028	216.383	83.8847	0.4852	175.589	133.7148	0.0001	0	0	0.2039	4.0552	0	13.3533	0.4098	0.6494	0.8969	0.8772	0.5882	0.5066				 
307-1	307	2009_nc_307_fruit-t.jpg	1	30.4169	57.6534	9.8806	10.033	6.096	7.0612	0.7038	0.617	0.9306	0.8098	1.1492	0.7867	0.8363	0.5816	0	0.1777	217.9949	164.7631	0.325	175.5056	138.7438	0	0	0	0.214	3.5812	0	10.3655	0.4071	0.6931	0.8972	0.8807	0.6194	0.4769				 
307-2	307	2009_nc_307_fruit-t.jpg	2	30.6113	57.3141	9.8806	9.906	5.9436	7.1628	0.7231	0.6015	0.9126	0.8226	1.1094	0.7731	0.8291	0.5742	1.7458	0.0804	222.1606	160.1164	0.34	167.1799	138.1358	0	0	0	0.1525	5.5338	0	8.838	0.4613	0.6619	0.8857	0.89	0.6	0.4902				 
307-3	307	2009_nc_307_fruit-t.jpg	3	29.5761	48.9922	8.9154	8.9916	5.8166	7.0104	0.7797	0.6524	0.9174	0.7806	1.1752	0.7226	0.8617	0.5498	0	0.1399	203.872	72.0937	0.3909	175.1233	117.1008	0.0003	0	0	0.1772	11.8109	0	10.8895	0.4228	0.6836	0.891	0.9082	0.7015	0.4789				 
307-4	307	2009_nc_307_fruit-t.jpg	4	28.3181	48.8676	8.7376	8.89	5.8928	6.985	0.7857	0.6744	0.9593	0.7616	1.2595	0.7132	0.8721	0.567	0	0.0979	189.0731	177.7814	0.4124	166.341	127.9952	0	0	0	0.2513	7.292	0	13.7593	0.3668	0.6642	0.8922	0.8708	0.6691	0.4867				 
309-1	309	2009_nc_309_fruit-t.jpg	1	12.7675	10.658	3.6068	3.6068	3.6322	3.7846	1.0493	1.007	0.8592	0.7535	1.1402	0.969	0.9864	0.4965	0.3313	0.0098	191.2809	109.3526	0.011	171.0635	98.6497	0	0	0	0.139	1.6486	0	2.6312	0.503	0.7432	0.8943	0.8462	1	0.4247				 
309-2	309	2009_nc_309_fruit-t.jpg	2	12.0237	10.269	3.556	3.556	3.4544	3.5306	0.9929	0.9714	0.85	0.8286	1.0259	0.9482	0.9791	0.5087	0.4354	0.0153	190.221	109.6715	0.0203	165.5972	106.1709	0	0	0	0.1143	3.058	0	2.7122	0.482	0.7826	0.8926	0.8852	0.9643	0.4031				 
309-3	309	2009_nc_309_fruit-t.jpg	3	12.2595	9.5755	3.4036	3.429	3.5306	3.6576	1.0667	1.0373	0.8657	0.7687	1.1262	0.9736	0.9826	0.5271	0.4467	0.0157	208.5261	109.2896	0.034	172.2153	96.8588	0	0	0	0.1321	0.5874	0	2.4254	0.4909	0.7413	0.8833	0.8548	1.0192	0.4166				 
309-4	309	2009_nc_309_fruit-t.jpg	4	12.2429	9.9193	3.429	3.5052	3.4798	3.5814	1.0217	1.0148	0.8815	0.7778	1.1333	0.9744	0.9906	0.518	0.4361	0.0149	206.972	116.7517	0.0175	176.6708	99.3643	0	0	0	0.1554	0.9	0	2.5036	0.4641	0.8	0.9256	0.8819	1.037	0.3821				 
309-5	309	2009_nc_309_fruit-t.jpg	5	11.8985	9.6329	3.3274	3.3528	3.6576	3.7338	1.1136	1.0992	0.8397	0.7786	1.0784	0.9768	0.9723	0.5046	0.1395	0	177.4945	95.074	0	159.4813	98.6262	0	0	0	0.1581	1.1644	0	2.1832	0.4333	0.7671	0.896	0.8615	1.0769	0.3873				 
309-6	309	2009_nc_309_fruit-t.jpg	6	11.9011	10.0626	3.6068	3.6322	3.302	3.4036	0.9371	0.9155	0.8873	0.7676	1.156	0.9635	0.987	0.5375	0.6529	0.0253	196.0212	121.7812	0.0449	175.3264	104.9981	0.0006	0	0	0.1899	0.6241	0	2.3803	0.4338	0.782	0.9043	0.8739	0.9286	0.4135				 
309-7	309	2009_nc_309_fruit-t.jpg	7	12.4101	10.6851	3.6068	3.6322	3.6068	3.683	1.014	1	0.838	0.7887	1.0625	0.9859	0.9925	0.5177	0.2661	0.0069	191.5543	106.4292	0.0208	173.1048	99.1653	0	0	0	0.114	0.3681	0	0.7676	0.5	0.7778	0.8889	0.8819	1	0.4051				 
309-8	309	2009_nc_309_fruit-t.jpg	8	12.3568	10.1374	3.4798	3.5052	3.6322	3.683	1.0507	1.0438	0.8394	0.7664	1.0952	0.9873	0.9842	0.5147	0.1297	0	183.7889	99.6581	0	166.1028	96.7779	0	0	0	0.1187	0.2986	0	1.1022	0.5063	0.7778	0.8889	0.8819	1.037	0.3954				 
310-1	310	2009_nc_310_fruit-t.jpg	1	23.9984	37.3593	7.874	7.8994	5.0546	5.8674	0.7428	0.6419	0.8903	0.8065	1.104	0.8309	0.8677	0.5506	0	0.1009	229.5037	161.0365	0.2578	177.4222	133.6059	0	0	0	0.1505	4.887	0	6.4871	0.4459	0.687	0.8927	0.8827	0.6371	0.4685				 
310-2	310	2009_nc_310_fruit-t.jpg	2	24.3428	37.9935	7.9248	7.9502	5.0292	5.9944	0.754	0.6346	0.9103	0.7853	1.1592	0.7686	0.8573	0.5335	0	0.1066	220.1946	166.8013	0.3598	176.0157	126.676	0.0002	0	0	0.1545	7.0681	0	8.7083	0.4576	0.6723	0.8927	0.8876	0.6371	0.4774				 
310-3	310	2009_nc_310_fruit-t.jpg	3	32.5475	59.516	10.7188	10.7442	5.1816	6.8834	0.6407	0.4834	0.9147	0.8033	1.1386	0.6261	0.6943	0.5787	0	0.2328	235.3543	185.5943	0.5442	178.6961	142.3684	0	0	0	0.1849	2.2963	0	11.5166	0.4465	0.6	0.8901	0.8852	0.4821	0.5366				 
310-4	310	2009_nc_310_fruit-t.jpg	4	29.1073	48.9586	9.4488	9.4742	4.5974	6.5786	0.6944	0.4866	0.8898	0.8414	1.0575	0.6236	0.7293	0.54	0	0.1975	238.1686	179.3003	0.4764	162.8319	143.3733	0	0	0.0993	0	12.2287	9.6667	0	0.4788	0.5581	0.8889	0.8889	0.4865	0.5589				 
311-1	311	2009_nc_311_fruit-t.jpg	1	27.0645	43.5515	8.255	8.2804	5.5626	6.477	0.7822	0.6738	0.9015	0.8154	1.1057	0.8267	0.8942	0.5787	0	0.1064	193.6431	154.6163	0.2671	178.8669	119.9767	0	0	0	0.1176	5.4921	0	6.4831	0.4918	0.7795	1.0259	0.8919	0.7857	0.4195				 
311-2	311	2009_nc_311_fruit-t.jpg	2	23.1867	34.1696	6.985	7.0612	5.5118	6.0452	0.8561	0.7891	0.9164	0.7709	1.1887	0.8848	0.9499	0.5459	1.5493	0.07	204.8391	144.9887	0.1906	177.9293	115.3385	0.0002	0	0	0.2002	1.1561	0	8.213	0.4385	0.7257	0.8866	0.8776	0.7963	0.4491				 
312-1	312	2009_nc_312_fruit-t.jpg	1	25.3689	39.6728	7.8232	7.874	5.3594	6.2484	0.7935	0.6851	0.9123	0.7987	1.1423	0.8311	0.9063	0.5656	0	0.1301	209.8481	154.5603	0.2895	170.6376	123.4963	0	0	0	0.1674	1.8531	0	7.9547	0.4621	0.6857	0.8936	0.8796	0.6885	0.4764				 
312-2	312	2009_nc_312_fruit-t.jpg	2	24.9745	40.5644	7.5692	7.62	5.6134	6.6548	0.8733	0.7416	0.8725	0.8322	1.0484	0.8463	0.9447	0.5321	0	0.1351	240.1796	131.6648	0.2582	162.379	120.7236	0.0017	0	0	0.1346	6.9847	0	7.3712	0.4618	0.6743	0.8889	0.8889	0.7395	0.4768				 
312-3	312	2009_nc_312_fruit-t.jpg	3	25.9658	44.5347	8.128	8.1788	6.0198	6.6802	0.8168	0.7406	0.9313	0.7969	1.1686	0.8406	0.926	0.5616	1.9853	0.0917	201.2728	158.396	0.2403	169.7321	123.9243	0.0001	0	0	0.2041	3.5458	0	10.1059	0.4411	0.7176	0.891	0.8826	0.7344	0.4524				 
312-4	312	2009_nc_312_fruit-t.jpg	4	22.2394	33.0077	7.0612	7.112	5.207	5.6388	0.7929	0.7374	0.9101	0.8129	1.1195	0.8838	0.926	0.5789	1.476	0.0663	210.8267	151.6415	0.172	167.838	130.5116	0.0004	0	0	0.1974	2.3303	0	6.405	0.4369	0.733	0.8852	0.8852	0.7297	0.4479				 
313-1	313	2009_nc_313_fruit-t.jpg	1	24.485	41.2193	7.0612	7.0866	7.1374	7.493	1.0573	1.0108	0.8309	0.7626	1.0896	0.9569	0.9837	0.498	1.1909	0.053	230.281	101.6024	0.0924	174.1741	94.2879	0.0002	0	0	0.1269	4.1327	0	5.2878	0.4712	0.7619	0.8889	0.8889	1.009	0.3887				 
313-2	313	2009_nc_313_fruit-t.jpg	2	25.42	37.3251	6.7056	6.8072	6.5786	7.4422	1.0933	0.9811	0.7614	0.7727	0.9853	0.8814	0.9734	0.4413	0	0.0398	239.2257	98.5398	0.2043	142.7185	97.1153	0	0	0.1053	0	8.6849	10.2659	0	0.4852	0.7466	0.9689	0.8617	1.101	0.414				 
313-3	313	2009_nc_313_fruit-t.jpg	3	28.4233	49.4147	8.382	8.4582	5.9436	7.2136	0.8529	0.7091	0.9273	0.8152	1.1375	0.7945	0.9309	0.5655	0	0.1861	255.1144	147.0577	0.329	174.7032	113.561	0.0038	0	0	0.1841	1.8269	0	9.4639	0.4475	0.6855	0.9417	0.8778	0.7405	0.4788				 
313-4	313	2009_nc_313_fruit-t.jpg	4	22.7571	34.278	5.9944	5.9944	6.5786	7.0612	1.178	1.0975	0.8602	0.8136	1.0573	0.9451	0.9531	0.5467	1.1198	0.0495	228.7334	91.9187	0.1092	173.7045	91.1569	0	0	0	0.1224	3.5921	0	4.4085	0.4947	0.7509	0.9004	0.8851	1.1183	0.4281				 
314-1	314	2009_nc_314_fruit-t.jpg	1	31.0433	55.6257	6.0706	6.223	11.2014	11.684	1.8776	1.8452	0.8661	0.7029	1.2321	0.9107	0.8312	0.4889	0.3311	0.0093	214.8833	40.479	0.0337	147.8862	44.6505	0	0	0	0.1818	4.6972	0	16.7336	0.4565	0.7669	0.8889	0.8889	1.8526	0.3908				 
314-2	314	2009_nc_314_fruit-t.jpg	2	32.5171	67.2379	7.5184	7.5946	11.049	11.0998	1.4615	1.4696	0.8277	0.7534	1.0987	0.9744	0.8954	0.5272	0.7501	0.0302	230.4923	68.9684	0.0187	158.3264	62.9657	0	0	0	0.1836	1.9197	0	7.9966	0.4279	0.7936	0.8895	0.8849	1.4661	0.3846				 
314-3	314	2009_nc_314_fruit-t.jpg	3	29.2286	51.0586	6.3246	6.4008	9.8044	10.3632	1.619	1.5502	0.8112	0.743	1.0919	0.9238	0.8666	0.5242	0.7158	0.0288	233.4657	53.2765	0.0732	151.9744	48.6447	0	0	0	0.156	5.5897	0	10.2271	0.4484	0.7813	0.9244	0.8883	1.6224	0.3815				 
315-1	315	2009_nc_315_fruit-t.jpg	1	18.1599	22.5574	5.3594	5.4102	4.6736	5.2324	0.9671	0.872	0.8768	0.7962	1.1012	0.8647	0.9731	0.5092	0.6166	0.024	223.5431	132.4795	0.061	173.5488	106.7213	0.002	0	0	0.1493	7.7561	0	7.0236	0.432	0.7122	0.8902	0.8795	0.869	0.449				 
315-2	315	2009_nc_315_fruit-t.jpg	2	18.0249	21.5412	5.6134	5.6134	4.2164	4.7498	0.8462	0.7511	0.8778	0.8597	1.0211	0.8807	0.9328	0.5498	0	0.1112	221.6717	135.3025	0.1245	168.9826	132.3218	0.0006	0	0	0.1227	5.6774	0	3.2409	0.4866	0.7097	0.8919	0.8859	0.75	0.4535				 
315-3	315	2009_nc_315_fruit-t.jpg	3	18.436	23.7961	5.4102	5.4864	5.1816	5.461	0.9954	0.9577	0.892	0.7887	1.131	0.9346	0.9871	0.5041	0.3818	0.0118	202.2021	123.177	0.0512	172.0759	99.6334	0	0	0	0.1816	3.6963	0	5.4047	0.4047	0.757	0.8901	0.8852	0.9643	0.4205				 
315-4	315	2009_nc_315_fruit-t.jpg	4	16.6559	18.9548	4.7752	4.7752	4.7498	4.826	1.0106	0.9947	0.9043	0.7819	1.1565	0.9595	0.9853	0.5559	0.4486	0.0153	189.6889	120.9751	0.0291	175.4853	99.9179	0.001	0	0	0.1707	0.3545	0	4.2995	0.4527	0.7831	0.897	0.8757	1	0.4145				 
315-5	315	2009_nc_315_fruit-t.jpg	5	16.993	19.1742	4.8514	4.9022	4.572	4.7752	0.9741	0.9424	0.9372	0.8063	1.1623	0.912	0.9822	0.5622	0.3635	0.0115	177.9841	138.2006	0.0534	162.4913	110.5969	0.0003	0	0	0.1382	2.4011	0	4.6615	0.4646	0.7701	0.9	0.8834	0.96	0.4292				 
315-6	315	2009_nc_315_fruit-t.jpg	6	15.2026	16.1645	4.4704	4.4958	4.4196	4.4704	0.9944	0.9886	0.8523	0.7784	1.0949	0.9793	0.9937	0.5056	0.304	0.0087	180	113.7459	0	163.463	109.2328	0.0004	0	0	0.1197	1.8971	0	1.858	0.5028	0.7886	0.8903	0.8846	0.9857	0.3944				 
316-1	316	2009_nc_316_fruit-t.jpg	1	19.1221	22.3103	4.5974	4.7752	6.223	6.2992	1.3191	1.3536	0.6575	0.9006	0.7301	0.9084	0.9229	0.442	0	0	173.8631	48.6324	0	175.1245	102.4405	0	0	0.2042	0	2.9676	10.1016	0	0.5568	0.7854	0.8818	0.8858	1.3108	0.3479				 
316-2	316	2009_nc_316_fruit-t.jpg	2	19.5125	25.0251	4.826	4.953	6.5532	6.5532	1.3231	1.3579	0.6842	0.9053	0.7558	0.9378	0.9222	0.4755	0	0	161.3693	60.9076	0	175.6175	91.1802	0	0	0.2318	0	0.7393	10.8969	0	0.5811	0.8016	0.8918	0.8918	1.3553	0.366				 
316-3	316	2009_nc_316_fruit-t.jpg	3	18.2215	20.4554	4.3942	4.4704	5.7912	5.8928	1.3182	1.3179	0.6821	0.8786	0.7763	0.9411	0.9219	0.4839	0	0.0014	190.5751	53.1139	0.0036	177.8973	82.9844	0.0006	0	0.1973	0	1.9264	6.9771	0	0.562	0.7879	0.8966	0.8792	1.3382	0.3869				 
316-4	316	2009_nc_316_fruit-t.jpg	4	18.5114	21.6277	4.2672	4.318	6.5024	6.6294	1.5353	1.5238	0.7202	0.8155	0.8832	0.9702	0.8903	0.4596	0	0.0178	188.4584	55.8439	0.005	166.4009	78.2695	0	0	0.139	0	2.1385	4.1479	0	0.5206	0.7769	0.8821	0.8783	1.5075	0.3658				 
316-5	316	2009_nc_316_fruit-t.jpg	5	19.1954	23.2245	4.6482	4.7498	6.35	6.4262	1.3529	1.3661	0.6557	0.9071	0.7229	0.9127	0.9174	0.4662	0	0	159.1871	54.9041	0	167.6736	102.0182	0	0	0.2197	0	2.0119	10.8226	0	0.5625	0.7778	0.8829	0.8789	1.3425	0.3757				 
316-6	316	2009_nc_316_fruit-t.jpg	6	21.5318	28.6193	5.0292	5.1054	7.4422	7.5692	1.4826	1.4798	0.6414	0.8586	0.7471	0.8953	0.8884	0.4428	0	0.0122	185.1011	49.5817	0.0025	164.0654	74.8868	0	0	0.1973	0	4.4343	11.915	0	0.5333	0.7879	0.883	0.8897	1.481	0.3454				 
317-1	317	2009_nc_317_fruit-t.jpg	1	28.455	48.4683	5.5626	5.6388	10.8966	11.049	1.9595	1.9589	0.8767	0.7671	1.1429	0.9358	0.8302	0.4891	0.1326	0	188.7021	54.715	0	165.7336	44.352	0	0	0	0.1304	7.6313	0	5.2805	0.4598	0.788	0.893	0.886	1.9655	0.3779				 
317-2	317	2009_nc_317_fruit-t.jpg	2	28.6999	48.876	6.1214	6.3246	10.4394	10.7188	1.6948	1.7054	0.8714	0.5726	1.5217	0.8955	0.8624	0.4386	0.7452	0.0292	202.4278	56.7838	0.0316	154.24	55.8971	0	0.1579	0	0.2458	3.6223	0	22.0484	0.372	0.7791	0.8913	0.8865	1.7083	0.3471				 
317-3	317	2009_nc_317_fruit-t.jpg	3	29.1647	51.0373	5.8928	5.9944	10.9728	11.0744	1.8475	1.8621	0.9052	0.6638	1.3636	0.9198	0.8466	0.4547	0.324	0.0082	183.7073	45.6513	0.0087	150.7695	65.5296	0	0.2164	0	0.2368	4.6713	0	17.183	0.3739	0.7908	0.8889	0.8866	1.8696	0.3716				 
317-4	317	2009_nc_317_fruit-t.jpg	4	27.2348	48.4031	6.1722	6.2484	9.3472	9.6266	1.5407	1.5144	0.9136	0.7984	1.1443	0.9444	0.8849	0.5394	0.7625	0.0308	206.9253	79.407	0.0382	167.9622	62.5698	0.0003	0	0	0.184	2.8783	0	9.5959	0.4063	0.7778	0.8882	0.8909	1.5313	0.4091				 
317-5	317	2009_nc_317_fruit-t.jpg	5	29.1432	55.1915	6.858	6.9088	9.9314	10.3632	1.5	1.4481	0.8444	0.7481	1.1287	0.9475	0.8977	0.4637	0.1947	0.0029	205.8558	86.0742	0.0224	171.3785	72.9641	0	0	0	0.1477	6.5528	0	9.7491	0.4543	0.7764	0.9054	0.8852	1.463	0.3733				 
318-1	318	2009_nc_318_fruit-t.jpg	1	20.9041	30.2774	6.7818	6.8072	5.2324	5.2578	0.7724	0.7715	0.8951	0.8539	1.0482	0.9627	0.9236	0.5618	0.1351	0	173.6135	143.309	0	180	136.8252	0	0	0	0.1405	1.6505	0	2.0824	0.445	0.7961	0.8962	0.8817	0.7736	0.4181				 
318-2	318	2009_nc_318_fruit-t.jpg	2	22.9727	35.8683	7.2644	7.3152	5.5626	5.9944	0.8194	0.7657	0.9196	0.7727	1.19	0.9002	0.9398	0.5583	1.4907	0.0671	207.3049	152.9411	0.1397	178.7101	120.1884	0	0	0	0.1968	0.9064	0	7.662	0.4364	0.7404	0.8923	0.8832	0.7632	0.4396				 
318-3	318	2009_nc_318_fruit-t.jpg	3	19.023	22.3522	6.0198	6.0706	4.3942	4.6482	0.7657	0.73	0.8523	0.8354	1.0202	0.9354	0.8945	0.5402	0.5098	0.0195	198.9896	143.9237	0.0607	171.4859	128.589	0.0035	0	0	0.0785	6.1593	0	0.4916	0.507	0.7473	0.8718	0.8774	0.7391	0.4327				 
319-1	319	2009_nc_319_fruit-t.jpg	1	21.7422	30.818	6.5278	6.731	5.2832	5.7658	0.8566	0.8093	0.9455	0.7198	1.3135	0.8702	0.9571	0.509	1.4817	0.0661	225.9882	145.0892	0.1462	166.9646	96.5303	0	0	0	0.2406	3.4867	0	10.2614	0.3875	0.7434	0.913	0.875	0.8317	0.442				 
319-2	319	2009_nc_319_fruit-t.jpg	2	21.5913	30.0716	6.4262	6.6548	5.334	5.6642	0.8511	0.83	0.9644	0.7826	1.2323	0.8866	0.9578	0.5492	1.0255	0.0429	202.1534	146.6332	0.1015	168.5224	120.0386	0	0	0	0.2721	2.509	0	10.0307	0.3504	0.7568	0.9032	0.8796	0.84	0.4338				 
319-3	319	2009_nc_319_fruit-t.jpg	3	21.4784	29.9774	6.6548	6.8326	4.953	5.5626	0.8141	0.7443	0.958	0.7405	1.2938	0.8274	0.9271	0.5252	1.51	0.0675	211.0273	156.2957	0.2069	172.0081	110.209	0	0	0	0.2376	3.2018	0	10.4851	0.3921	0.7064	0.8902	0.88	0.7404	0.4586				 
319-4	319	2009_nc_319_fruit-t.jpg	4	19.1667	24.7116	5.715	5.842	4.9022	5.3086	0.9087	0.8578	0.9333	0.76	1.2281	0.9095	0.975	0.522	1.0383	0.0441	224.8713	135.2991	0.1168	166.9251	101.188	0	0	0	0.2249	1.3798	0	7.7424	0.3963	0.7404	0.8953	0.8851	0.8652	0.4379				 
319-5	319	2009_nc_319_fruit-t.jpg	5	20.4037	25.9941	5.8928	6.0452	5.0546	5.5118	0.9118	0.8578	0.931	0.7198	1.2934	0.8745	0.9672	0.4908	0.909	0.0378	224.0999	138.833	0.1423	170.5547	99.3426	0	0	0	0.2141	4.3519	0	9.5443	0.418	0.787	0.9659	0.8763	0.9659	0.4168				 
