SCT#	Year	Location	Location2	Plot	Replicate	Donor number/Variety Name:		
SCT_0348	2009	Fremont	Ohio	9026	2	PI 129084		
SCT_0349	2009	Fremont	Ohio	8956	1	PI 129128		
SCT_0349	2009	Fremont	Ohio	9039	2	PI 129128		
SCT_0350	2009	Fremont	Ohio	8957	1	PI 129142		
SCT_0350	2009	Fremont	Ohio	9025	2	PI 129142		
SCT_0351	2009	Fremont	Ohio	8958	1	PI 155372		
SCT_0351	2009	Fremont	Ohio	9046	2	PI 155372		
SCT_0352	2009	Fremont	Ohio	8961	1	PI 159009		
SCT_0352	2009	Fremont	Ohio	9033	2	PI 159009		
SCT_0353	2009	Fremont	Ohio	8962	1	PI 196297		
SCT_0353	2009	Fremont	Ohio	9059	2	PI 196297		
SCT_0354	2009	Fremont	Ohio	8980	1	PI 270408		
SCT_0354	2009	Fremont	Ohio	9027	2	PI 270408		
SCT_0355	2009	Fremont	Ohio	8966	1	PI 270430		
SCT_0355	2009	Fremont	Ohio	9045	2	PI 270430		
SCT_0356	2009	Fremont	Ohio	8967	1	PI 272703		
SCT_0356	2009	Fremont	Ohio	9043	2	PI 272703		
SCT_0357	2009	Fremont	Ohio	8979	1	Pomodoro Superselezione di Marmande		
SCT_0357	2009	Fremont	Ohio	9041	2	Pomodoro Superselezione di Marmande		
SCT_0327	2009	Fremont	Ohio	8913	1	Ponderosa		
SCT_0327	2009	Fremont	Ohio	9003	2	Ponderosa		
SCT_0310	2009	Fremont	Ohio	8914	1	Principe Borghese		
SCT_0310	2009	Fremont	Ohio	8998	2	Principe Borghese		
SCT_0358	2009	Fremont	Ohio	8959	1	Prospero		
SCT_0358	2009	Fremont	Ohio	9030	2	Prospero		
SCT_0311	2009	Fremont	Ohio	9067	2	Purple Calabash		
SCT_0360	2009	Fremont	Ohio	8945	1	Rinon PI 118783		
SCT_0360	2009	Fremont	Ohio	9044	2	Rinon PI 118783		
SCT_0359	2009	Fremont	Ohio	8942	1	Rinon PI 98097		
SCT_0359	2009	Fremont	Ohio	9058	2	Rinon PI 98097		
SCT_0312	2009	Fremont	Ohio	8915	1	Roma VF		
SCT_0312	2009	Fremont	Ohio	9016	2	Roma VF		
SCT_0361	2009	Fremont	Ohio	8977	1	Rosa o Monserrat		
SCT_0361	2009	Fremont	Ohio	9051	2	Rosa o Monserrat		
SCT_0362	2009	Fremont	Ohio	8949	1	Rumi Banjan		
SCT_0362	2009	Fremont	Ohio	9029	2	Rumi Banjan		
SCT_0313	2009	Fremont	Ohio	8927	1	Rutgers		
SCT_0313	2009	Fremont	Ohio	9002	2	Rutgers		
SCT_0314	2009	Fremont	Ohio	8916	1	San Marzano		
SCT_0314	2009	Fremont	Ohio	8992	2	San Marzano		
SCT_0363	2009	Fremont	Ohio	8944	1	Sao Paulo		
SCT_0363	2009	Fremont	Ohio	9024	2	Sao Paulo		
SCT_0315	2009	Fremont	Ohio	8935	1	Sponzillo		
SCT_0315	2009	Fremont	Ohio	9011	2	Sponzillo		
SCT_0316	2009	Fremont	Ohio	9065	2	StuPI ce		
SCT_0317	2009	Fremont	Ohio	8936	1	T1003		
SCT_0317	2009	Fremont	Ohio	9007	2	T1003		
SCT_0318	2009	Fremont	Ohio	8937	1	T1693		
SCT_0318	2009	Fremont	Ohio	9018	2	T1693		
SCT_0319	2009	Fremont	Ohio	8938	1	T1697		
SCT_0319	2009	Fremont	Ohio	9013	2	T1697		
SCT_0328	2009	Fremont	Ohio	8941	1	Tainan		
SCT_0328	2009	Fremont	Ohio	9023	2	Tainan		
SCT_0364	2009	Fremont	Ohio	8943	1	Tomate		
SCT_0364	2009	Fremont	Ohio	9064	2	Tomate		
SCT_0365	2009	Fremont	Ohio	8978	1	Tomate del lugar		
SCT_0365	2009	Fremont	Ohio	9060	2	Tomate del lugar		
SCT_0320	2009	Fremont	Ohio	8939	1	Tres Cantos		
SCT_0320	2009	Fremont	Ohio	8995	2	Tres Cantos		
SCT_0366	2009	Fremont	Ohio	8963	1	Turrialba		
SCT_0366	2009	Fremont	Ohio	9035	2	Turrialba		
SCT_0321	2009	Fremont	Ohio	8917	1	VFNT Cherry		
SCT_0321	2009	Fremont	Ohio	9001	2	VFNT Cherry		
SCT_0367	2009	Fremont	Ohio	8981	1	W-C 1050		
SCT_0367	2009	Fremont	Ohio	9042	2	W-C 1050		
SCT_0368	2009	Fremont	Ohio	8972	1	W-C 1537		
SCT_0368	2009	Fremont	Ohio	9048	2	W-C 1537		
SCT_0322	2009	Fremont	Ohio	8918	1	White Queen		
SCT_0322	2009	Fremont	Ohio	9017	2	White Queen		
SCT_0323	2009	Fremont	Ohio	8919	1	Yellow Pear		
SCT_0323	2009	Fremont	Ohio	9014	2	Yellow Pear		
SCT_0369	2009	Fremont	Ohio	8982	1	Zhongza No. 4		
SCT_0369	2009	Fremont	Ohio	9040	2	Zhongza No. 4		
