Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
2001	SCT_0325	2010	Mills River	NC	1	Ailsa Craig		
2011	SCT_0231	2010	Mills River	NC	1	VFNT Cherry		
2021	SCT_0286	2010	Mills River	NC	1	Amish Paste		
2031	SCT_0287	2010	Mills River	NC	1	Beauty		
2041	SCT_0290	2010	Mills River	NC	1	Brandywine ( Sudduth/Quisenberry)		
2051	SCT_0289	2010	Mills River	NC	1	BlackPlum		
2061	SCT_0292	2010	Mills River	NC	1	Cherokee Purple		
2071	SCT_0293	2010	Mills River	NC	1	Costoluto Genovese		
2081	SCT_0294	2010	Mills River	NC	1	D' Olvia x Industria		
2091	SCT_0295	2010	Mills River	NC	1	Favorite		
2101	SCT_0296	2010	Mills River	NC	1	Globe		
2111	SCT_0297	2010	Mills River	NC	1	GoldBall		
2121	SCT_0298	2010	Mills River	NC	1	Grushovka		
2131	SCT_0299	2010	Mills River	NC	1	HowardGerman		
2141	SCT_0300	2010	Mills River	NC	1	Juane Flammee		
2151	SCT_0301	2010	Mills River	NC	1	King Humbert		
2161	SCT_0302	2010	Mills River	NC	1	LYC1903		
2171	SCT_0303	2010	Mills River	NC	1	Marglobe		
2181	SCT_0304	2010	Mills River	NC	1	Moneymaker		
2191	SCT_0305	2010	Mills River	NC	1	Opalka		
2201	SCT_0306	2010	Mills River	NC	1	Orange Strawberry		
2211	SCT_0307	2010	Mills River	NC	1	Oxheart		
2221	SCT_0308	2010	Mills River	NC	1	PARAGON		
2231	SCT_0310	2010	Mills River	NC	1	PrincipeBorghese		
2241	SCT_0311	2010	Mills River	NC	1	Purple Clabash		
2251	SCT_0312	2010	Mills River	NC	1	RomaVF		
2261	SCT_0313	2010	Mills River	NC	1	Rutgers		
2271	SCT_0314	2010	Mills River	NC	1	SanMarzano		
2281	SCT_0315	2010	Mills River	NC	1	Sponzillo		
2291	SCT_0316	2010	Mills River	NC	1	Stupice		
2301	SCT_0317	2010	Mills River	NC	1	T1003		
2311	SCT_0318	2010	Mills River	NC	1	T1693		
2321	SCT_0319	2010	Mills River	NC	1	T1697		
2331	SCT_0320	2010	Mills River	NC	1	Tres Cantos		
2341	SCT_0322	2010	Mills River	NC	1	White Queen		
2351	SCT_0323	2010	Mills River	NC	1	Yellow Pear		 
2361	SCT_0324	2010	Mills River	NC	1	Yellow Stuffer		 
2371	SCT_0285	2010	Mills River	NC	1	Aker's West Virginia		
2381	SCT_0288	2010	Mills River	NC	1	Black From Tula		
2391	SCT_0291	2010	Mills River	NC	1	Burbank		
2401	SCT_0309	2010	Mills River	NC	1	Peron		
2411	SCT_0326	2010	Mills River	NC	1	Marveille des Marches		
2421	SCT_0327	2010	Mills River	NC	1	Ponderosa		
2431	SCT_0328	2010	Mills River	NC	1	Tainan (AVRDC #6)		
2441	SCT_0344	2010	Mills River	NC	1	PI 128586		
2451	SCT_0360	2010	Mills River	NC	1	Rinon PI118783		
2461	SCT_0364	2010	Mills River	NC	1	Tomate		
2471	SCT_0363	2010	Mills River	NC	1	Sao Paulo		
2481	SCT_0360	2010	Mills River	NC	1	Rinon PI118783		
2491	SCT_0332	2010	Mills River	NC	1	Abel		
2501	SCT_0341	2010	Mills River	NC	1	PI 124035		
2511	SCT_0342	2010	Mills River	NC	1	PI 124037		
2521	SCT_0362	2010	Mills River	NC	1	Rumi Banjan		
2531	SCT_0343	2010	Mills River	NC	1	PI 127820		
2541	SCT_0344	2010	Mills River	NC	1	PI 128592		
2551	SCT_0345	2010	Mills River	NC	1	PI 129026		
2561	SCT_0346	2010	Mills River	NC	1	PI 129033		
2571	SCT_0347	2010	Mills River	NC	1	PI 129084		
2581	SCT_0348	2010	Mills River	NC	1	PI 129128		
2591	SCT_0349	2010	Mills River	NC	1	PI 129142		
2601	SCT_0350	2010	Mills River	NC	1	PI 155372		
2611	SCT_0351	2010	Mills River	NC	1	Prospero		
2621	SCT_0333	2010	Mills River	NC	1	Chih-mu-tao-se		
2631	SCT_0352	2010	Mills River	NC	1	PI159009		
2641	SCT_0353	2010	Mills River	NC	1	PI196297		
2651	SCT_0366	2010	Mills River	NC	1	Turrialba		
2661	SCT_0339	2010	Mills River	NC	1	LA 410		
2671	SCT_0334	2010	Mills River	NC	1	Cotaxtla I		
2681	SCT_0355	2010	Mills River	NC	1	PI 270430		
2691	SCT_0356	2010	Mills River	NC	1	PI 272703		
2701	SCT_0338	2010	Mills River	NC	1	Kiyosu No. 2		
2711	SCT_0337	2010	Mills River	NC	1	Hong Kong		
2721	SCT_0335	2010	Mills River	NC	1	Devon Surprise		
2731	SCT_0336	2010	Mills River	NC	1	Heinz 1370		
2741	SCT_0368	2010	Mills River	NC	1	W-C 1537		
2751	SCT_0330	2010	Mills River	NC	1	A-1770		
2761	SCT_0331	2010	Mills River	NC	1	A-1771		
2771	SCT_0329	2010	Mills River	NC	1	1091-Chonto 21 (mataverde (3-21-2)		
2781	SCT_0340	2010	Mills River	NC	1	Peto 460		
2791	SCT_0361	2010	Mills River	NC	1	Rosa o Monserrat		
2801	SCT_0365	2010	Mills River	NC	1	Tomate del lugar		
