plant	fruit perimeter	fruit area	fruit mid-height width	fruit widest width	fruit length mid-width	fruit longest length	fruit shape index external	fruit shape index external 2	proximal fruit end blockiness 5%	distal fruit end blockiness 5%	fruit shape triangle 5%	proximal fruit end blockiness 10%	distal fruit end blockiness 10%	fruit shape triangle 10%	proximal fruit end blockiness 20%	distal fruit end blockiness 20%	fruit shape triangle 20%	proximal fruit end blockiness 30%	distal fruit end blockiness 30%	fruit shape triangle 30%	distal angle micro 2%	distal angle micro 5%	distal angle macro 10%	distal angle macro 15%	distal angle macro 20%	distal angle macro 25%	proximal fruit end height	proximal fruit end angle	proximal fruit end indentation	distal fruit end indentation	distal fruit end protrusion	obovoid	ovoid	vertical asymmetry	horizontal asymmetry obovoid	horizontal asymmetry ovoid	heart shape	fruit shape ellipsoid	fruit shape circular	fruit shape rectangular
03S10-63 test01	83.73	465.65	21.31	21.41	26.93	27.21	1.27	1.27	0.55	0.4	1.38	0.68	0.58	1.17	0.84	0.8	1.05	0.93	0.92	1.01	161.07	151.41	128.77	107.62	87.19	68.91	0.01	183.73	0	0	0	0.02	0.08	1.42	0	3.51	0.25	0.99	0.94	0.52
03S10-64 test01	61.08	260.51	17.12	17.17	18.64	18.78	1.1	1.09	0.53	0.45	1.18	0.67	0.6	1.11	0.85	0.8	1.06	0.95	0.91	1.04	172.43	163.91	143.8	120.6	98.23	78.35	0	182.14	0	0	0	0	0.13	0.48	0	1.28	0.15	0.99	0.98	0.52
03S10-65 test01	94.98	616.73	28.29	28.48	25.43	26.35	0.93	0.9	0.62	0.45	1.41	0.75	0.6	1.25	0.89	0.79	1.14	0.97	0.9	1.08	174.81	167.05	150.72	130.69	108.87	88.43	0.03	193.83	0	0	0	0	0.28	2.02	0	6.99	0.75	0.96	0.98	0.54
03S10-66 test01	71.27	353.89	21.52	21.53	19.86	20.1	0.93	0.92	0.56	0.47	1.19	0.69	0.62	1.12	0.85	0.8	1.07	0.95	0.91	1.04	178.12	171.03	155.45	135.57	111.41	89.83	0.01	184.28	0	0	0	0	0.16	0.82	0	1.93	0.27	0.99	0.99	0.53
03S10-67 test01	88.38	537.76	24.07	24.14	27.32	27.59	1.14	1.14	0.56	0.44	1.26	0.69	0.6	1.14	0.84	0.8	1.05	0.94	0.92	1.02	175.16	160.96	139.74	115.57	94.86	74.83	0.01	184.8	0	0	0	0.05	0.09	1.63	0	3.15	0.23	0.99	0.96	0.52
03S10-68 test01	89.48	522.44	19.55	19.62	32.89	33.01	1.69	1.69	0.53	0.43	1.22	0.68	0.62	1.11	0.84	0.84	0.99	0.92	0.95	0.97	162.82	139.43	110.5	86.45	65.17	46.94	0	180.38	0	0	0	0.11	0	2.44	1.98	3.5	0.08	0.97	0.86	0.51
03S10-69 test01	81.52	454.37	20.96	21.1	26.95	27.08	1.29	1.29	0.47	0.47	1	0.62	0.64	0.96	0.8	0.84	0.95	0.91	0.94	0.96	174.34	163.52	138.21	111.92	88.33	67.24	0	181.14	0	0	0	0.13	0.02	1.16	2.64	0.26	0.01	0.99	0.93	0.51
03S10-70 test01	81.29	444.33	23.8	23.91	22.52	22.9	0.96	0.95	0.58	0.45	1.32	0.71	0.6	1.18	0.86	0.8	1.08	0.95	0.91	1.04	170.73	165.99	149.27	131.06	109.91	88.98	0.01	188.68	0	0	0	0.02	0.16	1.4	0.18	3.71	0.27	0.98	0.99	0.53
03S10-71 test01	82.33	471.04	21.4	21.45	26.71	26.92	1.25	1.25	0.56	0.46	1.23	0.71	0.61	1.16	0.87	0.8	1.09	0.95	0.91	1.05	178.73	167.88	134.41	104.92	82.54	63.24	0	184.33	0	0	0	0	0.2	1.91	0	4.38	0.2	0.98	0.94	0.53
03S10-73 test01	58.8	248.19	17.55	17.61	16.93	17.09	0.97	0.96	0.57	0.48	1.2	0.72	0.63	1.14	0.87	0.81	1.08	0.96	0.92	1.04	175.91	172.17	153.86	132.32	108.63	86.85	0	184.72	0	0	0	0.01	0.22	0.91	0	2.04	0.21	0.98	0.99	0.54
