plant	fruit perimeter	fruit area	fruit mid-height width	fruit widest width	fruit length mid-width	fruit longest length	fruit shape index external	fruit shape index external 2	proximal fruit end blockiness 5%	distal fruit end blockiness 5%	fruit shape triangle 5%	proximal fruit end blockiness 10%	distal fruit end blockiness 10%	fruit shape triangle 10%	proximal fruit end blockiness 20%	distal fruit end blockiness 20%	fruit shape triangle 20%	proximal fruit end blockiness 30%	distal fruit end blockiness 30%	fruit shape triangle 30%	distal angle micro 2%	distal angle micro 5%	distal angle macro 10%	distal angle macro 15%	distal angle macro 20%	distal angle macro 25%	proximal fruit end height	proximal fruit end angle	proximal fruit end indentation	distal fruit end indentation	distal fruit end protrusion	obovoid	ovoid	vertical asymmetry	horizontal asymmetry obovoid	horizontal asymmetry ovoid	heart shape	fruit shape ellipsoid	fruit shape circular	fruit shape rectangular
03S10-115 test01	72.03	365.08	22.75	22.78	19.2	19.6	0.86	0.84	0.58	0.49	1.2	0.71	0.63	1.11	0.86	0.81	1.06	0.95	0.92	1.04	175.83	151.97	160.41	142.78	120.9	97.43	0.02	189.39	0	0	0	0	0.18	1.17	0	2.02	0.53	0.98	0.97	0.54
03S10-116 test01	80.83	399.66	16.68	16.88	27.53	28.15	1.67	1.65	0.64	0.58	1.12	0.79	0.71	1.11	0.91	0.84	1.09	0.98	0.92	1.07	264.58	225.44	147.62	93.01	58.02	36.86	0	182.15	0	0	0	0	0.3	2.91	0.51	5.18	0.16	0.91	0.86	0.57
03S10-118 test01	64.89	302.5	18.2	18.26	19.94	20.11	1.1	1.1	0.6	0.48	1.25	0.73	0.62	1.17	0.88	0.81	1.09	0.96	0.92	1.05	176.34	170.84	146.35	119.16	95.77	74.96	0	183.22	0	0	0	0	0.23	0.96	0.13	2.85	0.18	0.98	0.97	0.54
03S10-119 test01	65.94	313.08	19.46	19.54	19.49	19.65	1.01	1	0.54	0.48	1.13	0.68	0.63	1.09	0.85	0.81	1.05	0.95	0.92	1.03	184.82	196.04	154.09	129.78	104.87	83.24	0	181.08	0	0	0	0	0.18	1.33	0.07	1.54	0.15	0.99	0.99	0.52
03S10-121 test01	104.52	777.75	28.42	28.52	32.95	33.25	1.16	1.15	0.58	0.46	1.27	0.71	0.62	1.14	0.86	0.82	1.05	0.95	0.93	1.02	171.58	130.47	143.16	119.55	94.18	71.93	0.01	183.5	0	0	0	0.02	0.04	2.49	0	4.2	0.24	0.98	0.96	0.53
03S10-122 test01	64.53	271.43	14.52	14.65	23.09	23.47	1.6	1.59	0.59	0.25	2.42	0.74	0.47	1.61	0.88	0.72	1.23	0.95	0.88	1.09	118.19	95.88	108.19	87.31	67.48	54.06	0	180.37	0	0	0	0	0.16	1.62	0	8.82	0.15	0.95	0.88	0.49
03S10-124 test01	101.6	689.02	23.03	23.2	35.64	35.9	1.55	1.55	0.59	0.48	1.25	0.74	0.64	1.14	0.87	0.85	1.03	0.94	0.96	0.98	166.9	154.56	120.37	92.4	68.74	51.55	0	181.94	0	0	0	0.16	0.03	3.21	2.83	3.82	0.1	0.96	0.88	0.54
03S10-125 test01	63.11	259.88	16.09	16.26	20.07	20.07	1.23	1.25	0.5	0.44	1.14	0.66	0.59	1.12	0.85	0.81	1.06	0.95	0.93	1.02	176.12	152.19	131.93	110.5	90.62	71.61	0	180	0	0	0	0	0.22	0.92	0	1.23	0.12	0.99	0.95	0.52
03S10-126 test01	58.67	238.02	15.18	15.24	19.29	19.46	1.28	1.27	0.48	0.46	1.03	0.64	0.62	1.04	0.83	0.82	1.02	0.94	0.92	1.01	180.85	165.05	135.89	106.64	85.09	65.18	0	180.55	0	0	0	0	0.08	0.88	0.52	1.09	0.08	0.99	0.94	0.51
03S10-127 test01	76.57	397.96	19.09	19.16	24.84	25.42	1.33	1.31	0.57	0.49	1.17	0.7	0.64	1.09	0.84	0.83	1.02	0.93	0.93	1	235.48	196.27	144.04	105.59	81.04	60.97	0.01	183.82	0	0	0	0.01	0.11	2.28	1.32	2.84	0.16	0.97	0.92	0.52
03S10-128 test01	68.61	339.33	21.33	21.31	19.47	19.61	0.92	0.91	0.54	0.47	1.14	0.68	0.62	1.1	0.85	0.81	1.05	0.94	0.92	1.02	177.7	168.34	156.53	136.92	114.3	93.03	0	182.8	0	0	0	0	0.14	0.93	0	1.41	0.21	0.99	0.99	0.53
03S10-129 test01	61.76	272.53	18.15	18.19	18.44	18.51	1.02	1.02	0.54	0.44	1.24	0.68	0.6	1.14	0.85	0.79	1.08	0.95	0.91	1.04	174.96	169.43	144.88	123.59	103.58	84.27	0	182.81	0	0	0	0	0.1	0.9	0	2	0.18	0.99	0.99	0.52
03S10-130 test01	76.02	416.5	22.49	22.53	22.68	22.94	1.02	1.01	0.53	0.44	1.21	0.68	0.6	1.13	0.85	0.79	1.07	0.94	0.91	1.03	171.63	164.36	145.42	125.64	104.68	84.31	0	184.97	0	0	0	0	0.12	1.4	0.64	2.37	0.18	0.99	0.99	0.51
