	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	image files	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
547-3	547	2010_ca_11547_fruit_C.jpg	3	0.186378	98.7135	133.1262	48.5889	38.0323	80.538	34.5241	40.3529	24.091	30.8375	46.9971	data normalized to color checker
547-4	547	2010_ca_11547_fruit_C.jpg	4	0.664075	92.998	133.9703	53.429	40.3134	82.0111	35.5712	38.1962	24.0685	32.2162	45.1469	data normalized to color checker
547-5	547	2010_ca_11547_fruit_C.jpg	5	0.192246	98.6738	132.5131	49.8379	39.4069	80.897	34.6825	39.4971	23.4507	30.6989	45.9343	data normalized to color checker
548-1	548	2010_ca_11548_fruit_C.jpg	1	0.284215	66.7088	138.7226	64.4481	41.5633	84.8385	38.4838	33.9773	27.194	38.6723	43.5198	data normalized to color checker
548-2	548	2010_ca_11548_fruit_C.jpg	2	1.51237	63.8469	135.08	64.5126	41.623	83.1535	37.9343	32.3474	26.2896	39.1017	41.6833	data normalized to color checker
548-3	548	2010_ca_11548_fruit_C.jpg	3	1.00138	83.3398	131.6647	54.1997	35.8385	78.822	35.2543	36.4846	26.1556	35.6366	44.8914	data normalized to color checker
548-4	548	2010_ca_11548_fruit_C.jpg	4	0.59754	90.7863	149.3918	60.1012	42.2889	90.1991	39.3979	40.8858	28.3753	34.7612	49.7675	data normalized to color checker
548-5	548	2010_ca_11548_fruit_C.jpg	5	0.0863331	98.2696	136.4306	47.0645	35.9343	81.1109	34.7876	42.2823	25.7824	31.3735	49.523	data normalized to color checker
549-1	549	2010_ca_11549_fruit_C.jpg	1	0.249987	85.2324	134.9959	52.5412	35.0463	80.0188	35.5153	38.7799	27.0404	34.8873	47.2765	data normalized to color checker
549-2	549	2010_ca_11549_fruit_C.jpg	2	0.673739	94.9172	133.6286	47.5431	34.6908	79.2062	34.3844	40.8378	25.8611	32.3446	48.3376	data normalized to color checker
549-3	549	2010_ca_11549_fruit_C.jpg	3	1.35833	71.9276	131.8662	57.9022	37.8099	79.8459	36.0827	34.5645	26.0203	36.9726	43.2639	data normalized to color checker
549-4	549	2010_ca_11549_fruit_C.jpg	4	0.128071	90.7267	135.195	56.822	41.4558	83.1271	36.4333	36.8986	24.5211	33.6062	44.3034	data normalized to color checker
