	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
555-3	555	2010_ca_11555_fruit_C.jpg	3	1.8402	0.4441	0.2515	
555-4	555	2010_ca_11555_fruit_C.jpg	4	3.0237	0.4437	0.2507	
555-5	555	2010_ca_11555_fruit_C.jpg	5	1.533	0.4393	0.253	
556-1	556	2010_ca_11556_fruit_C.jpg	1	1.3262	0.4436	0.2532	
556-2	556	2010_ca_11556_fruit_C.jpg	2	3.4309	0.4438	0.2548	
556-3	556	2010_ca_11556_fruit_C.jpg	3	1.3734	0.4433	0.25	
556-4	556	2010_ca_11556_fruit_C.jpg	4	1.9783	0.4439	0.252	
556-5	556	2010_ca_11556_fruit_C.jpg	5	2.1687	0.4459	0.2534	
557-1	557	2010_ca_11557_fruit_C.jpg	1	1.9019	0.445	0.2539	
557-2	557	2010_ca_11557_fruit_C.jpg	2	2.4375	0.4436	0.2534	
557-3	557	2010_ca_11557_fruit_C.jpg	3	1.5661	0.4447	0.2523	
557-4	557	2010_ca_11557_fruit_C.jpg	4	1.9088	0.4451	0.2468	
557-5	557	2010_ca_11557_fruit_C.jpg	5	2.2371	0.4441	0.2535	
558-1	558	2010_ca_11558_fruit_C.jpg	1	1.6742	0.4443	0.2507	
558-2	558	2010_ca_11558_fruit_C.jpg	2	1.5612	0.4449	0.2555	
558-3	558	2010_ca_11558_fruit_C.jpg	3	1.3241	0.444	0.2533	
558-4	558	2010_ca_11558_fruit_C.jpg	4	1.4183	0.4442	0.2544	
558-5	558	2010_ca_11558_fruit_C.jpg	5	2.5326	0.4444	0.2521	
559-1	559	2010_ca_11559_fruit_C.jpg	1	1.8228	0.4441	0.2513	
559-2	559	2010_ca_11559_fruit_C.jpg	2	1.4795	0.4428	0.2516	
559-3	559	2010_ca_11559_fruit_C.jpg	3	1.7391	0.4426	0.2511	
559-4	559	2010_ca_11559_fruit_C.jpg	4	1.5905	0.4441	0.2555	
559-5	559	2010_ca_11559_fruit_C.jpg	5	1.3948	0.4433	0.2494	
560-1	560	2010_ca_11560_fruit_C.jpg	1	1.5428	0.4436	0.2525	
560-2	560	2010_ca_11560_fruit_C.jpg	2	1.5869	0.4426	0.2523	
560-3	560	2010_ca_11560_fruit_C.jpg	3	0.8012	0.4435	0.2519	
560-4	560	2010_ca_11560_fruit_C.jpg	4	1.5597	0.4441	0.2514	
560-5	560	2010_ca_11560_fruit_C.jpg	5	1.6495	0.4434	0.2488	
561-1	561	2010_ca_11561_fruit_C.jpg	1	2.4209	0.4437	0.2487	
561-2	561	2010_ca_11561_fruit_C.jpg	2	1.5221	0.4443	0.2493	
561-3	561	2010_ca_11561_fruit_C.jpg	3	1.7695	0.4439	0.2514	
561-4	561	2010_ca_11561_fruit_C.jpg	4	3.0731	0.4441	0.2493	
561-5	561	2010_ca_11561_fruit_C.jpg	5	1.5484	0.444	0.2513	
562-1	562	2010_ca_11562_fruit_C.jpg	1	1.4017	0.4449	0.2477	
562-2	562	2010_ca_11562_fruit_C.jpg	2	1.4453	0.4424	0.2555	
562-3	562	2010_ca_11562_fruit_C.jpg	3	0.8209	0.4445	0.2508	
562-4	562	2010_ca_11562_fruit_C.jpg	4	1.3063	0.4438	0.2529	
562-5	562	2010_ca_11562_fruit_C.jpg	5	1.9112	0.4444	0.2514	
563-1	563	2010_ca_11563_fruit_C.jpg	1	0.9415	0.4442	0.2507	
563-2	563	2010_ca_11563_fruit_C.jpg	2	1.2083	0.4441	0.25	
563-3	563	2010_ca_11563_fruit_C.jpg	3	1.4192	0.4441	0.2493	
563-4	563	2010_ca_11563_fruit_C.jpg	4	0.8746	0.4444	0.2507	
563-5	563	2010_ca_11563_fruit_C.jpg	5	1.9526	0.4439	0.2444	
564-1	564	2010_ca_11564_fruit_C.jpg	1	1.8951	0.4433	0.2487	
564-2	564	2010_ca_11564_fruit_C.jpg	2	0.9939	0.444	0.2534	
564-3	564	2010_ca_11564_fruit_C.jpg	3	0.9975	0.4444	0.2544	
564-4	564	2010_ca_11564_fruit_C.jpg	4	1.725	0.4447	0.2508	
564-5	564	2010_ca_11564_fruit_C.jpg	5	2.2219	0.4447	0.2515	
565-1	565	2010_ca_11565_fruit_C.jpg	1	2.2593	0.4446	0.25	
565-2	565	2010_ca_11565_fruit_C.jpg	2	0.8922	0.4452	0.2556	
565-3	565	2010_ca_11565_fruit_C.jpg	3	0.948	0.4439	0.252	
565-4	565	2010_ca_11565_fruit_C.jpg	4	0.8729	0.4446	0.2538	
565-5	565	2010_ca_11565_fruit_C.jpg	5	1.3489	0.4436	0.2526	
566-1	566	2010_ca_11566_fruit_C.jpg	1	1.2749	0.445	0.2547	
566-2	566	2010_ca_11566_fruit_C.jpg	2	0.6437	0.4421	0.2515	
566-3	566	2010_ca_11566_fruit_C.jpg	3	2.2752	0.4439	0.252	
566-4	566	2010_ca_11566_fruit_C.jpg	4	2.2922	0.4436	0.2513	
566-5	566	2010_ca_11566_fruit_C.jpg	5	1.328	0.4378	0.2534	
567-1	567	2010_ca_11567_fruit_C.jpg	1	1.4632	0.4445	0.2535	
567-2	567	2010_ca_11567_fruit_C.jpg	2	1.3543	0.4449	0.2538	
567-3	567	2010_ca_11567_fruit_C.jpg	3	2.7319	0.4442	0.25	
567-4	567	2010_ca_11567_fruit_C.jpg	4	0.9558	0.4444	0.2515	
567-5	567	2010_ca_11567_fruit_C.jpg	5	1.1414	0.4447	0.2537	
568-1	568	2010_ca_11568_fruit_C.jpg	1	1.535	0.4443	0.2514	
568-2	568	2010_ca_11568_fruit_C.jpg	2	2.4575	0.4442	0.2478	
568-3	568	2010_ca_11568_fruit_C.jpg	3	1.2466	0.4455	0.2518	
568-4	568	2010_ca_11568_fruit_C.jpg	4	1.8058	0.4449	0.25	
568-5	568	2010_ca_11568_fruit_C.jpg	5	2.0253	0.4448	0.2523	
569-1	569	2010_ca_11569_fruit_C.jpg	1	1.4256	0.4433	0.2524	
569-2	569	2010_ca_11569_fruit_C.jpg	2	2.1531	0.4446	0.2536	
569-3	569	2010_ca_11569_fruit_C.jpg	3	2.4826	0.4441	0.2493	
569-4	569	2010_ca_11569_fruit_C.jpg	4	2.6432	0.4427	0.2511	
569-5	569	2010_ca_11569_fruit_C.jpg	5	2.8599	0.4423	0.2487	
570-1	570	2010_ca_11570_fruit_C.jpg	1	1.3597	0.4444	0.2528	
570-2	570	2010_ca_11570_fruit_C.jpg	2	1.7619	0.4441	0.2529	
570-3	570	2010_ca_11570_fruit_C.jpg	3	1.7587	0.4451	0.2532	
570-4	570	2010_ca_11570_fruit_C.jpg	4	0.9025	0.4439	0.2542	
570-5	570	2010_ca_11570_fruit_C.jpg	5	1.091	0.4436	0.2538	
571-1	571	2010_ca_11571_fruit_C.jpg	1	1.5658	0.444	0.2507	
571-2	571	2010_ca_11571_fruit_C.jpg	2	1.8274	0.4437	0.25	
571-3	571	2010_ca_11571_fruit_C.jpg	3	1.3881	0.4423	0.2516	
571-4	571	2010_ca_11571_fruit_C.jpg	4	1.9659	0.444	0.2486	
571-5	571	2010_ca_11571_fruit_C.jpg	5	1.6868	0.4424	0.2507	
572-1	572	2010_ca_11572_fruit_C.jpg	1	1.6469	0.4449	0.2515	
572-2	572	2010_ca_11572_fruit_C.jpg	2	3.2907	0.4443	0.2457	
572-3	572	2010_ca_11572_fruit_C.jpg	3	1.9446	0.4448	0.2523	
572-4	572	2010_ca_11572_fruit_C.jpg	4	1.8484	0.4447	0.2516	
572-5	572	2010_ca_11572_fruit_C.jpg	5	2.7805	0.4443	0.2485	
573-1	573	2010_ca_11573_fruit_C.jpg	1	2.1147	0.444	0.2486	
573-2	573	2010_ca_11573_fruit_C.jpg	2	2.5213	0.4414	0.2533	
573-3	573	2010_ca_11573_fruit_C.jpg	3	1.1905	0.4441	0.2513	
573-4	573	2010_ca_11573_fruit_C.jpg	4	2.4703	0.444	0.2535	
573-5	573	2010_ca_11573_fruit_C.jpg	5	4.0035	0.4441	0.2427	
574-1	574	2010_ca_11574_fruit_C.jpg	1	1.0238	0.4441	0.2527	
574-2	574	2010_ca_11574_fruit_C.jpg	2	1.267	0.4437	0.2519	
574-3	574	2010_ca_11574_fruit_C.jpg	3	1.165	0.4437	0.2532	
574-4	574	2010_ca_11574_fruit_C.jpg	4	0.7417	0.4435	0.2537	
574-5	574	2010_ca_11574_fruit_C.jpg	5	1.7159	0.4434	0.2525	
575-1	575	2010_ca_11575_fruit_C.jpg	1	2.0022	0.4467	0.249	
575-2	575	2010_ca_11575_fruit_C.jpg	2	1.4382	0.4468	0.255	
575-3	575	2010_ca_11575_fruit_C.jpg	3	1.9033	0.447	0.2562	
