	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg.
 Red	Avg. Green	Avg. 
Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit No.	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
101-1	101	2009_ca_101_fruit_c.jpg	1	.	.	145.3099	63.5693	51.9619	92.5748	39.5784	38.0134	22.9457	31.1161	44.4018	
101-2	101	2009_ca_101_fruit_c.jpg	2	.	.	148.9324	70.3651	53.1797	94.97	41.503	35.7099	24.7578	34.7338	43.4528	
101-3	101	2009_ca_101_fruit_c.jpg	3	.	.	142.5123	59.5581	47.2729	89.1617	38.3422	38.6022	23.923	31.7878	45.4141	
101-4	101	2009_ca_101_fruit_c.jpg	4	.	.	149.457	61.9379	51.7391	94.4432	39.9407	40.5223	23.6235	30.2411	46.9055	
101-5	101	2009_ca_101_fruit_c.jpg	5	.	.	153.893	74.8707	59.5156	100.1984	43.268	35.6601	23.652	33.5548	42.7909	
101-6	101	2009_ca_101_fruit_c.jpg	6	.	.	154.1303	75.1845	58.3001	99.7943	43.33	35.5007	24.4586	34.5653	43.1105	
101-7	101	2009_ca_101_fruit_c.jpg	7	.	.	155.2121	83.4935	58.519	100.5067	45.1983	31.1393	26.7661	40.681	41.0619	
101-8	101	2009_ca_101_fruit_c.jpg	8	.	.	155.5032	79.9181	57.2622	100.0221	44.4641	33.242	26.4694	38.5291	42.4931	
103-1	103	2009_ca_103_fruit_c.jpg	1	.	.	148.0678	70.7648	53.1622	94.5596	41.4535	35.1096	24.6245	35.0443	42.8841	
103-2	103	2009_ca_103_fruit_c.jpg	2	.	.	140.7763	53.7128	44.0898	86.6369	36.9705	40.9296	23.944	30.3278	47.4189	
103-3	103	2009_ca_103_fruit_c.jpg	3	.	.	137.9869	49.8023	43.4626	84.8985	35.7822	41.7421	22.6309	28.4647	47.4822	
103-4	103	2009_ca_103_fruit_c.jpg	4	.	.	149.1488	60.4293	48.5146	92.5633	39.6121	40.9067	24.9382	31.368	47.909	
103-5	103	2009_ca_103_fruit_c.jpg	5	.	.	141.4975	65.5022	50.8579	90.3113	39.362	35.2364	22.9751	33.1055	42.065	
103-6	103	2009_ca_103_fruit_c.jpg	6	.	.	139.0096	53.8798	43.7992	85.7588	36.6696	40.0541	23.6065	30.5137	46.493	
103-7	103	2009_ca_103_fruit_c.jpg	7	.	.	142.8003	47.8176	41.0045	86.1772	36.2525	44.4591	24.9362	29.2872	50.9747	
103-8	103	2009_ca_103_fruit_c.jpg	8	.	.	135.5991	52.3387	43.9677	84.0941	35.7583	39.7163	22.2355	29.2427	45.5171	
104-1	104	2009_ca_104_fruit_c.jpg	1	.	.	147.699	72.4846	53.8504	94.7047	41.7805	33.9146	24.6803	36.0441	41.9442	
104-2	104	2009_ca_104_fruit_c.jpg	2	.	.	151.9885	72.5588	55.0476	97.181	42.4718	35.8288	25.014	34.9209	43.6967	
104-3	104	2009_ca_104_fruit_c.jpg	3	.	.	143.2763	68.6392	52.2072	91.7047	40.288	34.2433	23.49	34.4491	41.5257	
104-4	104	2009_ca_104_fruit_c.jpg	4	.	.	145.6694	71.7659	52.6631	93.1499	41.3028	33.4019	24.626	36.4	41.4985	
104-5	104	2009_ca_104_fruit_c.jpg	5	.	.	158.7868	97.5234	63.4539	104.5208	48.8616	24.6488	28.7299	49.3721	37.8546	
104-6	104	2009_ca_104_fruit_c.jpg	6	.	.	143.147	67.1116	54.5613	92.7716	40.0057	35.2206	21.7875	31.741	41.4148	
