	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
118-8	118	2009_ca_118_fruit_t.jpg	8	14.83125	15.59625	4.2545	4.2926	4.5212	4.5466	1.0592	1.0627	0.83881418	0.82278408	1.01948275421177	0.98147291	0.9816	0.5065	0	0	197.27143176	99.5470369	0	175.7848386	101.98490564	0	0	0.1225	0	4.11482326	3.451	0	0.5220367	0.7822346	0.8903	0.8875	1.0677	0.40642368	
119-1	119	2009_ca_119_fruit_t.jpg	1	15.5379	16.34385	4.0513	4.0894	5.0673	5.1943	1.2702	1.2508	0.81653742	0.78144744	1.04490382616136	0.95851219	0.9361	0.4625	0	0.03	204.69709884	98.2887755	0.0124	167.96588834	80.4096916	0	0	0.1429	0	7.31933628	9.3988	0	0.52546958	0.77319928	0.8883	0.8858	1.252	0.4091988	
119-2	119	2009_ca_119_fruit_t.jpg	2	16.56205	17.81705	3.8227	3.8354	5.715	5.7658	1.5033	1.495	0.85684362	0.7928928	1.08065506459385	0.89948142	0.8839	0.4613	0.9399	0.0408	209.89377628	95.6145498	0.0337	165.14953418	70.965003	0	0	0	0.0971	9.70010318	0	15.6213	0.51649728	0.78178564	0.8911	0.8889	1.5	0.40658034	
119-3	119	2009_ca_119_fruit_t.jpg	3	16.4924	17.555125	3.9243	3.9751	5.588	5.6769	1.4281	1.4239	0.84332154	0.83300712	1.01238215106733	0.95416827	0.9015	0.5222	0	0.0185	191.70994376	94.6937614	0.0071	168.86658156	88.68808748	0	0	0.149	0	4.6609742	9.6699	0	0.52468938	0.77869904	0.8911	0.8911	1.4309	0.40893024	
119-4	119	2009_ca_119_fruit_t.jpg	4	17.8331	20.89285	4.3942	4.5085	5.5118	5.7277	1.2704	1.2543	0.82589886	0.9045684	0.913030855378101	0.93911969	0.9316	0.5331	0	0.0343	228.4194386	100.6702229	0.0589	168.01827072	107.16137132	0.0004	0	0.2374	0	5.66937172	13.8814	0	0.58671528	0.76730668	0.8872	0.8872	1.2536	0.3986802	
119-5	119	2009_ca_119_fruit_t.jpg	5	15.88425	16.862375	4.0005	4.0894	5.2705	5.334	1.3043	1.3175	0.82403524	0.82250628	1.00185890373992	0.97301778	0.9248	0.4984	0	0.0043	189.59549772	92.9058872	0.006	171.76300668	86.15473812	0	0	0.1631	0	4.0502339	6.4393	0	0.54793934	0.77780112	0.8871	0.8847	1.32	0.40781124	
119-6	119	2009_ca_119_fruit_t.jpg	6	15.67925	16.409975	3.8354	3.8481	5.3594	5.4102	1.4059	1.3974	0.82858594	0.812061	1.02034938262027	0.97565516	0.91	0.493	0	0.0215	209.6108752	95.1775158	0.0323	162.72139808	87.39543512	0	0	0.1304	0	4.2796961	5.6556	0	0.5142347	0.77948472	0.8889	0.8865	1.4	0.4084155	
119-7	119	2009_ca_119_fruit_t.jpg	7	19.0688	23.1985	4.4323	4.572	6.1722	6.5786	1.4389	1.3926	0.883151	0.7670574	1.15134929928321	0.90328235	0.8961	0.481	0.4737	0.0161	223.82011684	105.0305206	0.0432	160.18403132	70.39184228	0	0	0	0.2044	10.5771587	0	17.5153	0.42357546	0.7569806	0.8858	0.8858	1.3957	0.4009182	
119-8	119	2009_ca_119_fruit_t.jpg	8	15.172	15.39335	3.6449	3.7211	5.207	5.2832	1.4198	1.4286	0.82945274	0.81272772	1.02057887234362	0.96696732	0.9058	0.4906	0	0.0033	210.72526196	94.1635452	0.0178	172.7201804	77.43592296	0	0	0.1876	0	4.5798512	7.6027	0	0.56908276	0.77937248	0.8937	0.8889	1.4386	0.40682652	
120-1	120	2009_ca_120_fruit_t.jpg	1	16.86865	19.0119	4.2799	4.3053	5.4102	5.4991	1.2773	1.2641	0.84995256	0.81406116	1.04408931633589	0.97084582	0.9317	0.5036	0.2479	0.0062	188.40460448	98.8095528	0.01	168.00114268	87.48470524	0	0	0	0.0946	5.85355956	0	6.9852	0.51119192	0.7774644	0.8924	0.8877	1.2687	0.40496898	
120-2	120	2009_ca_120_fruit_t.jpg	2	18.73985	23.2006	4.5847	4.6228	6.0706	6.2103	1.3434	1.3241	0.86975894	0.807894	1.07657556560638	0.94889351	0.9166	0.5189	0.713	0.0299	218.50262832	103.0008985	0.0408	172.94221444	83.48391728	0.0001	0	0	0.0636	6.49033648	0	9.6171	0.54138566	0.77510736	0.8884	0.8884	1.3264	0.40353666	
120-3	120	2009_ca_120_fruit_t.jpg	3	16.0392	16.96755	3.8608	3.8735	5.2324	5.4102	1.3967	1.3553	0.89944684	0.75311184	1.19430712973521	0.93493091	0.9082	0.5264	0.9568	0.0403	230.43699084	75.2894949	0.0722	149.9257014	76.82597304	0.0031	0	0	0.2053	5.05051912	0	15.602	0.44276838	0.76893416	0.8889	0.8865	1.3554	0.40172388	
120-4	120	2009_ca_120_fruit_t.jpg	4	18.7442	22.68495	4.4958	4.5466	6.1087	6.4008	1.4078	1.3588	0.8870516	0.74088864	1.19728060616505	0.92732905	0.9044	0.5017	0.7348	0.0293	218.85800164	103.674336	0.0555	165.60295438	63.44596624	0.0001	0	0	0.1978	7.1089573	0	18.902	0.45564168	0.76422008	0.8889	0.8889	1.3617	0.40443186	
120-5	120	2009_ca_120_fruit_t.jpg	5	18.4725	23.039625	4.5212	4.5466	6.0452	6.1722	1.3575	1.3371	0.88882854	0.79861548	1.1129618223779	0.96246826	0.9132	0.5437	0.4125	0.0136	207.281822	102.8712537	0.0316	167.53821274	79.4130046	0	0	0	0.1657	2.99192642	0	10.6022	0.47023142	0.7755002	0.8879	0.8879	1.338	0.40190292	
120-6	120	2009_ca_120_fruit_t.jpg	6	16.8135	19.27255	4.3053	4.3053	5.4356	5.5372	1.2861	1.2625	0.86100426	0.80711616	1.0667662260659	0.96944956	0.9304	0.5104	0.5081	0.0188	216.2277492	100.8673623	0.0363	177.61732872	90.58280636	0.0005	0	0	0.1275	4.48003128	0	6.1893	0.4744445	0.77701544	0.8906	0.8883	1.2667	0.40492422	
120-7	120	2009_ca_120_fruit_t.jpg	7	18.8892	23.487525	4.5847	4.5974	6.0579	6.3754	1.3867	1.3213	0.88414782	0.76016796	1.16309535066435	0.94431688	0.9098	0.5159	1.1918	0.0525	231.10444144	108.9083138	0.0821	164.19157236	67.96127744	0	0	0	0.1658	4.9333157	0	14.4681	0.47413242	0.7614702	0.8899	0.8858	1.3194	0.40118676	
120-8	120	2009_ca_120_fruit_t.jpg	8	16.50595	17.885775	4.1656	4.2164	5.5753	5.715	1.3554	1.3384	0.85285634	0.70671924	1.20678239918868	0.93353465	0.9204	0.4401	0.3893	0.0119	210.58355928	104.5579291	0.0314	158.79834136	66.66802444	0	0	0	0.2073	7.88951508	0	15.0846	0.43005112	0.7732554	0.8906	0.8861	1.3359	0.4144581	
121-1	121	2009_ca_121_fruit_t.jpg	1	15.33725	16.454325	4.3307	4.3434	4.6736	4.8768	1.1228	1.0792	0.77657794	0.8165058	0.951099110379865	0.94858323	0.9728	0.4719	0	0	201.85857876	96.370179	0	172.35970346	101.35040456	0	0	0.1437	0	7.94861898	9.4106	0	0.52032026	0.76657712	0.8909	0.8882	1.0809	0.40687128	
121-2	121	2009_ca_121_fruit_t.jpg	2	16.3779	17.340925	4.3688	4.4069	4.6736	4.9784	1.1297	1.0698	0.85272632	0.81989496	1.0400433733609	0.95044491	0.9641	0.5031	0.9173	0.0396	249.14051992	140.7609809	0.0904	174.30888492	98.31612144	0.0002	0	0	0.1047	6.27624902	0	8.1272	0.49792852	0.75776628	0.8802	0.8855	1.073	0.4008063	
