	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	Image Files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	Image Files	Fruit	SP:0000103	SP:0000095	SP:0000372	
101-1	101	2009_ca_101_fruit_c.jpg	1	1.2279	0.4436	0.2526	
101-2	101	2009_ca_101_fruit_c.jpg	2	0.5422	0.4457	0.2552	
101-3	101	2009_ca_101_fruit_c.jpg	3	1.2436	0.439	0.252	
101-4	101	2009_ca_101_fruit_c.jpg	4	1.088	0.445	0.2553	
101-5	101	2009_ca_101_fruit_c.jpg	5	1.0927	0.4449	0.2539	
101-6	101	2009_ca_101_fruit_c.jpg	6	2.259	0.4413	0.2537	
101-7	101	2009_ca_101_fruit_c.jpg	7	0.712	0.4457	0.2527	
101-8	101	2009_ca_101_fruit_c.jpg	8	0.5846	0.446	0.2544	
103-1	103	2009_ca_103_fruit_c.jpg	1	0.8344	0.4395	0.2535	
103-2	103	2009_ca_103_fruit_c.jpg	2	2.1182	0.4336	0.2507	
103-3	103	2009_ca_103_fruit_c.jpg	3	0.986	0.4318	0.2513	
103-4	103	2009_ca_103_fruit_c.jpg	4	0.7827	0.4427	0.2529	
103-5	103	2009_ca_103_fruit_c.jpg	5	0.4667	0.4323	0.2532	
103-6	103	2009_ca_103_fruit_c.jpg	6	0.6332	0.4308	0.2513	
103-7	103	2009_ca_103_fruit_c.jpg	7	0.9014	0.4299	0.2529	
103-8	103	2009_ca_103_fruit_c.jpg	8	1.3568	0.435	0.2543	
104-1	104	2009_ca_104_fruit_c.jpg	1	0.8964	0.4431	0.253	
104-2	104	2009_ca_104_fruit_c.jpg	2	1.6485	0.4446	0.25	
104-3	104	2009_ca_104_fruit_c.jpg	3	0.8186	0.4456	0.2535	
104-4	104	2009_ca_104_fruit_c.jpg	4	0.6019	0.4427	0.2551	
104-5	104	2009_ca_104_fruit_c.jpg	5	1.1074	0.4448	0.2516	
104-6	104	2009_ca_104_fruit_c.jpg	6	0.8888	0.4403	0.2542	
104-7	104	2009_ca_104_fruit_c.jpg	7	0.9595	0.4437	0.2508	
104-8	104	2009_ca_104_fruit_c.jpg	8	0.6287	0.4405	0.2542	
105-1	105	2009_ca_105_fruit_c.jpg	1	1.1459	0.4446	0.253	
105-2	105	2009_ca_105_fruit_c.jpg	2	0.94	0.444	0.2528	
105-3	105	2009_ca_105_fruit_c.jpg	3	0.8918	0.4445	0.2553	
105-4	105	2009_ca_105_fruit_c.jpg	4	0.7113	0.4449	0.2533	
105-5	105	2009_ca_105_fruit_c.jpg	5	0.8616	0.4438	0.2523	
105-6	105	2009_ca_105_fruit_c.jpg	6	0.8137	0.445	0.2556	
105-7	105	2009_ca_105_fruit_c.jpg	7	0.677	0.4438	0.2532	
105-8	105	2009_ca_105_fruit_c.jpg	8	1.2382	0.4437	0.2521	
106-1	106	2009_ca_106_fruit_c.jpg	1	1.614	0.3925	0.2546	
106-2	106	2009_ca_106_fruit_c.jpg	2	1.8877	0.4416	0.2525	
106-3	106	2009_ca_106_fruit_c.jpg	3	1.0073	0.4064	0.2545	
106-4	106	2009_ca_106_fruit_c.jpg	4	0.6051	0.4297	0.2539	
106-5	106	2009_ca_106_fruit_c.jpg	5	0.8618	0.4221	0.2537	
106-6	106	2009_ca_106_fruit_c.jpg	6	1.7743	0.4233	0.2522	
106-7	106	2009_ca_106_fruit_c.jpg	7	0.9306	0.4333	0.2553	
106-8	106	2009_ca_106_fruit_c.jpg	8	2.2673	0.3936	0.2545	
107-1	107	2009_ca_107_fruit_c.jpg	1	0.7011	0.4217	0.2538	
107-2	107	2009_ca_107_fruit_c.jpg	2	0.596	0.4247	0.2508	
107-3	107	2009_ca_107_fruit_c.jpg	3	0.6464	0.4389	0.2534	
107-4	107	2009_ca_107_fruit_c.jpg	4	0.6907	0.4345	0.2562	
107-5	107	2009_ca_107_fruit_c.jpg	5	1.0924	0.4186	0.2545	
107-6	107	2009_ca_107_fruit_c.jpg	6	0.6984	0.4239	0.2532	
107-7	107	2009_ca_107_fruit_c.jpg	7	0.5066	0.425	0.2522	
107-8	107	2009_ca_107_fruit_c.jpg	8	1.1065	0.4278	0.2549	
108-1	108	2009_ca_108_fruit_c.jpg	1	0.9681	0.4417	0.253	
108-2	108	2009_ca_108_fruit_c.jpg	2	1.1405	0.4455	0.2551	
108-3	108	2009_ca_108_fruit_c.jpg	3	1.3729	0.4482	0.2478	
108-4	108	2009_ca_108_fruit_c.jpg	4	1.4759	0.4408	0.2476	
108-5	108	2009_ca_108_fruit_c.jpg	5	1.3435	0.4432	0.2519	
108-6	108	2009_ca_108_fruit_c.jpg	6	0.9572	0.4125	0.2534	
108-7	108	2009_ca_108_fruit_c.jpg	7	1.4675	0.4446	0.2542	
108-8	108	2009_ca_108_fruit_c.jpg	8	1.2058	0.4456	0.2566	
109-1	109	2009_ca_109_fruit_c.jpg	1	1.5909	0.4439	0.2515	
109-2	109	2009_ca_109_fruit_c.jpg	2	1.1385	0.4403	0.2529	
109-3	109	2009_ca_109_fruit_c.jpg	3	0.4794	0.4255	0.2539	
109-4	109	2009_ca_109_fruit_c.jpg	4	0.846	0.4453	0.2517	
109-5	109	2009_ca_109_fruit_c.jpg	5	1.3326	0.4435	0.2514	
109-6	109	2009_ca_109_fruit_c.jpg	6	0.6398	0.4213	0.2513	
109-7	109	2009_ca_109_fruit_c.jpg	7	2.174	0.442	0.2532	
109-8	109	2009_ca_109_fruit_c.jpg	8	1.7867	0.4426	0.2526	
110-1	110	2009_ca_110_fruit_c.jpg	1	1.5057	0.4456	0.2508	
110-2	110	2009_ca_110_fruit_c.jpg	2	1.0402	0.4464	0.2556	
110-3	110	2009_ca_110_fruit_c.jpg	3	1.2418	0.4431	0.2528	
110-4	110	2009_ca_110_fruit_c.jpg	4	1.9604	0.4372	0.2522	
110-5	110	2009_ca_110_fruit_c.jpg	5	0.7211	0.4434	0.2518	
110-6	110	2009_ca_110_fruit_c.jpg	6	1.5846	0.4252	0.2536	
110-7	110	2009_ca_110_fruit_c.jpg	7	0.61	0.4429	0.2521	
110-8	110	2009_ca_110_fruit_c.jpg	8	1.2022	0.4235	0.2536	
111-1	111	2009_ca_111_fruit_c.jpg	1	1.9228	0.4441	0.2542	
111-2	111	2009_ca_111_fruit_c.jpg	2	1.0116	0.4446	0.254	
111-3	111	2009_ca_111_fruit_c.jpg	3	1.2072	0.4422	0.2536	
111-4	111	2009_ca_111_fruit_c.jpg	4	1.3387	0.4448	0.2515	
111-5	111	2009_ca_111_fruit_c.jpg	5	0.7695	0.4426	0.254	
111-6	111	2009_ca_111_fruit_c.jpg	6	1.4198	0.4441	0.2523	
111-7	111	2009_ca_111_fruit_c.jpg	7	0.8736	0.4346	0.2531	
111-8	111	2009_ca_111_fruit_c.jpg	8	0.7233	0.4431	0.252	
112-1	112	2009_ca_112_fruit_c.jpg	1	1.3873	0.4264	0.2524	
112-2	112	2009_ca_112_fruit_c.jpg	2	1.0808	0.4271	0.2537	
112-3	112	2009_ca_112_fruit_c.jpg	3	0.8523	0.4347	0.2536	
112-4	112	2009_ca_112_fruit_c.jpg	4	0.6745	0.4394	0.2548	
112-5	112	2009_ca_112_fruit_c.jpg	5	0.751	0.4277	0.2515	
112-6	112	2009_ca_112_fruit_c.jpg	6	1.2653	0.3981	0.25	
112-7	112	2009_ca_112_fruit_c.jpg	7	0.7552	0.4269	0.2531	
112-8	112	2009_ca_112_fruit_c.jpg	8	1.4768	0.4402	0.2513	
113-1	113	2009_ca_113_fruit_c.jpg	1	0.9382	0.4333	0.2538	
113-2	113	2009_ca_113_fruit_c.jpg	2	1.2927	0.4003	0.2521	
113-3	113	2009_ca_113_fruit_c.jpg	3	0.6364	0.4325	0.2523	
113-4	113	2009_ca_113_fruit_c.jpg	4	0.4816	0.4387	0.2538	
113-5	113	2009_ca_113_fruit_c.jpg	5	0.5251	0.4263	0.2525	
113-6	113	2009_ca_113_fruit_c.jpg	6	1.0893	0.4255	0.2541	
113-7	113	2009_ca_113_fruit_c.jpg	7	0.7657	0.4261	0.2534	
113-8	113	2009_ca_113_fruit_c.jpg	8	1.2632	0.4375	0.2542	
114-1	114	2009_ca_114_fruit_c.jpg	1	0.8051	0.4453	0.2533	
114-2	114	2009_ca_114_fruit_c.jpg	2	0.9918	0.4438	0.2521	
114-3	114	2009_ca_114_fruit_c.jpg	3	1.5919	0.4398	0.2518	
114-4	114	2009_ca_114_fruit_c.jpg	4	0.6512	0.4448	0.2554	
114-5	114	2009_ca_114_fruit_c.jpg	5	1.2627	0.4448	0.2539	
114-6	114	2009_ca_114_fruit_c.jpg	6	1.0076	0.4454	0.2543	
114-7	114	2009_ca_114_fruit_c.jpg	7	1.8651	0.4284	0.2514	
114-8	114	2009_ca_114_fruit_c.jpg	8	1.4431	0.4404	0.2532	
115-1	115	2009_ca_115_fruit_c.jpg	1	1.4371	0.4435	0.2536	
115-2	115	2009_ca_115_fruit_c.jpg	2	1.4323	0.4216	0.2516	
115-3	115	2009_ca_115_fruit_c.jpg	3	0.9337	0.437	0.2536	
115-4	115	2009_ca_115_fruit_c.jpg	4	1.3071	0.4422	0.2526	
115-5	115	2009_ca_115_fruit_c.jpg	5	2.0835	0.4349	0.25	
115-6	115	2009_ca_115_fruit_c.jpg	6	0.5835	0.4407	0.2535	
115-7	115	2009_ca_115_fruit_c.jpg	7	2.9297	0.4065	0.25	
115-8	115	2009_ca_115_fruit_c.jpg	8	1.6196	0.4328	0.255	
116-1	116	2009_ca_116_fruit_c.jpg	1	1.4676	0.4421	0.2534	
116-2	116	2009_ca_116_fruit_c.jpg	2	0.893	0.4413	0.2556	
116-3	116	2009_ca_116_fruit_c.jpg	3	0.951	0.4332	0.2507	
116-4	116	2009_ca_116_fruit_c.jpg	4	1.4443	0.4438	0.2528	
116-5	116	2009_ca_116_fruit_c.jpg	5	0.7092	0.4426	0.2527	
116-6	116	2009_ca_116_fruit_c.jpg	6	1.5235	0.4428	0.2514	
116-7	116	2009_ca_116_fruit_c.jpg	7	1.688	0.4427	0.2536	
117-1	117	2009_ca_117_fruit_c.jpg	1	0.9276	0.4349	0.252	
117-2	117	2009_ca_117_fruit_c.jpg	2	0.8972	0.4212	0.2528	
117-3	117	2009_ca_117_fruit_c.jpg	3	1.2144	0.4412	0.25	
117-4	117	2009_ca_117_fruit_c.jpg	4	1.8885	0.4346	0.2542	
