	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit	Parameter 1 (% surface w/ Hue 70-100)	Parameter 2 (% surface w/ Hue 0-50)	Avg.Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
3872-5	3872	2009_oh_3872_fruit-c.jpg	5	0.960622	66.1582	118.949	61.6323	44.1115	76.7247	32.8923	20.8821	23.6296	48.5624	31.7685	color data not normalized to color checker
3872-6	3872	2009_oh_3872_fruit-c.jpg	6	4.5925	51.4759	114.477	62.9659	44.5992	74.8404	32.5512	18.2272	22.73	51.4507	29.5808	color data not normalized to color checker
3872-7	3872	2009_oh_3872_fruit-c.jpg	7	2.61689	47.3454	123.759	67.7958	47.9194	80.7758	35.1515	19.6296	24.4039	51.4089	31.6582	color data not normalized to color checker
3872-8	3872	2009_oh_3872_fruit-c.jpg	8	0.72214	75.6524	109.955	55.58	41.714	71.3437	30.0567	20.3879	21.2117	46.7515	29.6738	color data not normalized to color checker
3872-9	3872	2009_oh_3872_fruit-c.jpg	9	3.33053	55.9038	110.966	61.3432	44.8177	73.2683	31.5908	17.8072	21.3784	51.109	28.2812	color data not normalized to color checker
8501-1	8501	2009_oh_8501_fruit-c.jpg	1	12.1005	33.244	154.435	94.2979	67.4643	104.416	46.1532	18.796	27.9547	56.3759	34.3679	color data not normalized to color checker
8501-2	8501	2009_oh_8501_fruit-c.jpg	2	0.754121	82.5807	140.826	69.4456	52.743	91.0295	38.2176	26.058	25.9155	45.7416	37.0244	color data not normalized to color checker
8501-3	8501	2009_oh_8501_fruit-c.jpg	3	3.71648	56.8327	148.108	84.1459	62.6985	99.1823	42.7537	21.5631	26.1381	50.8055	34.3175	color data not normalized to color checker
8501-4	8501	2009_oh_8501_fruit-c.jpg	4	12.1275	41.0389	147.641	85.4171	57.8757	96.6688	43.0025	20.2796	29.1556	56.092	36.5776	color data not normalized to color checker
8501-5	8501	2009_oh_8501_fruit-c.jpg	5	1.60465	65.7141	141.149	74.1527	53.6756	91.6559	39.3032	23.6774	26.7657	48.6831	36.0738	color data not normalized to color checker
8501-6	8501	2009_oh_8501_fruit-c.jpg	6	2.1744	76.1375	143.675	72.6425	53.1142	92.5771	39.3686	25.4557	27.2384	47.1217	37.6622	color data not normalized to color checker
8501-7	8501	2009_oh_8501_fruit-c.jpg	7	1.02356	78.9355	143.94	70.8475	51.0917	91.7553	38.9709	26.4386	27.9128	46.4746	38.7249	color data not normalized to color checker
8501-8	8501	2009_oh_8501_fruit-c.jpg	8	0.671496	75.4029	146.132	73.1065	54.0676	94.2003	39.842	26.1926	27.3142	46.0424	38.1446	color data not normalized to color checker
8501-9	8501	2009_oh_8501_fruit-c.jpg	9	2.11529	62.9897	136.715	69.4826	48.6016	87.1931	37.5343	24.0861	27.2653	48.2007	36.7817	color data not normalized to color checker
8502-1	8502	2009_oh_8502_fruit-c.jpg	1	0.643938	89.4502	151.7	73.9757	58.2524	98.7321	40.9439	28.2721	26.6771	44.3251	39.1216	color data not normalized to color checker
8502-2	8502	2009_oh_8502_fruit-c.jpg	2	1.12528	93.0954	146.4	68.702	52.9136	93.77	38.9045	28.6325	26.9047	43.3364	39.5234	color data not normalized to color checker
8502-3	8502	2009_oh_8502_fruit-c.jpg	3	0.327245	94.9711	148.479	66.7154	51.1811	93.9241	38.8286	30.3238	27.8591	42.8441	41.3635	color data not normalized to color checker
8502-4	8502	2009_oh_8502_fruit-c.jpg	4	0.687418	94.5007	151.67	70.1716	53.5808	96.5276	40.0566	29.9394	28.1446	43.6712	41.325	color data not normalized to color checker
8502-5	8502	2009_oh_8502_fruit-c.jpg	5	0.760962	84.7475	151.727	73.8103	55.5972	97.5163	40.8606	28.1655	27.9819	44.7745	39.9764	color data not normalized to color checker
8502-6	8502	2009_oh_8502_fruit-c.jpg	6	0.767967	90.8737	139.438	61.7568	46.8111	87.5942	36.2951	29.1848	26.931	43.1228	39.9823	color data not normalized to color checker
8502-7	8502	2009_oh_8502_fruit-c.jpg	7	0.849501	92.1801	144.902	65.9655	48.9523	91.1806	38.0674	29.2455	28.0552	44.2557	40.7675	color data not normalized to color checker
8502-8	8502	2009_oh_8502_fruit-c.jpg	8	1.4871	89.4305	142.287	64.836	47.8152	89.4081	37.4086	28.7152	27.8691	44.7513	40.3101	color data not normalized to color checker
8502-9	8502	2009_oh_8502_fruit-c.jpg	9	1.76675	77.2336	150.023	72.4181	53.1515	95.5516	40.3065	28.0502	28.6313	46.2813	40.5063	color data not normalized to color checker
8503-1	8503	2009_oh_8503_fruit-c.jpg	1	4.51605	59.9108	142.867	75.768	52.8783	92.1032	39.8061	23.3369	27.9681	49.7509	36.9349	color data not normalized to color checker
8503-2	8503	2009_oh_8503_fruit-c.jpg	2	1.08604	62.2357	141.965	74.5464	53.5107	91.9736	39.4332	23.7631	27.1731	48.5997	36.4121	color data not normalized to color checker
8503-3	8503	2009_oh_8503_fruit-c.jpg	3	1.14603	68.6002	149.029	76.7814	55.2096	96.1026	41.072	25.4943	28.4985	48.4452	38.506	color data not normalized to color checker
8503-4	8503	2009_oh_8503_fruit-c.jpg	4	1.10978	68.7074	146.934	75.4442	54.8171	94.9226	40.4476	25.3534	27.8622	47.7961	37.9591	color data not normalized to color checker
8503-5	8503	2009_oh_8503_fruit-c.jpg	5	2.05149	65.0625	142.293	73.5337	51.5396	91.2057	39.2683	24.3068	28.037	48.8621	37.4451	color data not normalized to color checker
8503-6	8503	2009_oh_8503_fruit-c.jpg	6	1.38786	60.9723	143.016	73.194	51.0682	91.3208	39.3207	24.7462	28.3663	48.6226	38.0007	color data not normalized to color checker
8503-7	8503	2009_oh_8503_fruit-c.jpg	7	1.05437	50.0846	142.39	76.6745	54.1946	92.4977	39.9879	22.7781	27.4392	50.1253	35.941	color data not normalized to color checker
8503-8	8503	2009_oh_8503_fruit-c.jpg	8	1.19804	62.2738	145.277	75.8847	54.4287	93.9532	40.2662	24.4298	27.7646	48.4014	37.4049	color data not normalized to color checker
8503-9	8503	2009_oh_8503_fruit-c.jpg	9	3.41533	64.7333	136.001	71.9747	51.9548	88.4141	37.9606	22.6322	26.0123	49.272	34.9657	color data not normalized to color checker
8504-1	8504	2009_oh_8504_fruit-c.jpg	1	0.616477	93.2288	143.25	66.9346	51.2489	91.501	37.9843	28.25	26.5999	43.291	39.0103	color data not normalized to color checker
8504-2	8504	2009_oh_8504_fruit-c.jpg	2	0.659565	79.8427	143.695	71.7683	53.6537	92.8466	39.1353	25.9746	26.6788	45.6392	37.497	color data not normalized to color checker
8504-3	8504	2009_oh_8504_fruit-c.jpg	3	0.753407	93.7659	142.374	67.3922	51.6164	91.2684	37.9609	27.6829	26.338	43.4114	38.4071	color data not normalized to color checker
8504-4	8504	2009_oh_8504_fruit-c.jpg	4	0.868343	94.1198	144.717	67.9023	53.0357	93.0256	38.4976	28.4315	26.2667	42.9107	38.9248	color data not normalized to color checker
8504-5	8504	2009_oh_8504_fruit-c.jpg	5	0.706862	83.9661	147.451	74.3849	56.8391	96.1186	40.3534	26.277	26.4655	45.1254	37.5196	color data not normalized to color checker
8504-6	8504	2009_oh_8504_fruit-c.jpg	6	1.07971	69.9093	146.993	75.8159	55.7281	95.3708	40.5701	25.2181	27.348	47.4469	37.4736	color data not normalized to color checker
8504-7	8504	2009_oh_8504_fruit-c.jpg	7	2.23742	69.6938	144.332	74.8534	54.0742	93.3274	39.921	24.5914	27.3771	48.323	37.1988	color data not normalized to color checker
8504-8	8504	2009_oh_8504_fruit-c.jpg	8	0.802105	78.0503	144.47	71.5185	53.7502	93.2656	39.2306	26.3864	26.7315	45.1969	37.8531	color data not normalized to color checker
8504-9	8504	2009_oh_8504_fruit-c.jpg	9	1.22056	77.1632	144.099	73.8671	56.138	94.2123	39.7167	25.152	25.9442	45.8681	36.4739	color data not normalized to color checker
8505-1	8505	2009_oh_8505_fruit-c.jpg	1	2.65982	69.3203	155.135	80.3748	59.6722	101.07	42.903	26.279	28.5119	47.8443	39.2761	color data not normalized to color checker
8505-2	8505	2009_oh_8505_fruit-c.jpg	2	1.31442	57.0634	152.242	80.5077	57.5645	98.6986	42.4401	24.9093	28.8888	49.3397	38.5019	color data not normalized to color checker
8505-3	8505	2009_oh_8505_fruit-c.jpg	3	0.836706	58.4416	155.83	80.9903	56.9962	100.109	43.0732	26.0191	30.1129	49.4917	40.1261	color data not normalized to color checker
8505-4	8505	2009_oh_8505_fruit-c.jpg	4	2.07071	67.2716	151.723	76.7584	53.9185	96.74	41.5054	26.4629	29.7482	48.4416	40.2408	color data not normalized to color checker
8505-5	8505	2009_oh_8505_fruit-c.jpg	5	0.778418	71.7104	152.731	75.4898	54.0013	97.2427	41.3706	27.5568	29.558	47.3462	40.7758	color data not normalized to color checker
8505-6	8505	2009_oh_8505_fruit-c.jpg	6	1.29012	66.225	157.079	78.8591	55.2232	99.8866	42.7809	27.5669	30.8393	48.343	41.6933	color data not normalized to color checker
8505-7	8505	2009_oh_8505_fruit-c.jpg	7	1.31798	71.8152	148.325	69.7429	47.0542	91.931	39.3775	28.4398	30.8569	47.3319	42.2573	color data not normalized to color checker
8505-8	8505	2009_oh_8505_fruit-c.jpg	8	1.05145	78.5993	144.581	66.2995	46.5188	89.9015	38.073	28.7583	29.4656	45.77	41.4715	color data not normalized to color checker
8505-9	8505	2009_oh_8505_fruit-c.jpg	9	1.26636	76.5367	147.398	70.2151	48.97	92.4009	39.3312	27.915	29.7187	46.6117	41.1165	color data not normalized to color checker
8506-1	8506	2009_oh_8506_fruit-c.jpg	1	2.00532	65.7043	137.922	69.3752	47.5363	87.2286	37.6264	24.5196	28.0741	49.5494	37.5955	color data not normalized to color checker
8506-2	8506	2009_oh_8506_fruit-c.jpg	2	1.43742	51.9841	147.516	76.3132	50.6471	93.2402	40.6922	24.7952	30.3148	50.4529	39.5336	color data not normalized to color checker
8506-3	8506	2009_oh_8506_fruit-c.jpg	3	1.31427	42.4481	140.439	73.7689	49.0982	89.1867	39.0288	23.2334	28.9613	51.1206	37.3841	color data not normalized to color checker
8506-4	8506	2009_oh_8506_fruit-c.jpg	4	4.09423	34.4335	136.964	73.098	44.1363	85.2109	38.2927	21.8682	30.6503	54.2439	38.1387	color data not normalized to color checker
8506-5	8506	2009_oh_8506_fruit-c.jpg	5	1.58629	56.3686	143.538	72.7221	49.1614	90.6218	39.2899	25.0979	29.3441	50.2956	39.0114	color data not normalized to color checker
