	Tomato Analyzer - Shape Individual Data																		 																				
	Plot #	SCT #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	sct#	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
8901-1	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	1	17.2727	20.0542	5.08	5.1308	4.5212	4.9276	0.9604	0.89	0.895	0.78	1.1474	0.9678	0.9664	0.5402	.	0.049	216.4445	127.2417	0.0608	163.9282	110.8412	0	0	0	0.1543	0.0259	0	0.0467	0.4485	0.7358	0.8931	0.8875	0.8875	0.4259	 
8901-2	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	2	16.3336	18.1471	5.08	5.1308	3.9878	4.3434	0.8465	0.785	0.895	0.815	1.0982	0.968	0.9344	0.5553	.	0.0439	215.3663	135.9833	0.0622	188.0722	122.333	0.0025	0.0064	0	0.167	0.008	0	0.0351	0.4386	0.7294	0.8921	0.8794	0.775	0.446	 
8901-3	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	3	15.7415	17.4084	4.7498	4.7498	4.318	4.5212	0.9519	0.9091	0.8984	0.7807	1.1507	0.9748	0.973	0.5314	.	0.0337	225.3688	123.6768	0.0293	164.6561	103.0965	0	0	0	0.1566	0.0094	0	0.0406	0.4607	0.7684	0.8947	0.8889	0.9189	0.4141	 
8901-4	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	4	16.642	18.7103	5.0292	5.0292	4.2418	4.5974	0.9141	0.8434	0.8939	0.7677	1.1645	0.9658	0.9581	0.5428	.	0.0583	238.6383	132.8553	0.0645	177.9386	110.0574	0	0	0	0.1524	0.0197	0	0.0511	0.4586	0.7333	0.8919	0.88	0.8354	0.4352	 
8901-5	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	5	15.3376	16.2361	4.8006	4.8006	3.937	4.191	0.873	0.8201	0.8677	0.7778	1.1156	0.9733	0.9536	0.5281	.	0.0515	237.3387	130.1356	0.0588	179.8805	113.3801	0	0	0	0.1333	0.0161	0	0.0335	0.4909	0.7439	0.8905	0.8777	0.8133	0.4289	 
8901-6	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	6	15.3351	16.1361	4.6736	4.7752	3.937	4.2164	0.883	0.8424	0.8859	0.7772	1.1399	0.9699	0.9562	0.5332	.	0.0422	232.6746	132.3943	0.0368	177.2702	115.1098	0	0	0	0.1845	0.0135	0	0.0402	0.4217	0.7394	0.8841	0.8777	0.8356	0.4407	 
8901-7	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	7	14.1594	14.02	4.445	4.4958	3.6322	3.8354	0.8531	0.8171	0.9029	0.7771	1.1618	0.9725	0.949	0.5388	.	0.0397	222.7499	132.3121	0.046	172.9619	110.2491	0	0	0	0.2296	0.0034	0	0.0397	0.3775	0.7467	0.8889	0.875	0.8116	0.4414	 
8901-8	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	8	14.2734	13.9677	4.445	4.4704	3.683	3.9116	0.875	0.8286	0.8743	0.7886	1.1087	0.9736	0.9492	0.5401	.	0.0422	217.5239	131.2596	0.0536	176.4672	110.6621	0	0	0	0.1648	0.014	0	0.0297	0.4416	0.7451	0.8906	0.8769	0.8261	0.4293	 
8901-9	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	9	13.8818	13.5542	4.1656	4.191	3.8608	4.0132	0.9576	0.9268	0.8659	0.7866	1.1008	0.9789	0.9783	0.5251	.	0.0316	217.0375	114.0884	0.0443	180	102.7286	0	0	0	0.1125	0.0055	0	0.0218	0.4937	0.7643	0.8889	0.8824	0.9231	0.4168	 
8902-1	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	1	24.5557	33.5935	7.6454	7.6962	4.1656	5.461	0.7096	0.5449	0.907	0.8505	1.0664	0.9331	0.8469	0.5715	.	0.0722	240.459	174.009	0.0966	194.4548	137.3239	0.0378	0.0157	0.0474	0	0.073	0.0774	0	0.4303	0.6449	0.9324	0.8961	0.5897	0.5129	 
8902-2	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	2	22.0495	29.8083	7.0612	7.0866	3.937	5.1054	0.7204	0.5576	0.9388	0.8273	1.1348	0.9389	0.864	0.6032	.	0.1294	226.4128	167.5278	0.2325	230.8631	132.4395	0.0729	0.019	0	0.1773	0.0322	0	0.0655	0.4328	0.61	0.8905	0.8841	0.5495	0.5396	 
8902-3	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	3	19.7009	25.2922	6.3754	6.4262	4.1402	4.8514	0.7549	0.6494	0.9044	0.8207	1.1019	0.9501	0.886	0.5662	.	0.0892	221.5924	158.8928	0.1492	183.3529	130.7533	0.0003	0.0082	0	0.1541	0.0341	0	0.0515	0.4503	0.6737	0.8889	0.8767	0.64	0.4871	 
8902-4	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	4	19.5633	25.0825	6.2738	6.3246	4.2164	4.8768	0.7711	0.6721	0.9312	0.8057	1.1558	0.9521	0.8937	0.5658	.	0.1021	215.4924	156.0023	0.1883	176.356	130.0887	0.0067	0.0481	0	0.1895	0.0374	0	0.0608	0.3958	0.6911	0.898	0.8859	0.6735	0.4773	 
8902-5	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	5	18.5463	22.7838	5.9182	5.969	4.191	4.699	0.7872	0.7082	0.9099	0.8069	1.1277	0.9581	0.9069	0.5647	.	0.0732	218.9982	152.0559	0.1192	177.2793	122.8176	0	0	0	0.1772	0.0248	0	0.0533	0.4324	0.7065	0.8904	0.8784	0.7065	0.468	 
8902-6	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	6	16.6025	18.5703	5.207	5.2578	3.9624	4.3688	0.8309	0.761	0.9171	0.7659	1.1975	0.9595	0.9251	0.5495	.	0.0555	246.8853	153.5772	0.0622	179.0618	113.2415	0	0	0	0.19	0.0198	0	0.0544	0.4128	0.7251	0.8986	0.8857	0.7654	0.4519	 
8903-1	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	1	14.7189	13.2013	3.683	3.7846	4.572	4.6101	1.2181	1.2414	0.6828	0.869	0.7857	0.9671	0.9138	0.4271	.	0.0106	218.298	67.752	0.0088	174.2696	96.003	0	0	0.1859	0	0.091	0.1285	0	0.5594	0.7624	0.8679	0.8679	1.1897	0.3856	 
8903-2	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	2	14.1896	12.4282	3.1496	3.2004	4.6609	4.7498	1.4841	1.4798	0.8226	0.9032	0.9107	0.9608	0.8693	0.5506	.	0.0075	200.7011	66.9774	0.0228	171.8877	83.7692	0	0	0.1624	0	0.0367	0.0567	0	0.5514	0.7721	0.8754	0.878	1.4257	0.407	 
8903-3	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	3	13.1819	11.9132	3.429	3.4544	4.3688	4.445	1.2868	1.2741	0.763	0.8185	0.9321	0.9734	0.9131	0.4871	.	0.0186	219.5986	75.1493	0.0202	171.4496	86.4651	0	0	0.1004	0	0.0146	0.0344	0	0.4743	0.7851	0.8896	0.8867	1.2685	0.3707	 
8903-4	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	4	14.0576	11.7135	3.3147	3.3655	4.4577	4.5593	1.3547	1.3448	0.7088	0.8659	0.8186	0.9647	0.8916	0.4607	.	0	158.5717	64.7545	0	172.9838	86.0954	0	0	0.1913	0	0.0534	0.103	0	0.5556	0.7151	0.8258	0.8591	1.2075	0.4131	 
8903-5	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	5	12.293	10.3424	2.9972	3.0226	4.2418	4.2418	1.4034	1.4153	0.8008	0.8432	0.9497	0.9667	0.8813	0.4977	.	0	176.0157	66.8896	0	167.8662	76.7205	0	0	0.1054	0	0.0323	0.0455	0	0.479	0.7988	0.8896	0.8867	1.4149	0.3875	 
8903-6	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	6	12.5259	9.7206	3.1369	3.175	3.9751	4.0005	1.26	1.2672	0.749	0.8097	0.925	0.9749	0.9173	0.449	.	0.0041	159.6253	77.1486	0.0071	182.2276	86.9257	0	0	0.1476	0	0.0572	0.06	0	0.5326	0.7389	0.8467	0.8593	1.1837	0.4074	 
8903-7	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	7	12.57	9.9811	2.9591	2.9845	4.2164	4.2672	1.4298	1.4249	0.7811	0.8283	0.943	0.9689	0.8813	0.5026	.	0.0042	193.74	66.9476	0.0097	163.869	78.715	0	0	0.1442	0	0.0223	0.027	0	0.535	0.7821	0.8881	0.8763	1.3789	0.3682	 
8903-8	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	8	10.5596	7.7906	2.8321	2.8829	3.4036	3.4417	1.1938	1.2018	0.7668	0.861	0.8906	0.9767	0.9345	0.4911	.	0.0074	208.1552	83.614	0.006	169.2403	97.0491	0	0	0.164	0	0.0154	0.0518	0	0.5424	0.7926	0.8917	0.888	1.2159	0.3876	 
8903-9	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	9	11.3309	8.8685	2.8829	2.8829	3.8354	3.8989	1.3524	1.3304	0.8062	0.8282	0.9734	0.9697	0.9021	0.4985	.	0.0081	196.2162	74.0291	0.02	176.7977	94.688	0	0	0	0.1071	0.0124	0	0.0262	0.4951	0.7843	0.8889	0.8856	1.3333	0.3829	 
8904-1	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	1	22.4272	33.4064	7.3152	7.3406	5.3086	5.9436	0.8097	0.7257	0.8646	0.7465	1.1581	0.959	0.909	0.4928	.	0.0774	213.7409	148.2792	0.1835	177.4155	128.7523	0	0	0	0.152	0.0647	0	0.0785	0.4786	0.7124	0.8973	0.883	0.7217	0.4209	 
8904-2	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	2	21.0289	29.1096	6.731	6.7818	4.7244	5.3594	0.7903	0.7019	0.8943	0.7925	1.1286	0.9614	0.9076	0.5462	.	0.0665	237.4427	154.4688	0.0767	168.8917	122.4234	0	0	0	0.1649	0.0297	0	0.062	0.4455	0.7048	0.8916	0.8862	0.7048	0.459	 
8904-3	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	3	19.5957	25.6516	6.3246	6.35	4.3434	4.8768	0.768	0.6867	0.8956	0.8273	1.0825	0.9574	0.9019	0.575	.	0.0679	240.7066	152.2215	0.0775	181.6608	129.667	0	0	0	0.1735	0.0136	0	0.0403	0.4219	0.712	0.8889	0.8889	0.6869	0.4681	 
8904-4	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	4	19.8322	25.3264	6.4262	6.477	4.064	4.7244	0.7294	0.6324	0.9289	0.834	1.1137	0.9501	0.88	0.5866	.	0.1077	224.4442	159.7137	0.1811	191.8447	135.1058	0.0127	0.016	0	0.1745	0.0192	0	0.0499	0.414	0.6919	0.9014	0.8889	0.64	0.4878	 
8904-5	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	5	19.4207	23.9774	6.1214	6.1722	4.2418	5.0038	0.8107	0.6929	0.8963	0.7635	1.1739	0.9493	0.9018	0.5206	.	0.1102	235.5435	157.4843	0.1811	172.9772	119.1384	0	0	0	0.1779	0.0471	0	0.0761	0.4315	0.6735	0.8919	0.88	0.6875	0.4644	 
8904-6	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	6	19.4915	24.638	6.3246	6.3754	4.2164	4.8514	0.761	0.6667	0.8635	0.8233	1.0488	0.9539	0.8903	0.5353	.	0.066	234.4565	157.51	0.0652	179.6626	130.9817	0	0	0.1139	0	0.0485	0.0468	0	0.4921	0.6947	0.898	0.8859	0.6667	0.4625	 
8904-7	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	7	19.1893	21.3361	6.477	6.5278	3.0988	4.064	0.6226	0.4784	0.9255	0.851	1.0876	0.9294	0.8119	0.5992	.	0.147	228.0527	172.2359	0.313	212.176	149.4332	0.0587	0.0236	0	0.1798	0.0426	0	0.0452	0.4313	0.6038	0.8889	0.8727	0.4752	0.5395	 
8904-8	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	8	18.7582	23.2271	6.0452	6.096	4.1402	4.5974	0.7542	0.6849	0.9118	0.8319	1.096	0.9601	0.8956	0.568	.	0.0748	240.3363	151.1116	0.0978	179.6626	133.5866	0	0	0	0.1838	0.0189	0	0.0464	0.4088	0.7111	0.8889	0.8767	0.6737	0.4694	 
8905-1	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	1	21.2978	28.3232	6.7564	6.7818	4.2418	5.2324	0.7715	0.6278	0.8872	0.8496	1.0442	0.9433	0.8762	0.5509	.	0.1217	205.6953	158.0234	0.254	172.8987	137.995	0.0264	0.0615	0	0.128	0.0675	0	0.0642	0.466	0.6439	0.8919	0.88	0.6226	0.4994	 
8905-2	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	2	20.4193	26.6767	6.3246	6.3754	4.4704	5.1816	0.8127	0.7068	0.9197	0.8072	1.1393	0.9524	0.9086	0.5703	.	0.081	220.0281	157.9	0.1507	187.5911	122.175	0.03	0.051	0	0.1822	0.0236	0	0.0673	0.4314	0.6897	0.8917	0.8861	0.7071	0.4735	 
8905-3	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	3	19.4889	25.3677	5.7658	5.842	4.8514	5.3594	0.9174	0.8414	0.8899	0.8106	1.0978	0.9607	0.9519	0.5508	.	0.0665	217.5325	133.0339	0.13	186.7886	113.9112	0	0.0135	0	0.1188	0.0396	0	0.0543	0.5071	0.7238	0.8889	0.8889	0.8444	0.4535	 
8905-4	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	4	18.5884	22.3858	5.6134	5.6642	4.2418	4.9022	0.8655	0.7557	0.9231	0.7964	1.1591	0.9456	0.9244	0.5536	.	0.1089	215.2156	160.1398	0.198	180	115.9584	0	0.0141	0	0.1829	0.0275	0	0.073	0.4145	0.6875	0.8919	0.88	0.75	0.4741	 
8905-5	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	5	17.9803	21.3671	5.6134	5.6388	4.2164	4.6736	0.8288	0.7511	0.9005	0.8235	1.0934	0.9551	0.9129	0.5627	.	0.049	217.1494	141.7399	0.0474	187.3836	141.7944	0.0426	0.0405	0	0.1784	0.046	0	0.0361	0.4293	0.7213	0.8919	0.8859	0.75	0.4491	 
8905-6	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	6	18.8645	22.6051	5.5372	5.6134	4.2672	5.0038	0.8914	0.7706	0.9266	0.7844	1.1813	0.9472	0.9352	0.5734	.	0.127	243.7146	157.9583	0.2406	173.5381	106.9971	0	0	0	0.1725	0.0327	0	0.0814	0.4619	0.6837	0.8933	0.8874	0.7701	0.4774	 
8905-7	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	7	17.4784	20.2303	4.9784	5.0292	4.5974	4.9022	0.9747	0.9235	0.9184	0.8112	1.1321	0.9663	0.9638	0.5464	.	0.0566	221.2448	126.8889	0.1001	165.7321	105.6814	0.0032	0.0175	0	0.1564	0.0224	0	0.0545	0.4706	0.7604	0.9125	0.8795	0.9359	0.4295	 
8905-8	8905	SCT_0296	2010_oh_8905_fruit-t.jpg	8	15.6968	16.9922	4.8006	4.8006	3.9878	4.3688	0.9101	0.8307	0.8624	0.8095	1.0654	0.9704	0.9538	0.536	.	0.0785	220.359	127.7573	0.161	188.9292	116.0518	0.0049	0.0133	0	0.1321	0.0226	0	0.0304	0.4651	0.7251	0.8921	0.8794	0.8267	0.4453	 
8906-1	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	1	14.5939	15.0867	4.3053	4.3307	4.2672	4.3307	1	0.9912	0.8614	0.7994	1.0775	0.9854	0.9843	0.5289	.	0.0237	216.8365	115.0567	0.0219	168.5195	104.2524	0	0	0	0.1343	0.005	0	0.0377	0.478	0.7882	0.8874	0.8874	0.9926	0.3924	 
8906-2	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	2	14.2496	14.4951	4.1148	4.1148	4.3053	4.3561	1.0586	1.0463	0.8302	0.8302	1	0.9874	0.9766	0.5118	.	0.0102	191.7289	105.8193	0.0141	178.9996	106.2531	0	0	0.1094	0	0.0309	0.0275	0	0.4927	0.7895	0.8911	0.8852	1.0465	0.3912	 
8906-3	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	3	14.7267	14.6869	4.1529	4.191	4.3942	4.4323	1.0576	1.0581	0.8318	0.8073	1.0303	0.9882	0.9776	0.5092	.	0.0027	177.6167	103.0096	0.0045	177.5533	100.9735	0	0	0	0.1452	0.0136	0	0.0318	0.4412	0.7931	0.8903	0.8875	1.0615	0.3811	 
8906-4	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	4	14.0487	14.0008	4.064	4.1021	4.2672	4.3053	1.0495	1.05	0.8344	0.8	1.043	0.9888	0.975	0.4916	.	0.0074	193.4355	105.8527	0.0052	170.5738	99.1934	0	0	0	0.1055	0.0276	0	0.0328	0.4897	0.7929	0.8904	0.8874	1.0469	0.3792	 
8906-5	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	5	14.1691	14.2974	4.1402	4.1402	4.191	4.2545	1.0276	1.0123	0.8558	0.8006	1.069	0.9855	0.9794	0.5248	.	0.0134	191.008	107.0968	0.0173	175.7544	103.0464	0	0	0	0.1208	0.0254	0	0.0357	0.4776	0.7904	0.8919	0.8889	1.0154	0.3918	 
8906-6	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	6	13.5497	13.0314	3.937	3.9497	3.9878	4.064	1.0289	1.0129	0.8645	0.7968	1.085	0.9817	0.975	0.5338	.	0.0172	216.8002	111.0363	0.0137	174.0453	99.4769	0	0	0	0.1531	0.0053	0	0.0371	0.4469	0.7837	0.8865	0.8865	1.0081	0.3973	 
8906-7	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	7	13.8432	13.4748	4.0386	4.0513	4.1021	4.1529	1.0251	1.0157	0.8459	0.7925	1.0675	0.9846	0.98	0.5182	.	0.0216	221.6054	109.1631	0.0297	173.2345	102.9147	0	0	0	0.111	0.021	0	0.0294	0.5015	0.7853	0.8889	0.8828	1.0079	0.3887	 
8906-8	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	8	13.844	13.6366	4.0132	4.0132	4.1021	4.1656	1.038	1.0222	0.8608	0.807	1.0667	0.9799	0.974	0.5403	.	0.0061	191.8397	116.5928	0.0235	172.9316	99.4837	0	0	0	0.1205	0.0252	0	0.0414	0.4939	0.7829	0.8889	0.8828	1.0159	0.4007	 
8906-9	8906	SCT_0297	2010_oh_8906_fruit-t.jpg	9	12.9147	11.1211	3.6703	3.6703	3.6195	3.7211	1.0138	0.9862	0.8651	0.7993	1.0823	0.9806	0.977	0.5436	.	0.0154	212.3577	112.2997	0.0117	175.8422	100.7716	0	0	0	0.1194	0.0118	0	0.0376	0.5046	0.774	0.8863	0.8863	0.9912	0.4131	 
8907-1	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	1	20.974	27.5483	6.0452	6.1468	5.4356	5.715	0.9298	0.8992	0.895	0.7269	1.2312	0.9704	0.9638	0.4969	.	0.0264	230.3962	129.3388	0.0351	170.9846	105.7588	0	0	0	0.1775	0.0292	0	0.0668	0.4604	0.7946	0.9622	0.8725	0.957	0.391	 
8907-2	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	2	19.3068	24.7909	5.5118	5.588	5.0038	5.6134	1.0045	0.9078	0.9078	0.765	1.1867	0.9507	0.9481	0.5218	.	0.0747	236.0147	137.2446	0.127	179.0618	94.0422	0	0	0	0.1828	0.0319	0	0.082	0.4118	0.7091	0.8914	0.8814	0.907	0.4516	 
8907-3	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	3	18.8968	24.0851	5.6388	5.6896	4.9022	5.3086	0.933	0.8694	0.9234	0.7387	1.25	0.9548	0.9457	0.5121	.	0.0505	223.9174	140.3778	0.0702	165.8359	100.8221	0	0	0	0.1948	0.0459	0	0.0843	0.4306	0.7308	0.8889	0.8786	0.8636	0.4372	 
8907-4	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	4	18.4817	22.7206	4.6228	4.699	6.1722	6.2992	1.3405	1.3352	0.8407	0.7692	1.0929	0.9668	0.9086	0.4959	.	0.0488	270.0825	84.2104	0.0707	155.2976	77.6865	0	0	0	0.1633	0.0193	0	0.0484	0.4113	0.7773	0.8889	0.8807	1.3333	0.3834	 
8907-5	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	5	15.4972	16.7929	4.1402	4.2418	4.953	5.1054	1.2036	1.1963	0.8589	0.7853	1.0938	0.9723	0.9377	0.4922	.	0.0124	202.6132	95.4223	0.0108	164.2327	89.2767	0	0	0	0.088	0.0358	0	0.0304	0.5423	0.77	0.8902	0.875	1.2031	0.4052	 
8907-6	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	6	16.3136	18.5529	4.7244	4.7244	5.0038	5.08	1.0753	1.0591	0.8333	0.7796	1.069	0.9775	0.967	0.486	.	0.0467	216.579	105.0747	0.112	164.2304	102.6135	0	0	0	0.0948	0.0277	0	0.0371	0.48	0.7839	0.8914	0.8814	1.0541	0.3694	 
8907-7	8907	SCT_0298	2010_oh_8907_fruit-t.jpg	7	16.1043	17.3529	4.1402	4.2418	4.9276	5.3594	1.2635	1.1902	0.8773	0.7423	1.1818	0.953	0.9113	0.4425	.	0.0429	246.7797	116.0382	0.045	166.8839	83.7731	0	0	0	0.1747	0.0544	0	0.0784	0.4218	0.7333	0.9006	0.8851	1.2031	0.4244	 
8908-1	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	1	23.0383	34.3993	7.3914	7.3914	4.8514	5.6642	0.7663	0.6564	0.8694	0.8625	1.008	0.9521	0.8929	0.5785	.	0.1054	220.2006	142.76	0.1906	184.1582	141.8835	0.0062	0.0227	0	0.0945	0.0293	0	0.0229	0.4709	0.6847	0.8889	0.8889	0.6552	0.4806	 
8908-2	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	2	21.5949	30.9528	6.6802	6.7564	5.1054	5.6134	0.8308	0.7643	0.8897	0.7985	1.1143	0.9662	0.9347	0.5573	.	0.0724	235.0061	137.3936	0.1017	181.2878	118.7473	0	0	0	0.1608	0.0072	0	0.0557	0.4615	0.7273	0.8889	0.8889	0.7692	0.4552	 
8908-3	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	3	20.2063	28.0516	6.0452	6.096	5.207	5.6388	0.925	0.8613	0.9202	0.7899	1.1649	0.9633	0.9545	0.5424	.	0.0587	201.4478	128.8862	0.1168	175.4278	104.2855	0.0007	0.0083	0	0.1956	0.0278	0	0.0677	0.4189	0.733	0.8901	0.8804	0.8526	0.444	 
8908-4	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	4	19.375	25.4683	5.9436	5.9436	4.7752	5.2832	0.8889	0.8034	0.8932	0.7949	1.1237	0.9665	0.9458	0.5359	.	0.0625	202.3125	134.172	0.0968	187.351	113.3463	0	0	0	0.1372	0.0364	0	0.0528	0.4952	0.7246	0.8929	0.8876	0.8065	0.4449	 
8908-5	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	5	19.9585	25.2896	6.5786	6.604	3.9116	4.6736	0.7077	0.5946	0.9151	0.8185	1.1179	0.9456	0.8676	0.5746	.	0.1034	245.7472	162.3261	0.1421	191.4617	138.8972	0	0	0	0.1581	0.0169	0	0.0536	0.4565	0.6667	0.8905	0.8841	0.5922	0.4965	 
8908-6	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	6	19.4926	25.6748	6.096	6.096	4.7498	5.2324	0.8583	0.7792	0.8333	0.8125	1.0256	0.968	0.9412	0.5398	.	0.0631	224.2108	119.1608	0.1058	186.5111	120.8748	0.0005	0.0083	0	0.1146	0.0174	0	0.0242	0.5	0.722	0.8916	0.881	0.7708	0.4392	 
8908-7	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	7	19.5854	23.3516	5.3848	5.3848	5.0038	5.4102	1.0047	0.9292	0.8821	0.783	1.1265	0.9682	0.9675	0.5453	.	0.0494	190.0428	114.9313	0.1345	172.8196	101.3962	0	0	0	0.1296	0.0229	0	0.055	0.5076	0.717	0.8786	0.8686	0.9383	0.4657	 
8908-8	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	8	18.8249	22.6116	5.9182	5.9944	4.1148	4.7752	0.7966	0.6953	0.9485	0.7682	1.2346	0.9451	0.8951	0.553	.	0.0719	213.8996	168.5472	0.1067	174.0101	121.2854	0	0	0	0.2163	0.0468	0	0.0906	0.3989	0.6845	0.8889	0.8828	0.6957	0.4722	 
8908-9	8908	SCT_0303	2010_oh_8908_fruit-t.jpg	9	18.6787	20.9838	6.1468	6.223	3.3528	4.2926	0.6898	0.5455	0.9174	0.8182	1.1212	0.9295	0.8382	0.5683	.	0.1305	224.1458	169.9249	0.206	204.9875	148.337	0.1568	0.0818	0	0.1805	0.0606	0	0.0533	0.4379	0.619	0.9043	0.8814	0.5417	0.5178	 
8909-1	8909	SCT_0326	2010_oh_8909_fruit-t.jpg	1	13.2777	11.8927	4.2291	4.2672	3.1115	3.429	0.8036	0.7357	0.8829	0.8228	1.073	0.9635	0.9188	0.5551	.	0.0391	218.502	147.2499	0.0443	192.9014	127.4305	0.0163	0.0331	0	0.1164	0.0357	0	0.0499	0.4852	0.7212	0.8899	0.8818	0.7348	0.4545	 
8909-2	8909	SCT_0326	2010_oh_8909_fruit-t.jpg	2	12.1521	10.3408	3.7846	3.7973	3.3274	3.3909	0.893	0.8792	0.8591	0.7785	1.1034	0.9833	0.9652	0.5287	.	0.0075	199.6837	128.0652	0.008	159.7509	115.2009	0	0	0	0.1428	0.0118	0	0.0498	0.4944	0.782	0.8889	0.8851	0.8739	0.3936	 
8909-3	8909	SCT_0326	2010_oh_8909_fruit-t.jpg	3	10.86	8.2163	3.4798	3.4925	2.794	2.9337	0.84	0.8029	0.8869	0.7628	1.1627	0.9693	0.9343	0.5096	.	0.0238	208.5619	137.8406	0.0469	176.9351	111.2882	0	0	0	0.1608	0.0362	0	0.0564	0.4589	0.7652	0.8934	0.8889	0.8073	0.4085	 
8909-4	8909	SCT_0326	2010_oh_8909_fruit-t.jpg	4	11.0484	8.4485	3.4798	3.4925	2.7813	2.9718	0.8509	0.7993	0.8832	0.7956	1.1101	0.9739	0.9428	0.5455	.	0.0449	217.6991	134.0359	0.0636	179.7297	118.531	0	0	0	0.1561	0.0125	0	0.0482	0.4615	0.7468	0.8923	0.8832	0.7982	0.4312	 
