plot_name	accession_name	plot_number	block_number	is_a_control	rep_number	Brix|SP:0000165	PH|SP:0000170	titratable acids (g citric acid /100 ml)|SP:0000345	days to Maturity|SP:0000366						
2010_vintage_Fremont_OH_8963_1	Turrialba	8963	1		1	6.2	3.75	0.71104	146						
2010_vintage_Fremont_OH_8964_1	LA0410	8964	1		1	5.8	3.68	0.67072	146						
2010_vintage_Fremont_OH_8965_1	Cotaxtla I	8965	1		1	5.8	3.85	0.5984	146						
2010_vintage_Fremont_OH_8966_1	PI 270430	8966	1		1	7.5	3.66	0.9696	146						
2010_vintage_Fremont_OH_8967_1	PI 272703	8967	1		1	7.5	3.86	0.6368	153						
2010_vintage_Fremont_OH_8968_1	Kiyosu No. 2	8968	1		1	6.5	3.84	0.57408	153						
2010_vintage_Fremont_OH_8969_1	Hong Kong	8969	1		1	7.6	4.43	0.48384	160						
2010_vintage_Fremont_OH_8970_1	Devon Surprise	8970	1		1	6.6	4.34	0.50688	160						
2010_vintage_Fremont_OH_8971_1	Heinz 1370	8971	1		1	5.2	4.41	0.43584	168						
2010_vintage_Fremont_OH_8972_1	W-C 1537	8972	1		1	5.4	4.48	0.31808	168						
2010_vintage_Fremont_OH_8973_1	A-1770	8973	1		1	5.4	4.58	0.336	168						
2010_vintage_Fremont_OH_8974_1	A-1771	8974	1		1	6.7	4.43	0.4544	168						
2010_vintage_Fremont_OH_8975_1	1091-Chonto 21 (mataverde (3-21-2))	8975	1		1	6.9	4.44	0.4384	160						
2010_vintage_Fremont_OH_8976_1	Peto 460	8976	1		1	5.5	4.46	0.33728	160						
2010_vintage_Fremont_OH_8977_1	Rosa o Monserrat	8977	1		1	6.4	4.1	0.45952	153						
2010_vintage_Fremont_OH_8978_1	Tomate del lugar	8978	1		1	6.2	3.83	0.53312	153						
2010_vintage_Fremont_OH_8979_1	Pomodoro Superselezione di Marmande	8979	1		1	5	3.77	0.6048	146						
2010_vintage_Fremont_OH_8980_1	PI 270408	8980	1		1	6.1	3.55	0.85888	146						
2010_vintage_Fremont_OH_8981_1	W-C 1050	8981	1		1	6.5	4.01	0.56832	146						
2010_vintage_Fremont_OH_8982_1	Zhongza No. 4	8982	1		1	6.9	3.83	0.6272	146						
2010_vintage_Fremont_OH_8983_2	Ailsa Craig	8983	2		2	5.6	3.87	0.4928	153						
2010_vintage_Fremont_OH_8984_2	Beauty	8984	2		2	6	3.85	0.544	153						
2010_vintage_Fremont_OH_8985_2	Black Plum	8985	2		2	7.8	4.31	0.5632	160						
2010_vintage_Fremont_OH_8986_2	Favorite	8986	2		2	7.1	4.37	0.62016	160						
2010_vintage_Fremont_OH_8987_2	Globe	8987	2		2	5.4	4.31	0.46656	168						
2010_vintage_Fremont_OH_8988_2	Gold Ball	8988	2		2	6	4.36	0.41472	168						
2010_vintage_Fremont_OH_8989_2	Grushovka	8989	2		2	5.1	4.53	0.33472	168						
