Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
8996	SCT_0310	2010	Fremont	Ohio	2	Principe Borghese		
8997	SCT_0312	2010	Fremont	Ohio	2	RomaVF		
8998	SCT_0314	2010	Fremont	Ohio	2	SanMarzano		
8999	SCT_0321	2010	Fremont	Ohio	2	VFNT Cherry		
9000	SCT_0322	2010	Fremont	Ohio	2	White Queen		
9001	SCT_0323	2010	Fremont	Ohio	2	Yellow Pear		
9002	SCT_0324	2010	Fremont	Ohio	2	Yellow Stuffer		
9003	SCT_0285	2010	Fremont	Ohio	2	Aker's West Virginia		
9004	SCT_0288	2010	Fremont	Ohio	2	Black From Tula		
9005	SCT_0291	2010	Fremont	Ohio	2	Burbank		
9006	SCT_0309	2010	Fremont	Ohio	2	Peron		
9007	SCT_0292	2010	Fremont	Ohio	2	Cherokee Purple		
9008	SCT_0307	2010	Fremont	Ohio	2	Oxheart		
9009	SCT_0313	2010	Fremont	Ohio	2	Rutgers		
9010	SCT_0286	2010	Fremont	Ohio	2	Amish Paste		
9011	SCT_0305	2010	Fremont	Ohio	2	Opalka		
9012	SCT_0290	2010	Fremont	Ohio	2	Brandywine ( Sudduth/Quisenberry)		
9013	SCT_0300	2010	Fremont	Ohio	2	Juane Flammee		
9014	SCT_0293	2010	Fremont	Ohio	2	Costoluto Genovese		
9015	SCT_0294	2010	Fremont	Ohio	2	D' Olvia x Industria		
9016	SCT_0306	2010	Fremont	Ohio	2	Orange Strawberry		
9017	SCT_0315	2010	Fremont	Ohio	2	Sponzillo		
9018	SCT_0317	2010	Fremont	Ohio	2	T1003		
9019	SCT_0318	2010	Fremont	Ohio	2	T1693		
9020	SCT_0319	2010	Fremont	Ohio	2	T1697		
9021	SCT_0320	2010	Fremont	Ohio	2	Tres Cantos		
9022	SCT_0302	2010	Fremont	Ohio	2	LYC1903		
9023	SCT_0328	2010	Fremont	Ohio	2	Tainan (AVRDC #6)		
9024	SCT_0359	2010	Fremont	Ohio	2	Rinon PI98097		
9025	SCT_0364	2010	Fremont	Ohio	2	Tomate		
9026	SCT_0363	2010	Fremont	Ohio	2	Sao Paulo		
