	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	photovolt reflectance		USDA		% Sugar
	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix	mm/yyyy	%FW	%FW	mm/yyyy	%FW	%FW	bud	stem	color	mottling	End
accession	line	plot	replicate	date	flower_color	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	SP:0000198|unit:kg	SP:0000218|unit:	tuber_picture	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	date1	SP:0000215|unit:milligram	SP:0000214|unit:milligram	date2	SP:0000215|unit:%FW	SP:0000214|unit:%FW					
A05141-119|189	A05141-119	62-17	1	2009/09/23	MRP^	8	8	5	6.9	1.077	A05141-119 Tuber.JPG	5	4	1	5	11.6	5.7	5.3	3	7	7	2009/10/07	0.113	0.108	2010/02/09	0.104	0.099	49.9	39.4	2	1.8	60
A05141-12|21	A05141-12	64-23	1	2009/09/23	MRP^	5	1	3	4.7	1.09	A05141-12 Tuber.JPG	6	3	1	4	8.6	6.1	4.9	5	3	5	2009/10/07	0.006	0.08	2010/02/09	0.024	0.089	58.7	55.4	1	1	0
A05141-120|191	A05141-120	65-11	1	2009/09/23	W	8	8	3	5.5	1.089	A05141-120 Tuber.JPG	4	5	1	4	11.3	5.6	5.1	5	5	7	2009/10/07	0.03	0.139	2010/02/09	0.066	0.084	51.2	47	1	1.2	40
A05141-121|193	A05141-121	62-14	1	2009/09/23	MRP*	6	3	5	9.3	1.079	A05141-121 Tuber.JPG	4	6	1	4	12.4	6.5	6.1	5	7	7	2009/10/07	0.017	0.077	2010/02/09	0.039	0.067	47.2	47.8	1	1	0
A05141-123|195	A05141-123	62-12	1	2009/09/23	W	8	8	3	8.9	1.081	A05141-123 Tuber.JPG	6	3	1	5	13.7	6	5.4	5	9	9	2009/10/07	0.046	0.109	2010/02/09	0.043	0.072	42.2	47.2	1	1.4	60
A05141-125|197	A05141-125	65-06	1	2009/09/23	W	7	4	3	8.2	1.084	A05141-125 Tuber.JPG	4	6	1	4	14.3	7.5	6.7	3	9	7	2009/10/07	0.012	0.157	2010/02/09	0.07	0.145	41.4	42.7	2	1.8	20
A05141-13|23	A05141-13	62-04	1	2009/09/23	LRP^	6	2	7	7.8	1.084	A05141-13 Tuber.JPG	5	4	1	4	11.4	7.1	6.1	7	7	3	2009/10/07	0.011	0.121	2010/02/09	0.112	0.109	33.6	35.7	2	3.6	0
A05141-14|25	A05141-14	65-05	1	2009/09/23	MRP^	7	4	5	9.8	1.084	A05141-14 Tuber.JPG	4	4	1	5	12.9	6.9	6.3	3	9	5	2009/10/07	0.062	0.126	2010/02/09	0.08	0.095	40.6	43.5	2	2.4	0
A05141-16|27	A05141-16	62-01	1	2009/09/23	MRP^	3	1	7	4.1	1.076	A05141-16 Tuber.JPG	4	6	1	4	6.4	4.4	4	5	1	3	2009/10/07	0.041	0.068	2010/02/09	0.145	0.057	35.1	32.1	3	2.8	20
A05141-17|29	A05141-17	64-24	1	2009/09/23	MRP^	7	4	3	4.3	1.089	A05141-17 Tuber.JPG	5	4	1	5	8.7	4.4	4.1	1	7	1	2009/10/07	0.032	0.093	2010/02/09	0.093	0.09	42	43.5	2	1.2	0
A05141-18|31	A05141-18	62-18	1	2009/09/23	LRP	5	2	3	6.8	1.092	A05141-18 Tuber.JPG	4	6	1	5	13.5	6	5	5	5	7	2009/10/07	0.013	0.091	2010/02/09	0.051	0.079	46.4	55.7	1	1.6	20
A05141-19|33	A05141-19	62-24	1	2009/09/23	LRP^	7	2	5	9.8	1.077	A05141-19 Tuber.JPG	4	5	1	4	11.5	6.2	5.7	5	7	7	2009/10/07	0.01	0.153	2010/02/09	0.132	0.359	31.4	29.7	3	2.6	40
A05141-2|3	A05141-2	62-22	1	2009/09/23	W	4	1	5	6.4	1.088	A05141-2 Tuber.JPG	5	4	1	4	10.3	5.9	5.6	5	3	5	2009/10/07	0.005	0.047	2010/02/09	0.022	0.069	56.3	55.4	1	1.4	0
A05141-21|35	A05141-21	62-13	1	2009/09/23	W	7	2	3	3.9	1.077	A05141-21 Tuber.JPG	4	5	1	5	10.7	4.9	4.5	1	7	1	2009/10/07	0.058	0.249	2010/02/09	0.104	0.109	51.7	47.9	1	2.6	40
A05141-22|37	A05141-22	63-13	1	2009/09/23	MRP^	8	8	3	4.5	1.077	A05141-22 Tuber.JPG	4	6	1	4	8.1	5	4.6	5	1	3	2009/10/07	0.066	0.157	2010/02/09	0.125	0.131	44.9	34.3	3	1.4	80
A05141-23|39	A05141-23	65-20	1	2009/09/23	W	7	2	5	10.4	1.084	A05141-23 Tuber.JPG	5	4	1	5	14.9	7	6.1	9	9	3	2009/10/07	0.01	11.874	2010/02/09	0.055	0.074	41.4	43.5	2	1.2	0
A05141-24|41	A05141-24	63-10	1	2009/09/23	LPR^	8	4	3	6.4	1.08	A05141-24 Tuber.JPG	4	6	1	5	14.7	6.2	5.6	7	9	5	2009/10/07	0.05	0.328	2010/02/09	0.087	0.132	45.7	41	2	3.2	40
A05141-25|43	A05141-25	65-14	1	2009/09/23	NF	3	2	3	4.5	1.089	A05141-25 Tuber.JPG	4	5	1	4	8.4	5.5	4.9	5	1	3	2009/10/07	10.95	0.106	2010/02/09	0.022	0.071	54.7	39.5	2	1.2	40
A05141-27|45	A05141-27	64-11	1	2009/09/23	LRP	5	3	7	9.3	1.093	A05141-27 Tuber.JPG	5	4	1	5	14.9	5.4	5	5	3	5	2009/10/07	0.012	0.134	2010/02/09	0.069	0.104	51	54.2	1	1	0
A05141-28|47	A05141-28	63-23	1	2009/09/23	MRP^	8	7	3	5.9	1.086	A05141-28 Tuber.JPG	4	6	1	5	11	5.7	5.1	1	3	1	2009/10/07	0.011	0.122	2010/02/09	0.021	0.099	53.9	47.5	1	1.4	20
A05141-29|49	A05141-29	64-06	1	2009/09/23	W	7	6	7	8.4	1.076	A05141-29 Tuber.JPG	4	6	1	5	12.9	5.7	5.2	5	7	7	2009/10/07	0.028	0.232	2010/02/09	0.056	0.12	47	45.8	1	2.4	20
A05141-3|5	A05141-3	63-22	1	2009/09/23	MRP^	8	8	7	5.9	1.092	A05141-3 Tuber.JPG	4	5	1	4	10.6	6.2	5.5	3	5	5	2009/10/07	0.03	0.164	2010/02/09	0.057	0.105	47.7	46.9	1	1.6	20
A05141-30|51	A05141-30	62-21	1	2009/09/23	MRP^	8	5	3	2.4	1.082	A05141-30 Tuber.JPG	5	5	1	4	9.7	5.5	5	5	5	5	2009/10/07	0.026	0.094	2010/02/09	0.1	0.072	48.8	45.6	1	1	60
A05141-31|53	A05141-31	65-02	1	2009/09/23	LRP	6	3	3	6.5	1.101	A05141-31 Tuber.JPG	5	4	1	5	13.2	4.9	4.5	5	5	7	2009/10/07	0.005	0.098	2010/02/09	0.015	0.078	60.1	61	1	1	0
A05141-32|55	A05141-32	62-11	1	2009/09/23	W	7	4	5	10	1.102	A05141-32 Tuber.JPG	4	6	1	4	12.6	6.6	5.5	7	7	5	2009/10/07	0.031	0.085	2010/02/09	0.071	0.061	38.3	43.6	2	2.2	0
A05141-33|57	A05141-33	62-03	1	2009/09/23	W	6	4	3	5.6	1.089	A05141-33 Tuber.JPG	5	4	1	4	10.5	5.8	5	5	3	5	2009/10/07	0.015	0.138	2010/02/09	0.07	0.135	40	47.4	1	1.6	40
A05141-34|59	A05141-34	65-21	1	2009/09/23	MRP^	8	8	5	9.6	1.077	A05141-34 Tuber.JPG	4	6	1	4	12.1	7.2	6.5	5	9	7	2009/10/07	0.014	0.099	2010/02/09	0.07	0.062	45.9	50.5	1	1.6	20
A05141-35|61	A05141-35	65-25	1	2009/09/23	MRP^	8	7	3	8	1.093	A05141-35 Tuber.JPG	6	3	1	4	12.9	6.5	5.7	7	7	7	2009/10/07	0.015	0.124	2010/02/09	0.02	0.079	48.5	53.9	1	1	0
A05141-37|63	A05141-37	65-10	1	2009/09/23	MRP^	5	2	7	10.6	1.09	A05141-37 Tuber.JPG	5	4	1	4	13.1	6.4	6.1	7	9	7	2009/10/07	0.013	0.171	2010/02/09	0.071	0.135	41.8	39.4	2	2.4	0
A05141-39|65	A05141-39	62-20	1	2009/09/23	MRP^	8	3	5	9	1.079	A05141-39 Tuber.JPG	6	2	1	4	12.9	8.1	7.3	5	9	2	2009/10/07	0.128	0.336	2010/02/09	0.105	0.094	35.5	34.2	3	2.2	20
A05141-41|67	A05141-41	64-15	1	2009/09/23	LRP	7	4	5	6.6	1.09	A05141-41 Tuber.JPG	4	5	1	5	10.7	4.8	4.1	5	9	5	2009/10/07	0.117	0.159	2010/02/09	0.08	0.049	41.4	41.5	2	1	20
A05141-42|69	A05141-42	63-21	1	2009/09/23	MRP^	4	1	5	5.5	1.081	A05141-42 Tuber.JPG	5	4	1	4	11.1	6.5	5.8	5	7	7	2009/10/07	0.013	0.104	2010/02/09	0.048	0.053	42	45.9	1	1.2	0
A05141-43|71	A05141-43	62-23	1	2009/09/23	MRP^	7	5	7	8.1	1.094	A05141-43 Tuber.JPG	5	4	1	4	10.8	6.9	6.2	7	7	5	2009/10/07	0.048	0.184	2010/02/09	0.088	0.072	39	42.6	2	2.2	0
A05141-44|73	A05141-44	65-23	1	2009/09/23	W	6	4	5	8.4	1.086	A05141-44 Tuber.JPG	4	6	1	5	11.7	5.6	5.1	5	9	5	2009/10/07	0.008	0.117	2010/02/09	0.044	0.054	50.4	54.1	1	1.4	20
A05141-45|75	A05141-45	65-09	1	2009/09/23	LRP	8	8	3	4.7	1.083	A05141-45 Tuber.JPG	5	4	1	5	12.3	5.3	5	5	7	7	2009/10/07	0.018	0.124	2010/02/09	0.061	0.093	51.6	50.8	1	1.2	20
A05141-46|77	A05141-46	63-25	1	2009/09/23	MRP	7	4	5	7.9	1.084	A05141-46 Tuber.JPG	6	2	1	4	12.2	6.2	5.5	7	7	7	2009/10/07	0.002	0.146	2010/02/09	0.012	0.113	54.9	56.6	1	1	20
A05141-47|79	A05141-47	63-15	1	2009/09/23	MRP^	7	2	3	7.6	1.084	A05141-47 Tuber.JPG	5	4	1	5	11.9	5.8	5	5	9	7	2009/10/07	0.036	0.1	2010/02/09	0.048	0.077	44.6	50.9	1	1.4	20
A05141-48|81	A05141-48	65-19	1	2009/09/23	W	7	2	5	7.7	1.084	A05141-48 Tuber.JPG	5	4	1	5	14.8	6.7	6	5	9	5	2009/10/07	0.121	0.153	2010/02/09	0.161	0.085	30.2	36	2	3	40
A05141-5|7	A05141-5	64-21	1	2009/09/23	W	5	2	5	7.1	1.082	A05141-5 Tuber.JPG	6	3	1	5	12.6	6.9	6.3	7	9	5	2009/10/07	0.002	0.081	2010/02/09	0.027	0.077	47.6	52.5	1	1.6	20
A05141-50|83	A05141-50	64-10	1	2009/09/23	LRP^	8	8	3	9.4	1.084	A05141-50 Tuber.JPG	4	5	1	5	14.7	6.3	5.5	5	5	5	2009/10/07	0.039	0.09	2010/02/09	0.062	0.05	45	52.7	1	1.2	0
A05141-51|85	A05141-51	65-12	1	2009/09/23	MRP^	8	8	3	7.4	1.087	A05141-51 Tuber.JPG	4	5	1	4	13.1	7	6.3	7	9	7	2009/10/07	0.06	0.102	2010/02/09	0.061	0.049	44.1	50.8	1	1.2	40
