	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	photovolt reflectance		USDA		% Sugar
	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix	mm/yyyy	%FW	%FW	mm/yyyy	%FW	%FW	bud	stem	color	mottling	End
accession	line	plot	replicate	date	flower_color	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	SP:0000198|unit:kg	SP:0000218|unit:	tuber_picture	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	date1	SP:0000215|unit:milligram	SP:0000214|unit:milligram	date2	SP:0000215|unit:%FW	SP:0000214|unit:%FW					
A05141-77|127	A05141-77	64-19	1	2009/09/23	MRP^	6	4	7	11.7	1.074	A05141-77 Tuber.JPG	4	6	1	5	16.5	6.5	5.5	7	7	5	2009/10/07	0.03	0.096	2010/02/09	0.051	0.07	40.2	42.4	2	1.2	40
A05141-78|129	A05141-78	65-08	1	2009/09/23	MRP^	7	4	7	10.1	1.078	A05141-78 Tuber.JPG	4	6	1	5	15.4	6.4	5.5	5	9	5	2009/10/07	0.035	0.109	2010/02/09	0.132	0.073	42.3	40	2	1	60
A05141-79|131	A05141-79	65-13	1	2009/09/23	MRP^	5	2	7	9.6	1.098	A05141-79 Tuber.JPG	4	5	1	4	10.9	6.8	5.9	9	3	3	2009/10/07	0.015	0.125	2010/02/09	0.05	0.091	47.4	47.7	1	1.8	0
A05141-8|13	A05141-8	63-14	1	2009/09/23	W	5	2	5	8.3	1.089	A05141-8 Tuber.JPG	4	5	1	5	15.6	5.7	5.1	7	9	5	2009/10/07	0.007	0.089	2010/02/09	0.082	0.088	53.6	49.4	1	1.4	40
A05141-80|133	A05141-80	65-16	1	2009/09/23	MRP^	8	8	7	12.3	1.079	A05141-80 Tuber.JPG	5	4	1	5	14.2	5.6	5.3	3	9	3	2009/10/07	0.088	0.159	2010/02/09	0.187	0.088	44.4	40.8	2	1.8	80
A05141-82|135	A05141-82	65-17	1	2009/09/23	MRP^	7	3	3	6.9	1.091	A05141-82 Tuber.JPG	4	6	1	5	13	6.7	5.4	5	9	3	2009/10/07	0.01	0.133	2010/02/09	0.022	0.141	50.1	55.2	1	1.2	0
A05141-83|137	A05141-83	64-04	1	2009/09/23	LRP	8	8	5	4	1.075	A05141-83 Tuber.JPG	4	6	1	5	15.5	4.8	4.2	3	5	3	2009/10/07	0.036	0.177	2010/02/09	0.048	0.122	45.6	53.4	1	2.2	20
A05141-84|139	A05141-84	64-25	1	2009/09/23	MRP^	8	6	3	4.3	1.086	A05141-84 Tuber.JPG	6	3	1	5	11.4	5.7	5.3	5	5	5	2009/10/07	0.042	0.116	2010/02/09	0.059	0.1	47.7	45.2	1	1.6	60
A05141-87|141	A05141-87	64-01	1	2009/09/23	NF	3	1	7	4.2	1.081	A05141-87 Tuber.JPG	5	4	1	5	8.8	4.9	4.6	3	1	5	2009/10/07	0.003	0.136	2010/02/09	0.018	0.117	54.6	54.3	1	1.8	0
A05141-88|143	A05141-88	64-12	1	2009/09/23	W	7	8	3	6.4	1.084	A05141-88 Tuber.JPG	5	4	1	5	12.7	5.7	5.3	3	9	5	2009/10/07	0.01	0.091	2010/02/09	0.024	0.082	50.3	53.3	1	1	0
A05141-9|15	A05141-9	63-24	1	2009/09/23	LRP^	7	2	5	8.4	1.078	A05141-9 Tuber.JPG	4	6	1	4	11.2	6.7	6	7	5	5	2009/10/07	0.029	0.088	2010/02/09	0.03	0.119	51.2	50.9	1	1	0
A05141-90|145	A05141-90	64-07	1	2009/09/23	MRP^	3	1	5	6.8	1.083	A05141-90 Tuber.JPG	4	4	1	3	9.2	5.7	5	5	1	5	2009/10/07	0.021	0.474	2010/02/09	0.165	1.038	30.4	20.1	4	2	80
A05141-91|147	A05141-91	63-01	1	2009/09/23	MRP^	4	1	3	2.2	1.082	A05141-91 Tuber.JPG	6	3	1	3	6.1	4.2	3.8	7	1	3	2009/10/07	0.028	0.089	2010/02/09	0.096	0.071	38.9	38.1	4	1.4	40
A05141-92|149	A05141-92	64-14	1	2009/09/23	W	3	2	5	5.9	1.082	A05141-92 Tuber.JPG	5	4	1	4	9.4	6.9	5.9	7	7	5	2009/10/07	0.012	0.081	2010/02/09	0.029	0.07	49	48.8	1	1	0
A05141-94|151	A05141-94	62-08	1	2009/09/23	NF	3	1	3	2	1.096	A05141-94 Tuber.JPG	5	4	1	4	6.2	3.7	3.7	5	3	5	2009/10/07	0.008	0.085	2010/02/09	0.041	0.057	54.3	50.9	1	1	0
A05141-95|153	A05141-95	62-15	1	2009/09/23	MRP^	5	1	3	11.3	1.09	A05141-95 Tuber.JPG	6	3	1	5	11.6	6.5	5.7	5	7	9	2009/10/07	0.012	0.107	2010/02/09	0.087	0.098	37.6	42	2	1.4	40
A05141-96|155	A05141-96	63-08	1	2009/09/23	LRP^	5	2	5	7.8	1.094	A05141-96 Tuber.JPG	6	3	1	5	10.9	5.9	5.2	5	5	7	2009/10/07	0.014	0.105	2010/02/09	0.046	0.065	48.6	49.1	1	1	0
A05141-98|157	A05141-98	62-07	1	2009/09/23	MRP^	4	3	5	2.9	1.09	A05141-98 Tuber.JPG	5	4	1	3	7.2	5.5	4.6	3	1	3	2009/10/07	0.027	0.138	2010/02/09	0.061	0.111	44.4	45.6	1	2.2	20
A05141-99|159	A05141-99	64-09	1	2009/09/23	LRP^	7	5	7	9.4	1.088	A05141-99 Tuber.JPG	6	3	1	4	12	6.5	6	7	7	7	2009/10/07	0.027	0.098	2010/02/09	0.042	0.078	42.7	44.2	1	1	0
Premier Russet|199	Premier Russet	64-05	1	2009/09/23	W	7	5	7	10.8	1.09	Premier Tuber.JPG	6	2	1	4	12.9	6.8	6.1	5	7	7	2009/10/07	0.006	0.125	2010/02/09	0.013	0.086	57.7	59	1	1	0
Rio Grande Russet|201	Rio Grande Russet	63-04	1	2009/09/23	LP	8	4	3	2	1.078	Rio Grande Russet Tuber.JPG	6	2	1	5	12.3	5.7	4.9	3	7	5	2009/10/07	0.09	0.198	2010/02/09	0.166	0.091	35.9	36.4	2	2.4	20
A05141-1|2	A05141-1	63-42	2	2009/09/23	LRP^	7	6	7	39.4	1.094		5	4	1	5				7	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-10|18	A05141-10	65-41	2	2009/09/23	W	7	5	5	24	1.087		6	3	1	5				5	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-100|162	A05141-100	64-49	2	2009/09/23	MRP	6	5	7	52.4	1.089		4	5	1	5				7	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-101|164	A05141-101	63-37	2	2009/09/23	LRP	7	7	7	37.4	1.088		5	4	1	5				5	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-102|166	A05141-102	62-50	2	2009/09/23	W	8	4	5	20.9	1.103		4	5	1	5				1	3	1	.	.	.	.	.	.	.	.	.	.	.
A05141-105|168	A05141-105	64-43	2	2009/09/23	MRP^	8	6	3	44.3	1.078		4	5	1	5				5	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-106|170	A05141-106	62-34	2	2009/09/23	LRP^	8	6	3	27.6	1.087		4	5	1	5				5	9	5	.	.	.	.	.	.	.	.	.	.	.
A05141-107|172	A05141-107	63-38	2	2009/09/23	W	8	7	5	32.5	1.083		5	4	1	5				7	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-109|174	A05141-109	63-31	2	2009/09/23	MRP^	8	7	5	29.8	1.069		5	4	1	5				5	5	7	.	.	.	.	.	.	.	.	.	.	.
A05141-11|20	A05141-11	62-39	2	2009/09/23	MRP^	8	6	5	35.5	1.079		1	6	1	5				5	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-110|176	A05141-110	63-41	2	2009/09/23	LRP^	6	3	7	27.7	1.077		5	4	1	5				9	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-111|178	A05141-111	63-48	2	2009/09/23	MRP^	7	5	3	22.3	1.087		4	6	1	5				1	3	1	.	.	.	.	.	.	.	.	.	.	.
A05141-112|180	A05141-112	63-36	2	2009/09/23	W	7	5	5	24.6	1.091		4	6	1	5				3	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-114|182	A05141-114	65-43	2	2009/09/23	NF	3	1	3	0	1.117		6	3	1	4				3	1	1	.	.	.	.	.	.	.	.	.	.	.
A05141-115|184	A05141-115	64-50	2	2009/09/23	LRP^	7	5	5	22.7	1.09		5	4	1	5				3	5	3	.	.	.	.	.	.	.	.	.	.	.
A05141-116|186	A05141-116	62-38	2	2009/09/23	LRP^	3	1	7	17.4	1.075		1	6	1	5				1	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-118|188	A05141-118	64-42	2	2009/09/23	NF	3	1	5	2	1.081		5	4	1	3				5	1	5	.	.	.	.	.	.	.	.	.	.	.
A05141-119|190	A05141-119	63-26	2	2009/09/23	MRP^	8	8	5	23.4	1.076		4	5	1	5				5	5	3	.	.	.	.	.	.	.	.	.	.	.
A05141-12|22	A05141-12	64-35	2	2009/09/23	MRP^	4	1	5	8.4	1.089		5	4	1	4				5	3	3	.	.	.	.	.	.	.	.	.	.	.
A05141-120|192	A05141-120	62-44	2	2009/09/23	W	7	7	5	18.4	1.084		4	5	1	5				3	3	7	.	.	.	.	.	.	.	.	.	.	.
A05141-121|194	A05141-121	62-51	2	2009/09/23	MRP*	7	4	5	36.5	1.084		4	5	1	4				5	5	7	.	.	.	.	.	.	.	.	.	.	.
A05141-123|196	A05141-123	62-28	2	2009/09/23	W	8	7	3	33.6	1.072		5	4	1	5				5	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-125|198	A05141-125	65-31	2	2009/09/23	W	7	5	3	32.2	1.082		4	5	1	5				1	9	5	.	.	.	.	.	.	.	.	.	.	.
A05141-13|24	A05141-13	62-49	2	2009/09/23	LRP^	3	1	5	30.6	1.081		4	5	1	4				5	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-14|26	A05141-14	64-31	2	2009/09/23	MRP^	7	5	3	38.9	1.078		4	5	1	5				7	9	5	.	.	.	.	.	.	.	.	.	.	.
A05141-16|28	A05141-16	63-47	2	2009/09/23	MRP^	2	1	5	1	1.074		4	6	1	3				3	1	5	.	.	.	.	.	.	.	.	.	.	.
A05141-17|30	A05141-17	64-46	2	2009/09/23	MRP^	7	5	3	12.6	1.101		5	4	1	5				3	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-18|32	A05141-18	65-29	2	2009/09/23	LRP	5	3	5	19.4	1.085		4	6	1	5				3	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-19|34	A05141-19	63-51	2	2009/09/23	LRP^	7	1	5	36.8	1.075		4	5	1	4				5	3	7	.	.	.	.	.	.	.	.	.	.	.
A05141-2|4	A05141-2	62-30	2	2009/09/23	W	5	2	5	17.4	1.091		5	4	1	4				5	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-21|36	A05141-21	65-35	2	2009/09/23	W	7	6	5	10.6	1.079		4	6	1	5				1	3	3	.	.	.	.	.	.	.	.	.	.	.
A05141-22|38	A05141-22	63-34	2	2009/09/23	MRP^	8	7	5	11.8	1.085		4	6	1	3				3	1	3	.	.	.	.	.	.	.	.	.	.	.
A05141-23|40	A05141-23	64-39	2	2009/09/23	W	7	4	7	42.8	1.085		5	4	1	5				7	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-24|42	A05141-24	64-28	2	2009/09/23	LPR^	8	5	5	24.8	1.086		4	6	1	5				9	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-25|44	A05141-25	63-35	2	2009/09/23	NF	3	2	3	10	1.082		4	5	1	4				5	3	3	.	.	.	.	.	.	.	.	.	.	.
A05141-27|46	A05141-27	64-29	2	2009/09/23	LRP	7	5	7	33.6	1.087		4	5	1	5				5	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-28|48	A05141-28	63-29	2	2009/09/23	MRP^	8	7	5	16.5	1.078		4	6	1	4				1	5	1	.	.	.	.	.	.	.	.	.	.	.
A05141-29|50	A05141-29	64-36	2	2009/09/23	W	8	6	7	32.2	1.082		4	6	1	5				3	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-3|6	A05141-3	65-30	2	2009/09/23	MRP^	8	8	5	17.2	1.082		4	5	1	5				5	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-30|52	A05141-30	64-27	2	2009/09/23	MRP^	6	5	3	10.2	1.081		4	5	1	4				7	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-31|54	A05141-31	65-50	2	2009/09/23	LRP	7	5	3	19.2	1.101		5	4	1	5				5	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-32|56	A05141-32	62-33	2	2009/09/23	W	8	6	3	40.6	1.088		4	6	1	5				7	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-33|58	A05141-33	63-40	2	2009/09/23	W	7	5	3	11.4	1.093		5	4	1	5				5	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-34|60	A05141-34	64-37	2	2009/09/23	MRP^	8	7	5	41.4	1.067		4	5	1	5				5	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-35|62	A05141-35	62-37	2	2009/09/23	MRP^	8	7	3	31.2	1.086		5	4	1	5				7	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-37|64	A05141-37	62-40	2	2009/09/23	MRP^	6	3	7	44.6	1.097		4	5	1	5				9	9	9	.	.	.	.	.	.	.	.	.	.	.
A05141-39|66	A05141-39	65-26	2	2009/09/23	MRP^	8	6	3	35.6	1.08		6	2	1	4				3	9	5	.	.	.	.	.	.	.	.	.	.	.
A05141-41|68	A05141-41	63-45	2	2009/09/23	LRP	8	6	3	25.2	1.088		1	7	1	5				5	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-42|70	A05141-42	62-46	2	2009/09/23	MRP^	4	2	5	22.8	1.082		4	5	1	4				7	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-43|72	A05141-43	63-39	2	2009/09/23	MRP^	7	5	7	30.2	1.091		4	5	1	4				7	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-44|74	A05141-44	64-44	2	2009/09/23	W	7	5	5	34.8	1.076		4	5	1	5				5	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-45|76	A05141-45	63-44	2	2009/09/23	LRP	8	7	3	19.8	1.091		5	4	1	5				3	7	9	.	.	.	.	.	.	.	.	.	.	.
A05141-46|78	A05141-46	65-40	2	2009/09/23	MRP	7	5	3	29	1.081		6	2	1	4				3	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-47|80	A05141-47	62-42	2	2009/09/23	MRP^	7	4	3	27.6	1.084		5	4	1	5				5	5	7	.	.	.	.	.	.	.	.	.	.	.
A05141-48|82	A05141-48	63-50	2	2009/09/23	W	7	3	3	31.8	1.082		4	6	1	5				3	9	9	.	.	.	.	.	.	.	.	.	.	.
A05141-5|8	A05141-5	65-49	2	2009/09/23	W	6	3	3	30.4	1.083		5	4	1	4				7	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-50|84	A05141-50	64-34	2	2009/09/23	LRP^	8	7	3	29	1.077		4	6	1	5				1	7	3	.	.	.	.	.	.	.	.	.	.	.
A05141-51|86	A05141-51	64-48	2	2009/09/23	MRP^	8	7	5	30.6	1.078		5	4	1	5				7	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-52|88	A05141-52	62-36	2	2009/09/23	W	7	4	3	33.9	1.085		5	4	1	5				3	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-53|90	A05141-53	64-47	2	2009/09/23	W	8	7	5	25.1	1.079		4	5	1	5				7	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-54|92	A05141-54	64-45	2	2009/09/23	W	8	7	7	20.9	1.068		4	5	1	4				7	5	3	.	.	.	.	.	.	.	.	.	.	.
A05141-55|94	A05141-55	63-49	2	2009/09/23	MRP^	7	5	3	33	1.088		5	4	1	5				7	9	3	.	.	.	.	.	.	.	.	.	.	.
A05141-58|96	A05141-58	63-33	2	2009/09/23	MRP	5	1	5	18.4	1.096		4	5	1	4				5	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-59|98	A05141-59	63-28	2	2009/09/23	MRP^	3	1	5	8.8	1.087		4	6	1	4				5	1	5	.	.	.	.	.	.	.	.	.	.	.
A05141-6|10	A05141-6	62-31	2	2009/09/23	MRP^	8	7	7	30.4	1.079		1	7	1	5				5	3	7	.	.	.	.	.	.	.	.	.	.	.
A05141-60|100	A05141-60	64-33	2	2009/09/23	MRP^	8	7	5	35.4	1.075		5	4	1	5				3	7	3	.	.	.	.	.	.	.	.	.	.	.
A05141-61|102	A05141-61	65-46	2	2009/09/23	MRP	4	1	3	3.4	1.095		4	5	1	4				3	1	3	.	.	.	.	.	.	.	.	.	.	.
A05141-62|104	A05141-62	63-30	2	2009/09/23	LRP	7	5	3	7.6	1.088		5	4	1	5				3	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-64|106	A05141-64	64-41	2	2009/09/23	LRP^	4	3	5	9	1.092		4	6	1	5				5	3	3	.	.	.	.	.	.	.	.	.	.	.
A05141-66|108	A05141-66	63-46	2	2009/09/23	MRP^	8	6	3	23.4	1.086		5	4	1	5				3	3	7	.	.	.	.	.	.	.	.	.	.	.
A05141-67|110	A05141-67	62-48	2	2009/09/23	MRP^	7	4	3	26.8	1.082		4	5	1	5				5	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-68|112	A05141-68	63-43	2	2009/09/23	MPR*	7	5	3	48.7	1.088		5	4	1	5				5	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-69|114	A05141-69	64-38	2	2009/09/23	MPR^	7	5	3	60	1.084		5	3	1	5				7	5	7	.	.	.	.	.	.	.	.	.	.	.
A05141-7|12	A05141-7	64-26	2	2009/09/23	W	6	4	7	39.4	1.079		5	4	1	5				7	9	7	.	.	.	.	.	.	.	.	.	.	.
A05141-70|116	A05141-70	65-48	2	2009/09/23	W	6	2	3	14.8	1.091		5	4	1	5				3	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-71|118	A05141-71	65-36	2	2009/09/23	LRP	3	1	3	16.4	1.097		5	4	1	4				7	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-72|120	A05141-72	63-32	2	2009/09/23	LP	8	7	3	20	1.067		4	5	1	5				5	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-73|122	A05141-73	64-40	2	2009/09/23	LRP	7	5	3	14.6	1.099		4	5	1	5				3	3	3	.	.	.	.	.	.	.	.	.	.	.
A05141-75|124	A05141-75	65-42	2	2009/09/23	MRP	7	5	7	38.8	1.084		4	5	1	5				9	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-76|126	A05141-76	64-32	2	2009/09/23	MRP^	6	5	7	41.4	1.087		5	4	1	5				9	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-77|128	A05141-77	65-32	2	2009/09/23	MRP^	8	6	7	46.1	1.075		1	7	1	5				5	9	5	.	.	.	.	.	.	.	.	.	.	.
A05141-78|130	A05141-78	65-38	2	2009/09/23	MRP^	7	5	5	40.8	1.077		4	6	1	5				5	9	5	.	.	.	.	.	.	.	.	.	.	.
A05141-79|132	A05141-79	65-33	2	2009/09/23	MRP^	6	5	7	26.1	1.086		4	5	1	5				7	5	3	.	.	.	.	.	.	.	.	.	.	.
A05141-8|14	A05141-8	62-35	2	2009/09/23	W	6	2	5	30.8	1.099		4	5	1	5				7	7	3	.	.	.	.	.	.	.	.	.	.	.
A05141-80|134	A05141-80	65-45	2	2009/09/23	MRP^	8	8	5	41.2	1.071		5	4	1	5				3	7	5	.	.	.	.	.	.	.	.	.	.	.
A05141-82|136	A05141-82	65-27	2	2009/09/23	MRP^	8	6	7	23.8	1.086		4	6	1	5				5	7	7	.	.	.	.	.	.	.	.	.	.	.
A05141-83|138	A05141-83	64-30	2	2009/09/23	LRP	8	7	3	14.2	1.077		4	6	1	5				3	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-84|140	A05141-84	62-29	2	2009/09/23	MRP^	8	6	3	14.6	1.07		5	4	1	5				3	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-87|142	A05141-87	62-32	2	2009/09/23	NF	3	1	5	7.4	1.083		4	5	1	4				5	1	5	.	.	.	.	.	.	.	.	.	.	.
A05141-88|144	A05141-88	62-27	2	2009/09/23	W	8	7	3	26.4	1.075		4	5	1	5				3	5	7	.	.	.	.	.	.	.	.	.	.	.
A05141-9|16	A05141-9	62-43	2	2009/09/23	LRP^	7	2	3	32.2	1.082		4	5	1	4				7	5	5	.	.	.	.	.	.	.	.	.	.	.
A05141-90|146	A05141-90	65-47	2	2009/09/23	MRP^	4	1	5	14.7	1.087		5	4	1	4				5	1	5	.	.	.	.	.	.	.	.	.	.	.
A05141-91|148	A05141-91	65-39	2	2009/09/23	MRP^	3	1	3	8.8	1.087		6	3	1	4				5	1	2	.	.	.	.	.	.	.	.	.	.	.
A05141-92|150	A05141-92	65-34	2	2009/09/23	W	4	2	5	22.4	1.08		5	4	1	4				7	3	5	.	.	.	.	.	.	.	.	.	.	.
A05141-94|152	A05141-94	65-44	2	2009/09/23	NF	3	1	3	6.9	1.088		5	4	1	4				3	1	7	.	.	.	.	.	.	.	.	.	.	.
A05141-95|154	A05141-95	62-45	2	2009/09/23	MRP^	4	2	5	47.6	1.089		5	3	1	4				3	5	7	.	.	.	.	.	.	.	.	.	.	.
A05141-96|156	A05141-96	62-41	2	2009/09/23	LRP^	5	3	3	30	1.094		6	3	1	4				5	3	7	.	.	.	.	.	.	.	.	.	.	.
A05141-98|158	A05141-98	65-28	2	2009/09/23	MRP^	4	2	3	3.6	1.088		5	4	1	4				5	1	5	.	.	.	.	.	.	.	.	.	.	.
A05141-99|160	A05141-99	62-47	2	2009/09/23	LRP^	6	3	7	39.4	1.085		4	5	1	4				5	5	7	.	.	.	.	.	.	.	.	.	.	.
Premier Russet|200	Premier Russet	63-27	2	2009/09/23	W	7	5	7	44.4	1.089		6	2	1	4				5	7	9	.	.	.	.	.	.	.	.	.	.	.
Rio Grande Russet|202	Rio Grande Russet	65-37	2	2009/09/23	LP	8	6	5	7.3	1.072		6	2	1	5				5	5	5	.	.	.	.	.	.	.	.	.	.	.
