	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
8906-2	8906	2009_oh_8906_fruit-c.jpg	2	7.5294	49.609	104.194	62.3919	47.5046	71.3809	30.9514	14.3519	18.5946	52.3075	23.9773	color data not normalized to color checker
8906-3	8906	2009_oh_8906_fruit-c.jpg	3	17.527	20.9839	146.584	93.0734	65.4967	99.7972	44.6967	16.0625	27.0354	59.1287	32.1282	color data not normalized to color checker
8907-1	8907	2009_oh_8907_fruit-c.jpg	1	21.2533	10.8737	146.034	95.7301	65.6686	99.6191	45.2801	14.342	27.663	62.2281	31.7728	color data not normalized to color checker
8907-2	8907	2009_oh_8907_fruit-c.jpg	2	10.5336	36.0432	139.528	85.4162	63.1438	95.3206	41.7622	17.2946	24.5446	55.9793	30.5691	color data not normalized to color checker
8907-3	8907	2009_oh_8907_fruit-c.jpg	3	9.84505	53.053	130.779	74.0908	52.7228	86.3102	37.804	19.2998	25.0612	53.0339	32.2552	color data not normalized to color checker
8907-4	8907	2009_oh_8907_fruit-c.jpg	4	4.09199	47.0663	120.204	68.6648	48.4751	79.3726	34.7703	17.6488	23.3937	52.4216	29.6759	color data not normalized to color checker
8907-5	8907	2009_oh_8907_fruit-c.jpg	5	7.52576	48.7049	143.609	85.8221	63.5431	97.4702	42.4864	18.8576	25.2278	53.046	32.0224	color data not normalized to color checker
8907-6	8907	2009_oh_8907_fruit-c.jpg	6	8.68362	39.8635	142.441	86.5137	63.7821	97.004	42.4654	18.0416	25.1549	54.8819	31.5459	color data not normalized to color checker
8907-7	8907	2009_oh_8907_fruit-c.jpg	7	6.97864	26.5183	136.895	83.4459	59.8114	92.5533	40.9487	17.099	25.1913	55.8165	30.8451	color data not normalized to color checker
8907-8	8907	2009_oh_8907_fruit-c.jpg	8	7.55346	37.5099	144.662	87.0319	63.0861	97.7451	42.872	18.5479	26.0805	54.4359	32.5364	color data not normalized to color checker
