Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:
8975	SCT_0329	2009	Fremont	Ohio	1	1091-Chonto 21 (mataverde (3-21-2))
9047	SCT_0329	2009	Fremont	Ohio	2	1091-Chonto 21 (mataverde (3-21-2))
8973	SCT_0330	2009	Fremont	Ohio	1	A-1770
9053	SCT_0330	2009	Fremont	Ohio	2	A-1770
8974	SCT_0331	2009	Fremont	Ohio	1	A-1771
9031	SCT_0331	2009	Fremont	Ohio	2	A-1771
8946	SCT_0332	2009	Fremont	Ohio	1	Abel
9056	SCT_0332	2009	Fremont	Ohio	2	Abel
8901	SCT_0325	2009	Fremont	Ohio	1	Ailsa Craig
9020	SCT_0325	2009	Fremont	Ohio	2	Ailsa Craig
8921	SCT_0285	2009	Fremont	Ohio	1	Aker's West Virginia
8989	SCT_0285	2009	Fremont	Ohio	2	Aker's West Virginia
8928	SCT_0286	2009	Fremont	Ohio	1	Amish Paste
8986	SCT_0286	2009	Fremont	Ohio	2	Amish Paste
8902	SCT_0287	2009	Fremont	Ohio	1	Beauty
8993	SCT_0287	2009	Fremont	Ohio	2	Beauty
8922	SCT_0288	2009	Fremont	Ohio	1	Black From Tula
8983	SCT_0288	2009	Fremont	Ohio	2	Black From Tula
8903	SCT_0289	2009	Fremont	Ohio	1	Black Plum
9000	SCT_0289	2009	Fremont	Ohio	2	Black Plum
8930	SCT_0290	2009	Fremont	Ohio	1	Brandywine (Sudduth/Quisenberry)
9005	SCT_0290	2009	Fremont	Ohio	2	Brandywine (Sudduth/Quisenberry)
8923	SCT_0291	2009	Fremont	Ohio	1	Burbank
8997	SCT_0291	2009	Fremont	Ohio	2	Burbank
8925	SCT_0292	2009	Fremont	Ohio	1	Cherokee Purple
8991	SCT_0292	2009	Fremont	Ohio	2	Cherokee Purple
8960	SCT_0333	2009	Fremont	Ohio	1	Chih-mu-tao-se
9036	SCT_0333	2009	Fremont	Ohio	2	Chih-mu-tao-se
8932	SCT_0293	2009	Fremont	Ohio	1	Costoluto Genovese
9006	SCT_0293	2009	Fremont	Ohio	2	Costoluto Genovese
8965	SCT_0334	2009	Fremont	Ohio	1	Cotaxtla I
9028	SCT_0334	2009	Fremont	Ohio	2	Cotaxtla I
8933	SCT_0294	2009	Fremont	Ohio	1	D' Olvia x Industria
8990	SCT_0294	2009	Fremont	Ohio	2	D' Olvia x Industria
8970	SCT_0335	2009	Fremont	Ohio	1	Devon Surprise
9050	SCT_0335	2009	Fremont	Ohio	2	Devon Surprise
8904	SCT_0295	2009	Fremont	Ohio	1	Favorite
8996	SCT_0295	2009	Fremont	Ohio	2	Favorite
8905	SCT_0296	2009	Fremont	Ohio	1	Globe
9004	SCT_0296	2009	Fremont	Ohio	2	Globe
8907	SCT_0298	2009	Fremont	Ohio	1	Grushovka
8999	SCT_0298	2009	Fremont	Ohio	2	Grushovka
8971	SCT_0336	2009	Fremont	Ohio	1	Heinz 1370
9061	SCT_0336	2009	Fremont	Ohio	2	Heinz 1370
8969	SCT_0337	2009	Fremont	Ohio	1	Hong Kong
9062	SCT_0337	2009	Fremont	Ohio	2	Hong Kong
8908	SCT_0299	2009	Fremont	Ohio	1	Howard German
9008	SCT_0299	2009	Fremont	Ohio	2	Howard German
8931	SCT_0300	2009	Fremont	Ohio	1	Juane Flammee
8994	SCT_0300	2009	Fremont	Ohio	2	Juane Flammee
9066	SCT_0301	2009	Fremont	Ohio	2	King Humbert
8968	SCT_0338	2009	Fremont	Ohio	1	Kiyosu No. 2
9057	SCT_0338	2009	Fremont	Ohio	2	Kiyosu No. 2
8964	SCT_0339	2009	Fremont	Ohio	1	LA0410
9034	SCT_0339	2009	Fremont	Ohio	2	LA0410
8940	SCT_0302	2009	Fremont	Ohio	1	LYC1903
9010	SCT_0302	2009	Fremont	Ohio	2	LYC1903
